task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	76/d579ec	2145689	gff2bed	CACHED	0	2024-10-10 18:35:46.578	1.3s	424ms	11.8%	1.2 MB	113.8 MB	5.9 MB	5.8 MB
1	4c/48e6dd	2145716	bowtie_build	CACHED	0	2024-10-10 18:35:46.718	6.2s	5.6s	35.5%	103.2 MB	407.2 MB	11.4 MB	13 MB
10	68/2f26de	16396	trim_galore (5)	CACHED	0	2024-11-08 12:17:17.074	22m 38s	22m 37s	453.7%	435.4 MB	2.9 GB	157.4 GB	152.1 GB
15	48/5ad413	31206	trim_galore (4)	CACHED	0	2024-11-08 11:55:53.703	21m 23s	21m 23s	455.5%	446.9 MB	2.9 GB	151.7 GB	146.7 GB
14	8a/7fb8d3	1284	bowtie_align (2)	CACHED	0	2024-11-08 16:36:23.847	9m 30s	9m 29s	390.6%	63 MB	504.1 MB	4.2 GB	26.6 GB
18	a9/6eb3ec	22646	sam2bam (2)	CACHED	0	2024-11-08 18:40:00.772	9m 20s	9m 20s	336.7%	3.3 GB	4 GB	35.1 GB	11.2 GB
16	95/2611d9	19554	bowtie_align (1)	CACHED	0	2024-11-08 16:27:08.364	9m 15s	9m 15s	389.6%	64.9 MB	504.1 MB	4 GB	25.6 GB
20	0d/3473db	6501	sam2bam (1)	CACHED	0	2024-11-08 18:30:34.130	9m 6s	9m 6s	325.2%	3.3 GB	4 GB	33.8 GB	10.7 GB
22	63/1a9728	759	trim_galore (6)	CACHED	0	2024-11-08 12:40:04.887	20m 46s	20m 45s	460.0%	414.9 MB	2.9 GB	144.6 GB	139.8 GB
25	6b/1af5c3	27105	trim_galore (7)	CACHED	0	2024-11-08 13:00:50.842	18m 45s	18m 44s	455.7%	416.4 MB	2.9 GB	132.1 GB	127.7 GB
26	b9/73a5b6	18985	bowtie_align (3)	CACHED	0	2024-11-08 16:45:58.570	8m 47s	8m 46s	390.9%	65 MB	504.1 MB	3.8 GB	24.4 GB
28	38/b1b79f	8567	trim_galore (8)	CACHED	0	2024-11-08 13:19:36.091	20m 51s	20m 50s	456.7%	438.9 MB	2.9 GB	147.5 GB	142.7 GB
31	c7/e9f910	1594	sam2bam (3)	CACHED	0	2024-11-08 18:49:27.386	8m 44s	8m 43s	326.5%	3.3 GB	4 GB	32.4 GB	10.4 GB
27	39/f9f9f7	30455	bowtie_align (4)	CACHED	0	2024-11-08 16:54:45.280	8m	8m	390.6%	65 MB	504.1 MB	3.5 GB	22.3 GB
32	48/82c091	10763	trim_galore (9)	CACHED	0	2024-11-08 13:40:26.774	17m 47s	17m 46s	457.8%	420.6 MB	2.9 GB	126.6 GB	122.4 GB
36	fc/915237	11856	sam2bam (4)	CACHED	0	2024-11-08 18:58:15.294	7m 53s	7m 52s	331.5%	3.3 GB	4 GB	29.5 GB	9.3 GB
34	02/03e17e	3157	bowtie_align (5)	CACHED	0	2024-11-08 17:02:45.261	9m 1s	9m 1s	390.8%	65 MB	504.1 MB	3.9 GB	24.9 GB
37	65/6b2937	17268	bowtie_align (6)	CACHED	0	2024-11-08 17:11:46.548	7m 40s	7m 40s	390.6%	65 MB	504.1 MB	3.3 GB	21.4 GB
39	ec/710b35	17577	sam2bam (5)	CACHED	0	2024-11-08 19:06:11.761	8m 41s	8m 40s	332.5%	3.3 GB	4 GB	33 GB	10.5 GB
41	7e/293ced	24774	sam2bam (6)	CACHED	0	2024-11-08 19:14:56.497	7m 34s	7m 34s	326.9%	3.3 GB	4 GB	28.3 GB	8.9 GB
44	12/964465	17405	trim_galore (11)	CACHED	0	2024-11-08 14:17:56.392	17m 13s	17m 13s	464.9%	421.4 MB	2.9 GB	125.3 GB	121.2 GB
42	e7/8f6ddb	22292	trim_galore (10)	CACHED	0	2024-11-08 13:58:13.793	19m 43s	19m 42s	462.7%	416 MB	2.9 GB	137.5 GB	132.9 GB
