Geneid,SRX6700162,SRX6700163,SRX6700164,SRX6700165,SRX6700166,SRX6700168,SRX6700169,SRX6700170,SRX6700171,SRX6700172,SRX6700173,SRX6700174,SRX6700175,SRX6700176,SRX6700177,SRX6700178,SRX6700179,SRX6700180,SRX6700181,SRX6700182,SRX6700183,SRX6700184,SRX6700185
ZMO2_RS00005,3.3045511045859857,3.3292380255375815,3.1343662465426796,4.539326250644549,4.184169837117705,3.9794049113647003,3.7894761970016684,3.948054242667533,5.465086890003583,5.569929061680503,5.708143221923113,3.0491916886944437,2.968521303053595,3.1178965379890875,3.534036370114575,3.615533142129486,3.3468026404639657,3.2907232449902173,3.239326840377379,2.9811328293475436,4.5073740144398275,4.645846684600051,4.738484941746102
ZMO2_RS00010,3.9357712952531303,4.7797108267790245,4.101315165982785,6.221547729572685,5.0521716601428,5.576052860907214,5.571232062382953,5.560505784703159,7.658028888004286,7.33200616910769,7.6591360154313595,4.449534164402501,4.185535839211955,4.2716598804364585,5.03688619034353,4.880163139390356,4.5618746483381285,5.55385320195932,5.563565978991914,5.420660830371281,7.710731182267789,7.871727523294559,7.517777875291689
ZMO2_RS00015,8.77469910408895,5.533265132193626,8.026496868272606,5.805092025342214,4.758850440200109,4.123379077219006,3.7596503622923887,4.319475162472366,4.844047299543209,4.464500172144332,4.904884591599697,6.315444654336307,5.227283870148133,4.733655600388995,4.668769583364159,4.890132054397241,4.900350239158182,4.178672223808014,4.036655622412755,4.067570636423161,3.8998762223911725,3.822162904495151,3.859606525899621
ZMO2_RS00020,9.642615185945584,5.739829154355613,8.619947269018533,6.302754075640501,5.710970831564316,5.690694955059133,5.268717471323375,5.761947164353811,5.860704761288957,5.432358331552701,5.712905873305582,6.809314156962186,6.089374037703318,5.849864092615484,5.687329137258009,5.820253691931276,5.817549222701291,5.294213712784235,5.297516953696215,5.252144335158073,5.94870116523417,5.824099176311391,5.98358664595732
ZMO2_RS00025,10.171713551480341,5.055045758957452,8.832120650996755,5.107828602217363,5.511553167175587,6.2471244782947775,5.663972964822006,6.1719694169266655,6.229101715723547,5.665577399033905,6.184322306558555,6.728420029765244,6.3884764149718665,6.5460003164444265,5.929148770186256,5.990375572786296,5.979295666266526,5.753739601961204,5.815753043141176,5.8188912087638425,6.335227849520673,6.155724415967701,6.163970331929265
ZMO2_RS00030,8.749236769033587,4.645576362052315,6.970577383195252,5.0553149382560525,5.306280567511543,5.127443281053788,4.79934343156374,5.217878989615323,6.098000922530272,5.971536369369392,6.43036246981977,5.505512320567199,5.450453773143538,5.52174375394846,5.139826118536339,5.300243398531171,5.168110758570043,4.440016427615335,4.44757975976707,4.490484632016063,5.946779709126236,5.849481124893806,5.917936140668456
ZMO2_RS00035,10.534388144933969,7.704155635987886,10.196719051143337,8.277047185329883,8.146319697139987,8.329917553852276,8.128308514607102,8.305518595141425,8.672694705189974,8.670638514174897,8.670521946917997,8.469537308803535,8.468769384592251,8.544947523379207,8.348836869157477,8.324937897419822,8.268974649998311,8.007975304020533,7.996843642870836,8.012049191054576,9.271878908657007,9.136242271862507,9.280072815350202
ZMO2_RS00040,9.982594543318797,6.976946818416283,9.263583855563613,7.382833114125858,7.182535118598282,7.129772506471776,6.815240590754561,7.111615195107448,7.840363439784796,7.2777570196438015,7.769816340308703,7.6906523042010475,7.85503051538236,7.544317689894016,7.252334340674913,7.354714465614202,7.387070610202337,6.668115928019946,6.514576414540798,6.681988848393601,7.2477306899490745,7.126738922971503,7.240840745134952
ZMO2_RS00045,9.723121288548157,6.070633454898047,8.308412715644499,6.1336010356002255,6.908050308949871,6.469860727967156,6.04009871689511,6.417499538326097,8.004528013222378,7.547483142128846,8.332936370670536,7.111185804512566,7.5102025165041235,7.3379346513695305,6.76977840059592,6.964802480769234,7.027316175203524,5.711025312563408,5.633863256564364,5.762488368383285,7.222795557435313,7.167921940137874,7.295634330365828
ZMO2_RS00050,5.178459841047838,4.476722095773871,5.277348697466116,5.735989687066865,6.377807822518134,6.113617267313236,5.675726952119812,6.004787953342147,5.920214736254077,5.656523539562188,6.0473075771126,4.987441401998226,5.341957720393291,5.346678533765603,5.958223021036764,6.116736700145987,6.004862380626555,5.708570821530348,5.842744378933698,5.7807799970352605,6.683421715151178,6.7858129356872094,6.7150501192293035
