Sample	r_processed	percent_trimmed	bp_written	r_with_adapters	bp_processed	cutadapt_version	quality_trimmed	r_written
SRX6700162	37358855	4.356176873159794	4502161087	17310679	4707215730	4.4	45342321	37358855
SRX6700163	34246837	6.943490822603512	4015482788	12799396	4315101462	4.4	200243203	34246837
SRX6700164	41675613	7.4378340553933455	4860557108	17960504	5251127238	4.4	215759316	41675613
SRX6700165	42557864	3.6591564683164863	5166076251	18884442	5362290864	4.4	58574107	42557864
SRX6700166	36763815	5.279267710072293	4387692303	17588898	4632240690	4.4	61885922	36763815
SRX6700168	39959781	6.23216974325355	4721146872	16877977	5034932406	4.4	179102520	39959781
SRX6700169	35372372	4.570477001045129	4253216420	16379644	4456918872	4.4	83701166	35372372
SRX6700170	41221985	6.801618964264698	4840696054	18075992	5193970110	4.4	195322550	41221985
SRX6700171	44531620	4.278876839879561	5370897020	19973729	5610984120	4.4	58711765	44531620
SRX6700172	40413883	4.093445192568234	4883704919	17905714	5092149258	4.4	63116606	40413883
SRX6700173	35211323	6.279590417773752	4158024713	14261727	4436626698	4.4	175346849	35211323
SRX6700174	41194230	6.660009277227756	4844786998	15908131	5190472980	4.4	228514603	41194230
SRX6700175	36758439	4.210824440432123	4436536314	16615783	4631563314	4.4	57208165	36758439
SRX6700176	41437418	4.788528138106773	4971100123	20125844	5221114668	4.4	53392983	41437418
SRX6700177	29425882	6.263906671393182	3475416699	12022951	3707661132	4.4	139545714	29425882
SRX6700178	29428781	6.740898732423968	3458072101	11556013	3708026406	4.4	161889422	29428781
SRX6700179	40557986	3.620302961429022	4925297668	17315485	5110306236	4.4	55324692	40557986
SRX6700180	48302062	6.740763017003356	5675812943	19937754	6086059812	4.4	250393802	48302062
SRX6700181	33933614	3.9856015420495527	4105225575	15138467	4275635364	4.4	45347468	33933614
SRX6700182	44142686	4.663894727117205	5302573617	20413515	5561978436	4.4	61517044	44142686
SRX6700183	30265252	6.5028077177653865	3565442268	13273390	3813421752	4.4	131467871	30265252
SRX6700184	40303368	6.625248878723824	4741779365	16846385	5078224368	4.4	209427136	40303368
SRX6700185	38994162	4.435032062752335	4695359560	17483769	4913264412	4.4	54156098	38994162
