Sample	Unassigned_NonSplit	Unassigned_Duplicate	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Secondary	Unassigned_MappingQuality	percent_assigned	Unassigned_Overlapping_Length	Total	Assigned	Unassigned_Ambiguity	Unassigned_rRNA	Unassigned_Read_Type	Unassigned_Singleton
SRX6700162	0	0	0	0	0	1384098	5290725	0	0	84.89452599498499	4130563	74202928	62994224	38289	365029	0	0
SRX6700163	0	0	0	0	0	1211280	5702650	0	0	83.77034455291782	3931432	67873696	56858029	34629	135676	0	0
SRX6700164	0	0	0	0	0	1481492	6069008	0	0	84.39952500994072	4670015	82795838	69879294	41728	654301	0	0
SRX6700165	0	0	0	0	0	1431128	8788325	0	0	82.55064770603026	4343237	84576486	69818437	39814	155545	0	0
SRX6700166	0	0	0	0	0	1789632	6593701	0	0	82.30564755277646	3870852	72967180	60056110	36622	620263	0	0
SRX6700168	0	0	0	0	0	1754466	6977365	0	0	83.36598932250998	4102105	79435148	66221897	42663	336652	0	0
SRX6700169	0	0	0	0	0	2034240	6126461	0	0	82.46694056859431	3463370	70172562	57869165	36008	643318	0	0
SRX6700170	0	0	0	0	0	1810600	7586898	0	0	83.2012321032513	4059109	81963910	68194983	43048	269272	0	0
SRX6700171	0	0	0	0	0	2291488	15209403	0	0	75.81560013394768	3120048	88530086	67119616	48867	740664	0	0
SRX6700172	0	0	0	0	0	2617632	14125759	0	0	74.86099131025459	3057798	80332388	60137622	46839	346738	0	0
SRX6700173	0	0	0	0	0	2194896	13323156	0	0	73.28251221668972	2563452	69953074	51263370	39717	568483	0	0
SRX6700174	0	0	0	0	0	1771406	6053146	0	0	83.65807096884289	4789930	81806040	68437355	42786	711417	0	0
SRX6700175	0	0	0	0	0	1373290	5202173	0	0	84.51513832010355	4152782	72910732	61620606	38706	523175	0	0
SRX6700176	0	0	0	0	0	1649790	6546177	0	0	83.30837111305563	5272307	82344438	68599810	43268	233086	0	0
SRX6700177	0	0	0	0	0	1139062	4834880	0	0	83.75217811203773	3335191	58450850	48953860	28971	158886	0	0
SRX6700178	0	0	0	0	0	1168014	4256458	0	0	84.92776380855243	3170850	58387076	49586838	29964	174952	0	0
SRX6700179	0	0	0	0	0	9491702	4889438	0	0	70.66652494414149	3593976	80514136	56896542	31732	5610746	0	0
SRX6700180	0	0	0	0	0	20183538	5006947	0	0	58.482758314604354	3180686	95984062	56134127	33556	11445208	0	0
SRX6700181	0	0	0	0	0	1218960	5255509	0	0	84.8130815148794	3417769	67468394	57222024	34591	319541	0	0
SRX6700182	0	0	0	0	0	12691964	5218228	0	0	66.44967798214712	3195745	87744514	58305947	32033	8300597	0	0
SRX6700183	0	0	0	0	0	1408576	11170512	0	0	74.64257692582285	1979297	60200786	44935418	33752	673231	0	0
SRX6700184	0	0	0	0	0	2445284	13851403	0	0	73.69927557417991	2788380	80001842	58960778	46488	1909509	0	0
SRX6700185	0	0	0	0	0	1865510	13029913	0	0	75.68363254711225	2440435	77159214	58396896	43789	1382671	0	0
