Sample	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	featureCounts_mqc-generalstats-featurecounts-percent_assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails
SRX6700162	37101464.0	62994224	122	98.13	36409415.0	118.02275053081463	84.89452599498499	4.356176873159794	91.62196334318465	48.0	20.0
SRX6700163	33936848.0	56858029	122	98.22	33331208.0	118.27676238523978	83.77034455291782	6.943490822603512	91.21539430454841	48.0	20.0
SRX6700164	41397919.0	69879294	122	98.21	40657173.0	117.37357003379807	84.39952500994072	7.4378340553933455	92.13671372503848	48.0	20.0
SRX6700165	42288243.0	69818437	122	98.31	41572679.0	118.78758817196544	82.55064770603026	3.6591564683164863	91.93714444716801	48.0	20.0
SRX6700166	36483590.0	60056110	122	97.55	35588774.0	117.41005611015802	82.30564755277646	5.279267710072293	90.7153762109903	47.0	20.0
SRX6700168	39717574.0	66221897	126	97.79	38840341.0	121.16857071884603	83.36598932250998	6.23216974325355	90.75106013384593	47.0	20.0
SRX6700169	35086281.0	57869165	126	97.1	34069161.0	120.39997086040552	82.46694056859431	4.570477001045129	90.07528969333897	47.0	20.0
SRX6700170	40981955.0	68194983	122	97.79	40076655.0	118.09281958364357	83.2012321032513	6.801618964264698	91.6039414620534	47.0	20.0
SRX6700171	44265043.0	67119616	122	97.41	43119299.0	118.32360101852832	75.81560013394768	4.278876839879561	90.56834834974718	47.0	20.0
SRX6700172	40166194.0	60137622	122	96.74	38857378.0	118.57320994864487	74.86099131025459	4.093445192568234	89.75223212749876	47.0	20.0
SRX6700173	34976537.0	51263370	122	96.86	33879089.0	118.84084261972534	73.28251221668972	6.279590417773752	88.5712168924566	47.0	20.0
SRX6700174	40903020.0	68437355	122	97.83	40017317.0	118.40054905481307	83.65807096884289	6.660009277227756	91.35778540803497	48.0	20.0
SRX6700175	36455366.0	61620606	122	98.12	35768721.0	118.47086689515064	84.51513832010355	4.210824440432123	91.54124553604451	48.0	20.0
SRX6700176	41172219.0	68599810	122	98.0	40347324.0	117.98507539756359	83.30837111305563	4.788528138106773	92.28145418981025	47.0	20.0
SRX6700177	29225425.0	48953860	122	98.05	28655894.0	118.88261429902217	83.75217811203773	6.263906671393182	90.69355501241355	47.0	20.0
SRX6700178	29193538.0	49586838	126	98.0	28609531.0	121.23117037064846	84.92776380855243	6.740898732423968	89.61342435739866	48.0	20.0
SRX6700179	40257068.0	56896542	126	88.21	35511217.0	121.61203739427819	70.66652494414149	3.620302961429022	91.4953539127825	49.0	20.0
SRX6700180	47992031.0	56134127	126	78.97	37900262.0	120.99672401861883	58.482758314604354	6.740763017003356	92.7758653671514	49.0	20.0
SRX6700181	33734197.0	57222024	126	98.19	33124717.0	121.12723430173838	84.8130815148794	3.9856015420495527	91.15919382142859	47.0	20.0
SRX6700182	43872257.0	58305947	126	85.54	37526275.0	120.26152830477812	66.44967798214712	4.663894727117205	92.58709845307668	49.0	20.0
SRX6700183	30100393.0	44935418	126	97.66	29396105.0	120.47260047402038	74.64257692582285	6.5028077177653865	88.97786281763038	48.0	20.0
SRX6700184	40000921.0	58960778	126	96.94	38778279.0	121.16200269488795	73.69927557417991	6.625248878723824	89.61806091711094	47.0	20.0
SRX6700185	38579607.0	58396896	126	97.58	37646852.0	120.60924990760014	75.68363254711225	4.435032062752335	89.51410883201507	48.0	20.0
