Sample	failed	pe_antisense	pe_sense
SRX6700162	0.386	0.5932	0.0208
SRX6700163	0.3299	0.649	0.0211
SRX6700164	0.3877	0.5915	0.0207
SRX6700165	0.3556	0.6197	0.0248
SRX6700166	0.3987	0.5728	0.0285
SRX6700168	0.4136	0.559	0.0273
SRX6700169	0.4356	0.5367	0.0278
SRX6700170	0.4302	0.541	0.0288
SRX6700171	0.4306	0.5109	0.0586
SRX6700172	0.4252	0.5124	0.0625
SRX6700173	0.4397	0.4919	0.0684
SRX6700174	0.3626	0.6173	0.0202
SRX6700175	0.3754	0.6017	0.0229
SRX6700176	0.3753	0.601	0.0237
SRX6700177	0.3874	0.5885	0.0242
SRX6700178	0.3911	0.5859	0.0231
SRX6700179	0.4383	0.5422	0.0195
SRX6700180	0.5182	0.461	0.0209
SRX6700181	0.437	0.539	0.0241
SRX6700182	0.4975	0.4825	0.02
SRX6700183	0.4736	0.4754	0.0509
SRX6700184	0.4624	0.4798	0.0578
SRX6700185	0.4727	0.479	0.0482
