Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX6700162	SRR9951795	10/29/2019 17:07	8/12/2019 11:58	37358855	9414431460	37358855	252	3411		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951795.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255720	SAMN12560683	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026880							no					GEO	SRA938527		public	36AFAF2362AA04AAC247303C09279002	09FF0AE4F62A44701BCF073185F6739D		
SRX6700163	SRR9951796	10/29/2019 17:07	8/12/2019 11:56	34246837	8630202924	34246837	252	3218		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951796.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255721	SAMN12560682	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026881							no					GEO	SRA938527		public	D237776F27ECC8AC11FFF79CF19BA559	58614AB51F0BD3E340A6475AC4E3A592		
SRX6700164	SRR9951797	10/29/2019 17:07	8/12/2019 12:06	41675613	10502254476	41675613	252	3886		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951797.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255722	SAMN12560681	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026882							no					GEO	SRA938527		public	BACD9C2373787725CEB26540A2DA62C1	B53CB4093CD6EA3D22E7307AD1A59C50		
SRX6700165	SRR9951798	10/29/2019 17:07	8/12/2019 11:59	42557864	10724581728	42557864	252	3950		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951798.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255723	SAMN12560680	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026883							no					GEO	SRA938527		public	8773519DDE10CD38CFC39CA17A36358E	B700378EA21EA330D58E845D573D26A1		
SRX6700166	SRR9951799	10/29/2019 17:07	8/12/2019 11:55	36763815	9264481380	36763815	252	3440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/951/SRR9951799.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255724	SAMN12560679	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026884							no					GEO	SRA938527		public	7DE0C0EF092B67514B85937A771E7CFD	F5222204E4A47739F5419D1F582AAA2E		
SRX6700167	SRR9951800	10/29/2019 17:07	8/12/2019 11:59	35190572	8868024144	35190572	252	3263		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951800.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255725	SAMN12560678	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026885							no					GEO	SRA938527		public	E45913A8C56618B76B4F559FD6CD277A	DF20EB2F19BCEFED10734F84377BF502		
SRX6700168	SRR9951801	10/29/2019 17:07	8/12/2019 11:59	39959781	10069864812	39959781	252	3615		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951801.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255726	SAMN12560677	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026886							no					GEO	SRA938527		public	0209AFAA9749B0684EE2C29B91CC66B1	4E5AA42AE7AE671B04031083851A5369		
SRX6700169	SRR9951802	10/29/2019 17:07	8/12/2019 11:56	35372372	8913837744	35372372	252	3377		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951802.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255727	SAMN12560676	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026887							no					GEO	SRA938527		public	8438F2A92CE4379874B565E1903C6E36	7A5FD15CF72DDD037862916720382218		
SRX6700170	SRR9951803	10/29/2019 17:07	8/12/2019 11:59	41221985	10387940220	41221985	252	3805		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951803.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255728	SAMN12560675	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026888							no					GEO	SRA938527		public	45C9BBCC073C03FBFBA2524DD64381BC	1EA6A11F4C4D6D3931D3D28917F6C607		
SRX6700171	SRR9951804	10/29/2019 17:07	8/12/2019 12:05	44531620	11221968240	44531620	252	4073		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951804.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255729	SAMN12560674	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026889							no					GEO	SRA938527		public	17104D6ADC1474DC102D58F14CA31769	E2D2F20A43F53DCC3375C660550D30D9		
SRX6700172	SRR9951805	10/29/2019 17:07	8/12/2019 12:00	40413883	10184298516	40413883	252	3763		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/951/SRR9951805.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255730	SAMN12560673	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026890							no					GEO	SRA938527		public	60C5730303D61265591CFECC1882CDBA	B477222F9E137265F40D13F08233B692		
SRX6700173	SRR9951806	10/29/2019 17:07	8/12/2019 11:56	35211323	8873253396	35211323	252	3302		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/951/SRR9951806.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255731	SAMN12560672	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026891							no					GEO	SRA938527		public	E779B6F3A36064E2DA171FE9DD4042A7	92F1DB18E728622BA8BE95D28D78002F		
SRX6700174	SRR9951807	10/29/2019 17:07	8/12/2019 12:00	41194230	10380945960	41194230	252	3874		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/951/SRR9951807.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255732	SAMN12560671	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026892							no					GEO	SRA938527		public	F5DD299C2937624DBBEBDB19C8BABAFF	78D888A83A3ADBE45F49B2B208717DAC		
SRX6700175	SRR9951808	10/29/2019 17:07	8/12/2019 12:03	36758439	9263126628	36758439	252	3432		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951808.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255733	SAMN12560670	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026893							no					GEO	SRA938527		public	3E59C1EA98C7A78E8AAF7C939887CA95	C044BD82EB0DF8AA9AE785CE54E3FBED		
SRX6700176	SRR9951809	10/29/2019 17:07	8/12/2019 12:01	41437418	10442229336	41437418	252	3782		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/951/SRR9951809.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255734	SAMN12560669	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026894							no					GEO	SRA938527		public	D08ED05B656CB088D797E53DD3EE6575	3A379EB8A565E73AF47E35748DB2549D		
SRX6700177	SRR9951810	10/29/2019 17:07	8/12/2019 11:50	29425882	7415322264	29425882	252	2722		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/951/SRR9951810.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255735	SAMN12560668	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026895							no					GEO	SRA938527		public	911BCE4F3CB4F2F0A104CEA271A2ECC4	A62B81466B3598222EA90B7C16535FD4		
SRX6700178	SRR9951811	10/29/2019 17:07	8/12/2019 11:52	29428781	7416052812	29428781	252	2756		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/951/SRR9951811.sralite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP218110	PRJNA559842	3	559842	SRS5255736	SAMN12560667	simple	120045	Zymomonas mobilis subsp. mobilis	GSM4026896							no					GEO	SRA938527		public	F9AFDC79C535186E581ED4CFC303564F	76AD325F50029BFEA3B3A773E341EC04		
