Sample	Not aligned	Aligned
Kiley_A_DZM0422_Aerobic_A	1092249.0	35117554.0
Kiley_A_DZM0422_Aerobic_B	982897.0	33368872.0
Kiley_A_DZM0422_Aerobic_C	1052417.0	33912602.0
Kiley_A_DZM0422_Anaerobic_A	1647525.0	35604995.0
Kiley_A_DZM0422_Anaerobic_B	1380976.0	30123002.0
Kiley_A_DZM0422_Anaerobic_C	1112427.0	28988177.0
Kiley_A_WT_Aerobic_A	1382065.0	31325061.0
Kiley_A_WT_Aerobic_B	1008258.0	28001865.0
Kiley_A_WT_Aerobic_C	1017111.0	31373446.0
Kiley_A_WT_Anaerobic_A	1440036.0	28785587.0
Kiley_A_WT_Anaerobic_B	1551121.0	31252039.0
Kiley_A_WT_Anaerobic_C	1051863.0	27207205.0
Kiley_B_Dfur_-O2_A	158351.0	3963466.0
Kiley_B_Dfur_-O2_B	199745.0	4079729.0
Kiley_B_Dfur_-O2_C	159261.0	3556577.0
Kiley_B_DrsuR_-O2_A	137859.0	3574063.0
Kiley_B_DrsuR_-O2_B	147967.0	3944485.0
Kiley_B_DrsuR_-O2_C	150614.0	4642352.0
Kiley_B_WT_+O2_Ctrl_A	97324.0	3724927.0
Kiley_B_WT_+O2_Ctrl_B	99137.0	3248615.0
Kiley_B_WT_+O2_Ctrl_C	131879.0	3777404.0
Kiley_B_WT_+O2_Paraquat_A	153303.0	3800330.0
Kiley_B_WT_+O2_Paraquat_B	118518.0	3142142.0
Kiley_B_WT_+O2_Paraquat_C	134791.0	4673968.0
Kiley_B_WT_-O2_Ctrl_A	110931.0	4051499.0
Kiley_B_WT_-O2_Ctrl_B	115999.0	3000952.0
Kiley_B_WT_-O2_Ctrl_C	133291.0	3975548.0
Kiley_B_WT_-O2_NoFe_A	123343.0	4015703.0
Kiley_B_WT_-O2_NoFe_B	185850.0	4774515.0
Kiley_B_WT_-O2_NoFe_C	189682.0	4197611.0
Kiley_B_WT_-O2_NoFe_DIP_A	140977.0	3076620.0
Kiley_B_WT_-O2_NoFe_DIP_B	149428.0	4157206.0
Kiley_B_WT_-O2_NoFe_DIP_C	223179.0	5640474.0
