Sample	Reads passing filters
Kiley_A_DZM0422_Aerobic_A	36247731.0
Kiley_A_DZM0422_Aerobic_B	34391133.0
Kiley_A_DZM0422_Aerobic_C	35013714.0
Kiley_A_DZM0422_Anaerobic_A	37305687.0
Kiley_A_DZM0422_Anaerobic_B	31539542.0
Kiley_A_DZM0422_Anaerobic_C	30134885.0
Kiley_A_WT_Aerobic_A	32745805.0
Kiley_A_WT_Aerobic_B	29040526.0
Kiley_A_WT_Aerobic_C	32429765.0
Kiley_A_WT_Anaerobic_A	30272223.0
Kiley_A_WT_Anaerobic_B	32846268.0
Kiley_A_WT_Anaerobic_C	28293671.0
Kiley_B_Dfur_-O2_A	4123705.0
Kiley_B_Dfur_-O2_B	4281130.0
Kiley_B_Dfur_-O2_C	3717905.0
Kiley_B_DrsuR_-O2_A	3713426.0
Kiley_B_DrsuR_-O2_B	4094233.0
Kiley_B_DrsuR_-O2_C	4795012.0
Kiley_B_WT_+O2_Ctrl_A	3823184.0
Kiley_B_WT_+O2_Ctrl_B	3348814.0
Kiley_B_WT_+O2_Ctrl_C	3911176.0
Kiley_B_WT_+O2_Paraquat_A	3955065.0
Kiley_B_WT_+O2_Paraquat_B	3261971.0
Kiley_B_WT_+O2_Paraquat_C	4811238.0
Kiley_B_WT_-O2_Ctrl_A	4163528.0
Kiley_B_WT_-O2_Ctrl_B	3121594.0
Kiley_B_WT_-O2_Ctrl_C	4112318.0
Kiley_B_WT_-O2_NoFe_A	4141057.0
Kiley_B_WT_-O2_NoFe_B	4962544.0
Kiley_B_WT_-O2_NoFe_C	4388971.0
Kiley_B_WT_-O2_NoFe_DIP_A	3221548.0
Kiley_B_WT_-O2_NoFe_DIP_B	4308031.0
Kiley_B_WT_-O2_NoFe_DIP_C	5867384.0
Kiley_B_WT_-O2_Peroxide_A	4201360.0
Kiley_B_WT_-O2_Peroxide_C	3819793.0
SRX10341586	9090051.0
SRX10341587	8906657.0
SRX10341588	7450610.0
SRX10341589	8222245.0
SRX10341590	12511522.0
SRX10341591	12598294.0
SRX10341592	8068553.0
SRX10341593	8309804.0
SRX10341594	9604590.0
SRX10341595	9397579.0
SRX10341596	9112500.0
SRX10341597	7313129.0
SRX11348531	10886421.0
SRX11348532	12813823.0
SRX1432806	14648845.0
SRX14563846	23215484.0
SRX14563847	22717430.0
SRX14563848	24522616.0
SRX14563849	23937958.0
SRX14570260	12123015.0
SRX14570261	9353209.0
SRX14570262	10699063.0
SRX14570263	12041731.0
SRX14570264	12712607.0
SRX14570265	13787707.0
SRX14570266	14187455.0
SRX14570267	13669394.0
SRX14570268	11117167.0
SRX14570269	8346938.0
SRX14570270	10824161.0
SRX14570271	9455497.0
SRX14570272	10055568.0
SRX14570273	10091692.0
SRX14570274	11326591.0
SRX14570275	11539321.0
SRX14570276	10613454.0
SRX14570277	13980920.0
SRX14953908	40683603.0
SRX14953909	32706613.0
SRX14953910	33120928.0
SRX14953911	30836014.0
SRX14953912	31484834.0
SRX14953913	35368087.0
SRX14953914	28689523.0
SRX14953915	28716903.0
SRX14953916	33164008.0
SRX14953917	33390854.0
SRX14953918	36900020.0
SRX14953919	36487288.0
SRX14953920	33943858.0
SRX14953921	35305646.0
SRX14953922	37478678.0
SRX14953923	36930468.0
SRX14953924	27609958.0
SRX14953925	30923166.0
SRX14953926	27226711.0
SRX14953927	34294248.0
SRX14953928	36903184.0
SRX14953929	31343712.0
SRX14953930	31802803.0
SRX14953931	22561485.0
SRX14953932	24039789.0
SRX18804540	10587948.0
SRX18804541	11129705.0
SRX18804542	9149027.0
SRX18804543	9266109.0
SRX18804544	12989901.0
SRX18804545	11631062.0
SRX18804546	8887860.0
SRX18804547	10434757.0
SRX18804548	10642556.0
SRX18804549	9525755.0
SRX18804550	8740343.0
SRX18804551	8170000.0
SRX18804552	8200431.0
SRX18804553	8506333.0
SRX18804554	7874773.0
SRX19817112	11150484.0
SRX19817113	10078022.0
SRX19817114	10715450.0
SRX19817115	10910360.0
SRX19817116	10668318.0
SRX19817117	11431887.0
SRX2036088	47122765.0
SRX2036089	44021704.0
