Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Kiley_A_DZM0422_Aerobic_A	0.44390189032511446	1.8812695556504409
Kiley_A_DZM0422_Aerobic_B	0.4395232164026254	1.7297915574595297
Kiley_A_DZM0422_Aerobic_C	0.42462725388480416	1.849005144255749
Kiley_A_DZM0422_Anaerobic_A	0.42127619822766355	1.4690710856607818
Kiley_A_DZM0422_Anaerobic_B	0.46303676316686104	1.7108347396636705
Kiley_A_DZM0422_Anaerobic_C	0.5135212569156419	2.1725510890080475
Kiley_A_WT_Aerobic_A	0.7374172833161801	3.3396483689823437
Kiley_A_WT_Aerobic_B	0.8689173775650658	3.6307429651366876
Kiley_A_WT_Aerobic_C	0.7989427288947208	2.896050845930189
Kiley_A_WT_Anaerobic_A	0.7259006704344854	3.677598307899227
Kiley_A_WT_Anaerobic_B	0.8656452610053421	2.7740620110989314
Kiley_A_WT_Anaerobic_C	0.5472154991098787	2.1586486857952987
Kiley_B_Dfur_-O2_A	0.4583900740862586	2.657687131670329
Kiley_B_Dfur_-O2_B	0.5204845268367094	2.795553846103517
Kiley_B_Dfur_-O2_C	0.4922711915858549	2.6199742830553956
Kiley_B_DrsuR_-O2_A	0.4244970664793064	0.9497236202700383
Kiley_B_DrsuR_-O2_B	0.4463094496893305	1.0514723202617893
Kiley_B_DrsuR_-O2_C	0.40993405753347717	0.9106052494426209
Kiley_B_WT_+O2_Ctrl_A	0.5645364472401211	1.1727644259887695
Kiley_B_WT_+O2_Ctrl_B	0.5669177406211691	1.2766178617770967
Kiley_B_WT_+O2_Ctrl_C	0.5773181424829055	1.1393393622308747
Kiley_B_WT_+O2_Paraquat_A	0.5081149413716447	0.8151995898455925
Kiley_B_WT_+O2_Paraquat_B	0.4660406175436875	0.8742708531401617
Kiley_B_WT_+O2_Paraquat_C	0.599510185476128	1.1040894334692173
Kiley_B_WT_-O2_Ctrl_A	0.38684134027479145	0.7418503133986638
Kiley_B_WT_-O2_Ctrl_B	0.3573043015433993	0.7536531693953484
Kiley_B_WT_-O2_Ctrl_C	0.40118388673783517	1.0011343837030364
Kiley_B_WT_-O2_NoFe_A	0.3015429159279699	1.4305228789436022
Kiley_B_WT_-O2_NoFe_B	0.2784875709751198	1.4013081698625
Kiley_B_WT_-O2_NoFe_C	0.25760759538968564	1.5885649761709555
Kiley_B_WT_-O2_NoFe_DIP_A	0.33183148790852307	0.6536555075107291
Kiley_B_WT_-O2_NoFe_DIP_B	0.4180527065917373	0.9119651217168675
Kiley_B_WT_-O2_NoFe_DIP_C	0.4486111302971032	0.9481120386898747
Kiley_B_WT_-O2_Peroxide_A	0.3128061399846181	2.2009090504179283
Kiley_B_WT_-O2_Peroxide_C	0.3398973315741811	1.7683879506801872
SRX10341586	0.1687751178009391	0.0
SRX10341587	0.22797617944800863	0.0
SRX10341588	0.257670969594235	0.1262248162767196
SRX10341589	1.2550021219372551	7.946031636752562
SRX10341590	0.5445369010261956	2.8121896457012916
SRX10341591	0.35164862034579614	1.645012166589753
SRX10341592	0.15723022930575634	0.266615863805031
SRX10341593	0.1630109754384681	0.2766757459671814
SRX10341594	0.16215917339535776	0.2956413825878763
SRX10341595	0.13519649944932755	0.12112772014580026
SRX10341596	0.15842505194497894	0.1233597217777321
SRX10341597	0.14598326532632833	0.10405495698997957
SRX11348531	0.28246046981939227	1.281356515786212
SRX11348532	0.30748292481298306	0.9797745120014885
