Sample	Unique Reads	Duplicate Reads
Kiley_A_DZM0422_Aerobic_A	2722665.0	33487138.0
Kiley_A_DZM0422_Aerobic_B	2694811.0	31656958.0
Kiley_A_DZM0422_Aerobic_C	2739129.0	32225890.0
Kiley_A_DZM0422_Anaerobic_A	3365117.0	33887403.0
Kiley_A_DZM0422_Anaerobic_B	2826751.0	28677227.0
Kiley_A_DZM0422_Anaerobic_C	2534771.0	27565833.0
Kiley_A_WT_Aerobic_A	2715221.0	29991905.0
Kiley_A_WT_Aerobic_B	2338868.0	26671255.0
Kiley_A_WT_Aerobic_C	2326674.0	30063883.0
Kiley_A_WT_Anaerobic_A	2559051.0	27666572.0
Kiley_A_WT_Anaerobic_B	2547242.0	30255918.0
Kiley_A_WT_Anaerobic_C	2213781.0	26045287.0
Kiley_B_Dfur_-O2_A	343328.0	3778489.0
Kiley_B_Dfur_-O2_B	361645.0	3917829.0
Kiley_B_Dfur_-O2_C	318700.0	3397138.0
Kiley_B_DrsuR_-O2_A	348175.0	3363747.0
Kiley_B_DrsuR_-O2_B	393338.0	3699114.0
Kiley_B_DrsuR_-O2_C	403311.0	4389655.0
Kiley_B_WT_+O2_Ctrl_A	486313.0	3335938.0
Kiley_B_WT_+O2_Ctrl_B	383186.0	2964566.0
Kiley_B_WT_+O2_Ctrl_C	567766.0	3341517.0
Kiley_B_WT_+O2_Paraquat_A	604447.0	3349186.0
Kiley_B_WT_+O2_Paraquat_B	497301.0	2763359.0
Kiley_B_WT_+O2_Paraquat_C	467403.0	4341356.0
Kiley_B_WT_-O2_Ctrl_A	370236.0	3792194.0
Kiley_B_WT_-O2_Ctrl_B	427927.0	2689024.0
Kiley_B_WT_-O2_Ctrl_C	358989.0	3749850.0
Kiley_B_WT_-O2_NoFe_A	376226.0	3762820.0
Kiley_B_WT_-O2_NoFe_B	447399.0	4512966.0
Kiley_B_WT_-O2_NoFe_C	377247.0	4010046.0
Kiley_B_WT_-O2_NoFe_DIP_A	383458.0	2834139.0
Kiley_B_WT_-O2_NoFe_DIP_B	392648.0	3913986.0
Kiley_B_WT_-O2_NoFe_DIP_C	430032.0	5433621.0
Kiley_B_WT_-O2_Peroxide_A	296234.0	3902213.0
Kiley_B_WT_-O2_Peroxide_C	301204.0	3517302.0
SRX10341586	1850017.0	7238408.0
SRX10341587	1909456.0	6996299.0
SRX10341588	1516278.0	5933921.0
SRX10341589	1507404.0	6713857.0
SRX10341590	2821995.0	9687901.0
SRX10341591	2995807.0	9600574.0
SRX10341592	1543132.0	6524655.0
SRX10341593	1616982.0	6691661.0
SRX10341594	1766559.0	7836968.0
SRX10341595	1709168.0	7687525.0
SRX10341596	1755706.0	7355858.0
SRX10341597	1500387.0	5812095.0
SRX11348531	1982613.0	8902804.0
SRX11348532	2175253.0	10637491.0
SRX1432806	1222260.0	13323022.0
SRX14563846	1501464.0	21570224.0
SRX14563847	1501392.0	19940487.0
SRX14563848	3167624.0	20916579.0
SRX14563849	2911450.0	20428252.0
SRX14570260	1880605.0	10240702.0
SRX14570261	1594843.0	7757187.0
SRX14570262	1721547.0	8975870.0
SRX14570263	1832571.0	10207584.0
SRX14570264	1878459.0	10832600.0
SRX14570265	2108525.0	11677621.0
SRX14570266	2290659.0	11895287.0
SRX14570267	1908091.0	11760007.0
SRX14570268	1602418.0	9513446.0
SRX14570269	1461041.0	6884796.0
SRX14570270	1779116.0	9043799.0
SRX14570271	1640793.0	7813426.0
SRX14570272	1643220.0	8411239.0
SRX14570273	1624654.0	8465843.0
SRX14570274	1767390.0	9557896.0
SRX14570275	1821713.0	9716076.0
SRX14570276	1745019.0	8867140.0
SRX14570277	2005504.0	11974148.0
SRX14953908	2123854.0	38452983.0
SRX14953909	2446759.0	30135290.0
SRX14953910	2858631.0	30144703.0
SRX14953911	2725600.0	28055515.0
SRX14953912	2089796.0	29348724.0
SRX14953913	3098988.0	32137154.0
SRX14953914	1972066.0	26638749.0
SRX14953915	2005765.0	26668415.0
SRX14953916	2918377.0	30162319.0
SRX14953917	2872597.0	30425562.0
SRX14953918	2560373.0	33061440.0
SRX14953919	2124558.0	34278042.0
SRX14953920	1734551.0	32048561.0
SRX14953921	2272776.0	32926745.0
SRX14953922	1748448.0	35630150.0
SRX14953923	2451009.0	34389120.0
SRX14953924	2433328.0	25094215.0
SRX14953925	1583471.0	29183209.0
SRX14953926	2390645.0	24710432.0
SRX14953927	1949417.0	31451647.0
SRX14953928	2695843.0	34104331.0
SRX14953929	2642844.0	27989432.0
SRX14953930	3109668.0	28561953.0
SRX14953931	1385962.0	21117406.0
SRX14953932	1120277.0	22869343.0
SRX18804540	1642332.0	8944708.0
SRX18804541	1786030.0	9342454.0
SRX18804542	1376406.0	7771708.0
SRX18804543	1674352.0	7591149.0
SRX18804544	2135567.0	10852732.0
SRX18804545	2119760.0	9509922.0
SRX18804546	1562820.0	7324216.0
SRX18804547	1434575.0	8999363.0
SRX18804548	2277249.0	8364012.0
SRX18804549	1738715.0	7786286.0
SRX18804550	2083974.0	6655488.0
SRX18804551	1597600.0	6571544.0
SRX18804552	1827734.0	6371739.0
SRX18804553	1800544.0	6704794.0
SRX18804554	1671790.0	6202194.0
SRX19817112	4782250.0	6132900.0
SRX19817113	4273731.0	5522622.0
SRX19817114	4563816.0	5851643.0
SRX19817115	5377025.0	5292535.0
SRX19817116	4681027.0	5757191.0
SRX19817117	4990196.0	6181698.0
SRX2036088	3581556.0	43266903.0
SRX2036089	3620804.0	40228405.0
SRX2036090	3219830.0	39675337.0
SRX2036091	3064320.0	37871595.0
SRX2036300	1977977.0	11460928.0
SRX2036303	1877359.0	10433336.0
SRX2036305	2043250.0	13004790.0
SRX2036307	2168598.0	13562404.0
SRX2037533	4421004.0	32451665.0
SRX2037535	4662256.0	33865333.0
SRX2037536	5292253.0	43335980.0
SRX2037537	5603978.0	52869359.0
SRX2037538	4075253.0	45005618.0
SRX2037540	4293982.0	36291181.0
SRX2037541	5429558.0	36647013.0
SRX2037542	5457551.0	42738180.0
SRX2037691	2954033.0	13813052.0
SRX2037693	2369037.0	14537894.0
SRX2037695	2236604.0	12360626.0
SRX2037697	2322961.0	13047529.0
SRX2037699	3028753.0	12912934.0
SRX2037713	2949060.0	13663149.0
SRX2037715	2968579.0	14275197.0
SRX2037717	2075055.0	10947261.0
SRX2116174	1295462.0	2339232.0
SRX2116175	1638341.0	2261334.0
SRX2116176	720061.0	2747009.0
SRX21659709	1165139.0	9067514.0
SRX21659710	1361113.0	9837709.0
SRX21659711	2033380.0	23053944.0
SRX22720559	3825417.0	14315473.0
SRX22720560	4187996.0	13924042.0
SRX22720561	3153150.0	14945435.0
SRX22720562	3943947.0	14091064.0
SRX22720563	3167261.0	14872972.0
SRX22720564	3366686.0	14778524.0
SRX22720565	3826510.0	14225332.0
SRX22720566	4086261.0	14027322.0
SRX22720567	4039196.0	13984210.0
SRX22720568	3908580.0	14127970.0
SRX22720569	3916664.0	14172705.0
SRX22720570	4020087.0	14097697.0
SRX22720571	3797920.0	14335682.0
SRX22720572	3376968.0	14687899.0
SRX22720574	3978626.0	14102574.0
SRX22720575	3991640.0	14021713.0
SRX22720576	4065685.0	13978603.0
SRX22720577	3813533.0	14270001.0
SRX22720578	3750128.0	14284205.0
SRX22720579	4016530.0	14077757.0
SRX3316529	3117085.0	31070572.0
SRX3316530	2545545.0	24721561.0
SRX3316531	2560890.0	24824022.0
SRX3316532	2926080.0	28350537.0
SRX3316533	2737635.0	28270739.0
SRX3316534	2541753.0	24178633.0
