Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
Kiley_A_DZM0422_Aerobic_A	16.495668692966063										11.423090112838233	16.908675754556306	24.792239522447446	5.8760642048559975	2.976522974702537	9.342261174424223
Kiley_A_DZM0422_Aerobic_B	17.196937789670564										11.103422936621298	16.3294679124029	25.539544708681454	4.901150762912627	2.712092395688261	9.545151292608512
Kiley_A_DZM0422_Aerobic_C	17.231421195342417										11.225096285621932	16.358469563008896	25.085532709399743	5.370881907711081	2.6631455490128504	9.480165185530097
Kiley_A_DZM0422_Anaerobic_A	14.520619382171526										11.911428030540183	19.619610706009816	23.391688710866358	5.262144387175028	3.6607328354616318	8.068727487903761
Kiley_A_DZM0422_Anaerobic_B	15.579378750109049										11.58093452558599	17.758610039684193	24.15207892487095	5.226850177264609	3.0137598892419426	8.625375141467035
Kiley_A_DZM0422_Anaerobic_C	15.929731628378994										11.738701332041806	17.190265677883975	24.41330709817899	5.548446706404258	2.9540602745625923	8.636580116731762
Kiley_A_WT_Aerobic_A	13.914529165891224										9.980406325049264	19.117334833410343	22.6005355278194	8.421922913387903	4.664639632333004	8.109447309475891
Kiley_A_WT_Aerobic_B	14.545949003228955										9.920563570818556	18.534565166836124	22.725737886796445	8.192619890605524	4.41627018651119	8.507181316024873
Kiley_A_WT_Aerobic_C	13.491563861207242										10.291623304916213	20.204572576808935	22.774478514886788	8.083940396015505	5.228928513337042	8.132706056625434
Kiley_A_WT_Anaerobic_A	12.263658896380507										10.145147773053973	21.099624581893593	20.836838551664897	9.651860899311055	5.8554151352382835	7.127698449129697
Kiley_A_WT_Anaerobic_B	11.612475495526551										10.034621333958144	22.44686982647897	20.41382887520413	9.697783725151018	6.938154123521246	6.906745847429092
Kiley_A_WT_Anaerobic_C	12.78110458559358										10.317050713910856	21.54895058579595	21.771285671832928	7.470337281881156	6.067021180136846	7.491818468298292
Kiley_B_Dfur_-O2_A	15.343729406689533										11.675676982571975	15.99727967526395	28.96166562563897	2.357583209587278	2.448340665283118	10.237300293257084
Kiley_B_Dfur_-O2_B	14.906253531773928										11.551965074431857	17.042969130818374	28.021906058419212	2.5500921417889204	2.639752413383311	10.008488251770142
Kiley_B_Dfur_-O2_C	17.69938166204047										10.965405230831726	13.74535775732221	29.494389110945235	1.9624575992080788	1.058320441478036	11.535604175557706
Kiley_B_DrsuR_-O2_A	26.213637034033145										6.031485650959088	5.726349255090161	29.754409956347594	1.3450202214462152	0.0	15.643047616990843
