Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
Kiley_A_DZM0422_Aerobic_A	2757562.0	56316666.0	7522108.0	2184498.0	3592802.0	45970.0
Kiley_A_DZM0422_Aerobic_B	2784060.0	54552211.0	6090661.0	1965794.0	3267114.0	43698.0
Kiley_A_DZM0422_Aerobic_C	2761395.0	55045254.0	6646331.0	2104834.0	3326711.0	45513.0
Kiley_A_DZM0422_Anaerobic_A	2914505.0	58375783.0	6465873.0	3295050.0	3402515.0	51314.0
Kiley_A_DZM0422_Anaerobic_B	2413210.0	49423959.0	5262562.0	2761952.0	3102712.0	43561.0
Kiley_A_DZM0422_Anaerobic_C	2327283.0	46669605.0	5806319.0	2224854.0	3131980.0	41167.0
Kiley_A_WT_Aerobic_A	2504742.0	50364330.0	6274490.0	2764130.0	3463491.0	43069.0
Kiley_A_WT_Aerobic_B	2237386.0	44983620.0	5899621.0	2016516.0	2845448.0	37655.0
Kiley_A_WT_Aerobic_C	2644618.0	51289282.0	5848477.0	2034222.0	2922132.0	42383.0
Kiley_A_WT_Anaerobic_A	2197554.0	46187071.0	6316592.0	2880072.0	2828551.0	41406.0
Kiley_A_WT_Anaerobic_B	2551803.0	50037538.0	7083229.0	3102242.0	2790731.0	40777.0
Kiley_A_WT_Anaerobic_C	2391990.0	45366315.0	3933069.0	2103726.0	2683299.0	39737.0
Kiley_B_Dfur_-O2_A	395227.0	6881332.0	1858.0	316702.0	643721.0	4794.0
Kiley_B_Dfur_-O2_B	34485.0	97409.0	0.0	399490.0	8027514.0	50.0
Kiley_B_Dfur_-O2_C	358874.0	6172480.0	1755.0	318522.0	575642.0	4403.0
Kiley_B_DrsuR_-O2_A	365994.0	6267028.0	1567.0	275718.0	509109.0	4428.0
Kiley_B_DrsuR_-O2_B	403020.0	6920037.0	1745.0	295934.0	559036.0	5132.0
Kiley_B_DrsuR_-O2_C	479291.0	8251754.0	1450.0	301228.0	545303.0	6906.0
Kiley_B_WT_+O2_Ctrl_A	385403.0	6434099.0	2035.0	194648.0	623649.0	4668.0
