Sample	Antisense	Sense	Undetermined
Kiley_A_DZM0422_Aerobic_A	53.49	2.35	44.16
Kiley_A_DZM0422_Aerobic_B	53.949999999999996	2.2399999999999998	43.82
Kiley_A_DZM0422_Aerobic_C	54.010000000000005	2.21	43.769999999999996
Kiley_A_DZM0422_Anaerobic_A	55.45	2.09	42.449999999999996
Kiley_A_DZM0422_Anaerobic_B	55.22	2.3	42.480000000000004
Kiley_A_DZM0422_Anaerobic_C	54.2	2.44	43.37
Kiley_A_WT_Aerobic_A	52.559999999999995	2.55	44.89
Kiley_A_WT_Aerobic_B	52.49	2.29	45.22
Kiley_A_WT_Aerobic_C	53.910000000000004	2.02	44.07
Kiley_A_WT_Anaerobic_A	53.849999999999994	2.2399999999999998	43.91
Kiley_A_WT_Anaerobic_B	53.14	1.97	44.9
Kiley_A_WT_Anaerobic_C	55.67999999999999	2.29	42.03
Kiley_B_Dfur_-O2_A	74.83	1.03	24.14
Kiley_B_Dfur_-O2_B	19.900000000000002	72.07000000000001	8.03
Kiley_B_Dfur_-O2_C	45.22	9.11	45.67
Kiley_B_DrsuR_-O2_A	37.54	3.82	58.64
Kiley_B_DrsuR_-O2_B	73.55000000000001	0.7799999999999999	25.679999999999996
Kiley_B_DrsuR_-O2_C	49.38	28.449999999999996	22.17
Kiley_B_WT_+O2_Ctrl_A	51.73	13.79	34.48
Kiley_B_WT_+O2_Ctrl_B	45.29	0.16	54.55
Kiley_B_WT_+O2_Ctrl_C	27.400000000000002	66.5	6.11
Kiley_B_WT_+O2_Paraquat_A	50.05	10.9	39.050000000000004
Kiley_B_WT_+O2_Paraquat_B	53.65	7.6899999999999995	38.66
Kiley_B_WT_+O2_Paraquat_C	64.8	1.9300000000000002	33.269999999999996
Kiley_B_WT_-O2_Ctrl_A	84.77	0.8	14.430000000000001
Kiley_B_WT_-O2_Ctrl_B	51.949999999999996	4.859999999999999	43.19
Kiley_B_WT_-O2_Ctrl_C	81.39999999999999	0.02	18.58
Kiley_B_WT_-O2_NoFe_A	35.94	36.52	27.54
Kiley_B_WT_-O2_NoFe_B	62.660000000000004	22.38	14.96
Kiley_B_WT_-O2_NoFe_C	58.43000000000001	6.950000000000001	34.63
Kiley_B_WT_-O2_NoFe_DIP_A	28.99	32.98	38.03
Kiley_B_WT_-O2_NoFe_DIP_B	54.92	2.0500000000000003	43.03
Kiley_B_WT_-O2_NoFe_DIP_C	58.91	1.6400000000000001	39.45
Kiley_B_WT_-O2_Peroxide_A	67.11	1.6199999999999999	31.259999999999998
Kiley_B_WT_-O2_Peroxide_C	51.949999999999996	5.01	43.04
SRX10341586	55.43	2.86	41.71
SRX10341587	51.01	4.9	44.09
SRX10341588	54.449999999999996	3.4099999999999997	42.14
SRX10341589	44.39	5.53	50.09
SRX10341590	52.52	2.4	45.08
SRX10341591	53.410000000000004	2.71	43.88
SRX10341592	55.69	2.97	41.339999999999996
SRX10341593	54.63	3.19	42.17
SRX10341594	54.72	2.96	42.32
SRX10341595	55.48	3.42	41.099999999999994
SRX10341596	54.25	3.5700000000000003	42.18
SRX10341597	54.65	3.16	42.199999999999996
SRX11348531	55.17999999999999	4.89	39.93
SRX11348532	54.50000000000001	4.73	40.760000000000005
SRX1432806	25.669999999999998	3.3000000000000003	71.03
SRX14563846	58.39	1.47	40.14
SRX14563847	57.13	1.38	41.49
SRX14563848	55.04	1.6199999999999999	43.35
SRX14563849	58.199999999999996	1.29	40.5
SRX14570260	57.4	4.32	38.279999999999994
SRX14570261	57.46	4.35	38.190000000000005
SRX14570262	57.34	4.2299999999999995	38.440000000000005
SRX14570263	57.76	5.390000000000001	36.85
SRX14570264	57.440000000000005	4.9799999999999995	37.580000000000005
SRX14570265	54.800000000000004	4.18	41.010000000000005
SRX14570266	54.120000000000005	4.3999999999999995	41.48
SRX14570267	58.919999999999995	3.7900000000000005	37.29
SRX14570268	59.39	4.2299999999999995	36.38
SRX14570269	56.02	4.6	39.379999999999995
SRX14570270	56.86	4.36	38.78
SRX14570271	55.42	5.050000000000001	39.53
SRX14570272	57.19	5.25	37.56
SRX14570273	57.830000000000005	5.1	37.07
SRX14570274	57.38999999999999	4.92	37.69
SRX14570275	57.05	5.1	37.85
SRX14570276	58.53	4.73	36.75
SRX14570277	58.699999999999996	5.06	36.230000000000004
SRX14953908	52.900000000000006	1.44	45.660000000000004
SRX14953909	58.57	1.81	39.61
SRX14953910	56.14	1.49	42.370000000000005
SRX14953911	58.34	1.46	40.2
SRX14953912	50.83	1.67	47.5
SRX14953913	48.64	3.6900000000000004	47.67
SRX14953914	42.89	3.5900000000000003	53.52
SRX14953915	44.97	3.2	51.82
SRX14953916	46.79	3.36	49.85
SRX14953917	56.42	1.8399999999999999	41.74
SRX14953918	59.699999999999996	1.6099999999999999	38.690000000000005
SRX14953919	53.99	1.49	44.519999999999996
SRX14953920	45.76	2.71	51.53
SRX14953921	51.519999999999996	2.5700000000000003	45.910000000000004
SRX14953922	42.93	3.56	53.52
SRX14953923	52.42	3.51	44.07
SRX14953924	57.489999999999995	2.39	40.12
SRX14953925	50.129999999999995	2.96	46.910000000000004
SRX14953926	54.08	3.81	42.11
SRX14953927	48.5	2.87	48.63
SRX14953928	42.5	5.93	51.57000000000001
SRX14953929	38.35	4.96	56.69
SRX14953930	48.14	7.26	44.6
SRX14953931	41.65	6.11	52.239999999999995
SRX14953932	39.46	5.4	55.14
SRX18804540	56.28999999999999	2.63	41.08
SRX18804541	56.38999999999999	2.39	41.21
SRX18804542	58.08	1.91	40.02
SRX18804543	52.019999999999996	4.77	43.21
SRX18804544	50.81	5.08	44.1
SRX18804545	50.8	5.86	43.34
SRX18804546	51.559999999999995	5.970000000000001	42.47
SRX18804547	55.36	2.09	42.55
SRX18804548	53.64	2.3	44.06
SRX18804549	60.99	1.8499999999999999	37.16
SRX18804550	54.26	6.0	39.73
SRX18804551	56.879999999999995	2.64	40.48
SRX18804552	52.68000000000001	6.59	40.73
SRX18804553	54.64	4.41	40.94
SRX18804554	59.29	4.62	36.09
SRX19817112	60.370000000000005	1.41	38.23
SRX19817113	59.24	1.31	39.44
SRX19817114	59.089999999999996	1.5	39.410000000000004
SRX19817115	61.01	1.23	37.76
SRX19817116	60.57	1.32	38.11
SRX19817117	60.47	1.32	38.21
SRX2036088	1.01	7.779999999999999	91.21000000000001
SRX2036089	1.22	7.13	91.64999999999999
SRX2036090	0.8200000000000001	6.58	92.60000000000001
SRX2036091	0.8699999999999999	6.959999999999999	92.17
SRX2036300	45.87	8.77	45.36
SRX2036303	45.29	9.02	45.7
SRX2036305	46.61	7.93	45.46
SRX2036307	48.620000000000005	8.959999999999999	42.41
SRX2037533	52.5	7.55	39.95
SRX2037535	53.190000000000005	6.909999999999999	39.910000000000004
SRX2037536	51.57000000000001	4.95	43.480000000000004
SRX2037537	50.41	4.99	44.6
SRX2037538	48.66	7.89	43.45
SRX2037540	47.72	8.42	43.87
SRX2037541	46.43	6.78	46.79
SRX2037542	46.68	6.569999999999999	46.75
SRX2037691	40.14	5.64	54.230000000000004
SRX2037693	31.929999999999996	4.760000000000001	63.3
SRX2037695	36.77	5.81	57.42
SRX2037697	37.330000000000005	6.13	56.54
SRX2037699	41.77	6.58	51.65
SRX2037713	39.94	7.12	52.94
SRX2037715	39.95	5.86	54.190000000000005
SRX2037717	33.79	5.35	60.86
SRX2116174	28.64	4.22	67.14
SRX2116175	26.66	4.15	69.19
SRX2116176	35.57	2.39	62.029999999999994
SRX21659709	45.45	1.54	53.010000000000005
SRX21659710	50.2	1.38	48.42
SRX21659711	47.12	1.6	51.28
SRX22720559	58.36	1.68	39.96
SRX22720560	57.3	1.82	40.88
SRX22720561	56.57	1.2	42.22
SRX22720562	55.66	1.63	42.71
SRX22720563	57.15	1.6400000000000001	41.199999999999996
SRX22720564	58.209999999999994	1.6500000000000001	40.14
SRX22720565	55.900000000000006	1.52	42.58
SRX22720566	55.879999999999995	1.53	42.59
SRX22720567	57.66	1.17	41.17
SRX22720568	57.08	1.24	41.68
SRX22720569	57.86	1.53	40.61
SRX22720570	58.08	1.4000000000000001	40.510000000000005
SRX22720571	56.82000000000001	1.77	41.410000000000004
SRX22720572	54.04	1.59	44.37
SRX22720574	55.769999999999996	2.0	42.230000000000004
SRX22720575	55.989999999999995	2.04	41.97
SRX22720576	57.769999999999996	1.63	40.6
SRX22720577	58.269999999999996	1.71	40.02
SRX22720578	58.42	1.7000000000000002	39.879999999999995
SRX22720579	57.730000000000004	1.79	40.48
SRX3316529	52.190000000000005	4.89	42.92
SRX3316530	60.89	1.7000000000000002	37.4
SRX3316531	58.9	2.21	38.89
SRX3316532	61.6	1.8800000000000001	36.52
SRX3316533	51.970000000000006	2.0	46.03
SRX3316534	54.620000000000005	1.91	43.47
SRX3316535	58.26	1.8599999999999999	39.87
SRX3316536	44.68	7.000000000000001	48.32
SRX3316537	54.16	4.19	41.65
SRX3316538	59.06	1.77	39.160000000000004
SRX3316539	59.36	1.59	39.050000000000004
SRX3316540	60.95	1.96	37.09
SRX3316541	56.71000000000001	2.68	40.6
SRX3316542	57.93000000000001	2.15	39.92
SRX3316543	61.67	1.94	36.39
SRX3316544	58.63	1.95	39.42
SRX3316545	59.019999999999996	1.94	39.04
SRX3316546	60.5	1.97	37.54
SRX3316547	58.489999999999995	1.77	39.739999999999995
SRX3316548	57.769999999999996	1.49	40.739999999999995
SRX3316549	59.07	1.5599999999999998	39.379999999999995
SRX3316550	59.230000000000004	1.44	39.33
SRX3316551	49.45	2.17	48.370000000000005
SRX3316552	55.720000000000006	2.03	42.25
SRX3316553	58.220000000000006	1.81	39.97
SRX3316554	54.86	2.4699999999999998	42.67
SRX3316555	54.779999999999994	2.4	42.82
SRX3316556	55.64	2.73	41.63
SRX3316557	59.47	1.9300000000000002	38.6
SRX3316558	58.69	1.5	39.800000000000004
SRX3316559	58.69	2.18	39.14
SRX3316560	55.489999999999995	1.96	42.55
SRX3316561	55.779999999999994	2.53	41.699999999999996
SRX3316625	59.43000000000001	1.6	38.97
SRX3316626	60.529999999999994	1.92	37.56
SRX3316627	58.35	2.0500000000000003	39.6
SRX3316628	59.36	2.15	38.49
SRX3316629	60.45	1.9	37.65
SRX3316630	60.24	2.06	37.7
SRX3316631	60.099999999999994	1.8499999999999999	38.05
SRX3316632	60.69	1.6500000000000001	37.669999999999995
SRX3316633	60.519999999999996	1.8599999999999999	37.63
SRX3316634	58.06	2.26	39.68
SRX3316735	54.290000000000006	1.5699999999999998	44.14
SRX3316736	57.76	1.69	40.550000000000004
SRX3316737	57.3	1.95	40.75
SRX3316738	56.37	2.12	41.510000000000005
SRX3316739	56.75	1.6199999999999999	41.63
SRX3316740	51.61	1.26	47.13
SRX3316741	52.0	1.8399999999999999	46.160000000000004
SRX3316742	57.18	1.73	41.089999999999996
SRX3316743	57.02	1.8800000000000001	41.099999999999994
SRX3316744	50.22	1.38	48.4
SRX3316745	48.93	1.23	49.830000000000005
SRX3316746	50.339999999999996	1.16	48.49
