Sample	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed
Kiley_A_DZM0422_Aerobic_A	3.02	1092249.0	35117554.0	96.98	36209803.0
Kiley_A_DZM0422_Aerobic_B	2.86	982897.0	33368872.0	97.14	34351769.0
Kiley_A_DZM0422_Aerobic_C	3.01	1052417.0	33912602.0	96.99	34965019.0
Kiley_A_DZM0422_Anaerobic_A	4.42	1647525.0	35604995.0	95.58	37252520.0
Kiley_A_DZM0422_Anaerobic_B	4.38	1380976.0	30123002.0	95.62	31503978.0
Kiley_A_DZM0422_Anaerobic_C	3.7	1112427.0	28988177.0	96.3	30100604.0
Kiley_A_WT_Aerobic_A	4.23	1382065.0	31325061.0	95.77	32707126.0
Kiley_A_WT_Aerobic_B	3.48	1008258.0	28001865.0	96.52	29010123.0
Kiley_A_WT_Aerobic_C	3.14	1017111.0	31373446.0	96.86	32390557.0
Kiley_A_WT_Anaerobic_A	4.76	1440036.0	28785587.0	95.24	30225623.0
Kiley_A_WT_Anaerobic_B	4.73	1551121.0	31252039.0	95.27	32803160.0
Kiley_A_WT_Anaerobic_C	3.72	1051863.0	27207205.0	96.28	28259068.0
Kiley_B_Dfur_-O2_A	3.84	158351.0	3963466.0	96.16	4121817.0
Kiley_B_Dfur_-O2_B	4.67	199745.0	4079729.0	95.33	4279474.0
Kiley_B_Dfur_-O2_C	4.29	159261.0	3556577.0	95.71	3715838.0
Kiley_B_DrsuR_-O2_A	3.71	137859.0	3574063.0	96.29	3711922.0
Kiley_B_DrsuR_-O2_B	3.62	147967.0	3944485.0	96.38	4092452.0
Kiley_B_DrsuR_-O2_C	3.14	150614.0	4642352.0	96.86	4792966.0
Kiley_B_WT_+O2_Ctrl_A	2.55	97324.0	3724927.0	97.45	3822251.0
Kiley_B_WT_+O2_Ctrl_B	2.96	99137.0	3248615.0	97.04	3347752.0
Kiley_B_WT_+O2_Ctrl_C	3.37	131879.0	3777404.0	96.63	3909283.0
Kiley_B_WT_+O2_Paraquat_A	3.88	153303.0	3800330.0	96.12	3953633.0
Kiley_B_WT_+O2_Paraquat_B	3.63	118518.0	3142142.0	96.37	3260660.0
Kiley_B_WT_+O2_Paraquat_C	2.8	134791.0	4673968.0	97.2	4808759.0
Kiley_B_WT_-O2_Ctrl_A	2.67	110931.0	4051499.0	97.33	4162430.0
Kiley_B_WT_-O2_Ctrl_B	3.72	115999.0	3000952.0	96.28	3116951.0
Kiley_B_WT_-O2_Ctrl_C	3.24	133291.0	3975548.0	96.76	4108839.0
Kiley_B_WT_-O2_NoFe_A	2.98	123343.0	4015703.0	97.02	4139046.0
Kiley_B_WT_-O2_NoFe_B	3.75	185850.0	4774515.0	96.25	4960365.0
Kiley_B_WT_-O2_NoFe_C	4.32	189682.0	4197611.0	95.68	4387293.0
Kiley_B_WT_-O2_NoFe_DIP_A	4.38	140977.0	3076620.0	95.62	3217597.0
Kiley_B_WT_-O2_NoFe_DIP_B	3.47	149428.0	4157206.0	96.53	4306634.0
Kiley_B_WT_-O2_NoFe_DIP_C	3.81	223179.0	5640474.0	96.19	5863653.0
Kiley_B_WT_-O2_Peroxide_A	2.8	117409.0	4081038.0	97.2	4198447.0
Kiley_B_WT_-O2_Peroxide_C	3.6	137434.0	3681072.0	96.4	3818506.0
SRX10341586	5.59	508079.0	8580346.0	94.41	9088425.0
SRX10341587	6.3	560961.0	8344794.0	93.7	8905755.0
SRX10341588	4.83	359971.0	7090228.0	95.17	7450199.0
SRX10341589	3.76	309509.0	7911752.0	96.24	8221261.0
SRX10341590	9.22	1152902.0	11356994.0	90.78	12509896.0
SRX10341591	9.52	1199343.0	11397038.0	90.48	12596381.0
SRX10341592	4.16	335760.0	7732027.0	95.84	8067787.0
SRX10341593	4.59	381245.0	7927398.0	95.41	8308643.0
SRX10341594	4.92	472278.0	9131249.0	95.08	9603527.0
SRX10341595	5.35	502871.0	8893822.0	94.65	9396693.0
SRX10341596	4.77	434418.0	8677146.0	95.23	9111564.0
SRX10341597	5.11	373556.0	6938926.0	94.89	7312482.0
SRX11348531	29.75	3238167.0	7647250.0	70.25	10885417.0
SRX11348532	28.37	3634442.0	9178302.0	71.63	12812744.0
SRX1432806	31.77	4620313.0	9924969.0	68.23	14545282.0
SRX14563846	3.45	796292.0	22275396.0	96.55	23071688.0
SRX14563847	5.08	1089459.0	20352420.0	94.92	21441879.0
SRX14563848	9.47	2280728.0	21803475.0	90.53	24084203.0
SRX14563849	3.21	750265.0	22589437.0	96.79	23339702.0
SRX14570260	6.33	767182.0	11354125.0	93.67	12121307.0
SRX14570261	6.4	598890.0	8753140.0	93.6	9352030.0
SRX14570262	6.12	654452.0	10042965.0	93.88	10697417.0
SRX14570263	7.05	848647.0	11191508.0	92.95	12040155.0
SRX14570264	6.38	810352.0	11900707.0	93.62	12711059.0
SRX14570265	5.94	818980.0	12967166.0	94.06	13786146.0
SRX14570266	6.19	877464.0	13308482.0	93.81	14185946.0
SRX14570267	5.84	798184.0	12869914.0	94.16	13668098.0
SRX14570268	6.34	704747.0	10411117.0	93.66	11115864.0
SRX14570269	6.66	556197.0	7789640.0	93.34	8345837.0
SRX14570270	6.24	675866.0	10147049.0	93.76	10822915.0
SRX14570271	6.52	616023.0	8838196.0	93.48	9454219.0
SRX14570272	7.89	793256.0	9261203.0	92.11	10054459.0
SRX14570273	8.06	813660.0	9276837.0	91.94	10090497.0
SRX14570274	7.0	792948.0	10532338.0	93.0	11325286.0
SRX14570275	6.45	743873.0	10793916.0	93.55	11537789.0
SRX14570276	7.02	745226.0	9866933.0	92.98	10612159.0
SRX14570277	6.89	962824.0	13016828.0	93.11	13979652.0
SRX14953908	62.39	25317891.0	15258946.0	37.61	40576837.0
SRX14953909	12.82	4178405.0	28403644.0	87.18	32582049.0
SRX14953910	35.99	11877266.0	21126068.0	64.01	33003334.0
SRX14953911	16.43	5056445.0	25724670.0	83.57	30781115.0
SRX14953912	78.63	24720454.0	6718066.0	21.37	31438520.0
SRX14953913	19.77	6966687.0	28269455.0	80.23	35236142.0
SRX14953914	81.45	23303372.0	5307443.0	18.55	28610815.0
SRX14953915	79.46	22783396.0	5890784.0	20.54	28674180.0
SRX14953916	54.37	17984933.0	15095763.0	45.63	33080696.0
SRX14953917	17.94	5973473.0	27324686.0	82.06	33298159.0
SRX14953918	9.74	3470521.0	32151292.0	90.26	35621813.0
SRX14953919	68.11	24794376.0	11608224.0	31.89	36402600.0
SRX14953920	79.33	26799972.0	6983140.0	20.67	33783112.0
SRX14953921	56.49	19883132.0	15316389.0	43.51	35199521.0
SRX14953922	82.53	30850353.0	6528245.0	17.47	37378598.0
SRX14953923	66.83	24621270.0	12218859.0	33.17	36840129.0
SRX14953924	10.06	2769101.0	24758442.0	89.94	27527543.0
SRX14953925	86.6	26644165.0	4122515.0	13.4	30766680.0
SRX14953926	45.02	12199876.0	14901201.0	54.98	27101077.0
SRX14953927	73.32	24488242.0	8912822.0	26.68	33401064.0
SRX14953928	84.59	31129106.0	5671068.0	15.41	36800174.0
SRX14953929	73.01	22364272.0	8268004.0	26.99	30632276.0
SRX14953930	27.85	8820755.0	22850866.0	72.15	31671621.0
SRX14953931	87.53	19698154.0	2805214.0	12.47	22503368.0
SRX14953932	94.33	22629075.0	1360545.0	5.67	23989620.0
SRX18804540	4.63	490603.0	10096437.0	95.37	10587040.0
SRX18804541	5.26	585816.0	10542668.0	94.74	11128484.0
SRX18804542	4.53	414817.0	8733297.0	95.47	9148114.0
SRX18804543	4.48	415332.0	8850169.0	95.52	9265501.0
SRX18804544	5.38	699070.0	12289229.0	94.62	12988299.0
SRX18804545	5.39	626822.0	11002860.0	94.61	11629682.0
SRX18804546	4.11	365642.0	8521394.0	95.89	8887036.0
SRX18804547	4.67	487546.0	9946392.0	95.33	10433938.0
SRX18804548	8.57	912111.0	9729150.0	91.43	10641261.0
SRX18804549	7.34	699251.0	8825750.0	92.66	9525001.0
SRX18804550	7.16	625867.0	8113595.0	92.84	8739462.0
SRX18804551	6.86	560130.0	7609014.0	93.14	8169144.0
SRX18804552	14.82	1214940.0	6984533.0	85.18	8199473.0
SRX18804553	7.0	595311.0	7910027.0	93.0	8505338.0
SRX18804554	7.1	559153.0	7314831.0	92.9	7873984.0
SRX19817112	60.04	6553507.0	4361643.0	39.96	10915150.0
SRX19817113	58.8	5760020.0	4036333.0	41.2	9796353.0
SRX19817114	51.22	5334906.0	5080553.0	48.78	10415459.0
SRX19817115	60.69	6475829.0	4193731.0	39.31	10669560.0
SRX19817116	59.26	6186119.0	4252099.0	40.74	10438218.0
SRX19817117	50.02	5588411.0	5583483.0	49.98	11171894.0
SRX2036088	5.88	2754120.0	44094339.0	94.12	46848459.0
SRX2036089	6.01	2637388.0	41211821.0	93.99	43849209.0
SRX2036090	5.1	2188677.0	40706490.0	94.9	42895167.0
SRX2036091	5.9	2416302.0	38519613.0	94.1	40935915.0
SRX2036300	4.5	605021.0	12833884.0	95.5	13438905.0
SRX2036303	4.24	522444.0	11788251.0	95.76	12310695.0
SRX2036305	4.69	705480.0	14342560.0	95.31	15048040.0
SRX2036307	4.96	780305.0	14950697.0	95.04	15731002.0
SRX2037533	6.38	2350717.0	34521952.0	93.62	36872669.0
SRX2037535	6.29	2422873.0	36104716.0	93.71	38527589.0
SRX2037536	22.08	10738957.0	37889276.0	77.92	48628233.0
SRX2037537	19.77	11557482.0	46915855.0	80.23	58473337.0
SRX2037538	5.06	2482851.0	46598020.0	94.94	49080871.0
SRX2037540	4.88	1981417.0	38603746.0	95.12	40585163.0
SRX2037541	15.45	6502824.0	35573747.0	84.55	42076571.0
SRX2037542	16.18	7797908.0	40397823.0	83.82	48195731.0
SRX2037691	20.35	3412725.0	13354360.0	79.65	16767085.0
SRX2037693	15.99	2702733.0	14204198.0	84.01	16906931.0
SRX2037695	16.4	2394654.0	12202576.0	83.6	14597230.0
SRX2037697	16.34	2510917.0	12859573.0	83.66	15370490.0
SRX2037699	23.44	3737055.0	12204632.0	76.56	15941687.0
SRX2037713	29.35	4876177.0	11736032.0	70.65	16612209.0
SRX2037715	28.57	4925957.0	12317819.0	71.43	17243776.0
SRX2037717	17.89	2329325.0	10692991.0	82.11	13022316.0
SRX2116174	31.87	1158517.0	2476177.0	68.13	3634694.0
SRX2116175	38.02	1482491.0	2417184.0	61.98	3899675.0
SRX2116176	7.56	262116.0	3204954.0	92.44	3467070.0
SRX21659709	6.62	676934.0	9555719.0	93.38	10232653.0
SRX21659710	6.81	762134.0	10436688.0	93.19	11198822.0
SRX21659711	6.27	1573285.0	23514039.0	93.73	25087324.0
SRX22720559	6.03	1094564.0	17046326.0	93.97	18140890.0
SRX22720560	5.36	970071.0	17141967.0	94.64	18112038.0
SRX22720561	5.21	943823.0	17154762.0	94.79	18098585.0
SRX22720562	5.17	932887.0	17102124.0	94.83	18035011.0
SRX22720563	5.86	1057206.0	16983027.0	94.14	18040233.0
SRX22720564	4.89	886753.0	17258457.0	95.11	18145210.0
SRX22720565	5.72	1033046.0	17018796.0	94.28	18051842.0
SRX22720566	6.74	1221216.0	16892367.0	93.26	18113583.0
SRX22720567	5.01	902805.0	17120601.0	94.99	18023406.0
SRX22720568	5.54	999989.0	17036561.0	94.46	18036550.0
SRX22720569	5.17	935784.0	17153585.0	94.83	18089369.0
SRX22720570	5.71	1035299.0	17082485.0	94.29	18117784.0
SRX22720571	5.29	958581.0	17175021.0	94.71	18133602.0
SRX22720572	3.99	720254.0	17344613.0	96.01	18064867.0
SRX22720574	5.8	1049225.0	17031975.0	94.2	18081200.0
SRX22720575	5.59	1007413.0	17005940.0	94.41	18013353.0
SRX22720576	5.02	905716.0	17138572.0	94.98	18044288.0
SRX22720577	5.43	982292.0	17101242.0	94.57	18083534.0
SRX22720578	5.1	920091.0	17114242.0	94.9	18034333.0
SRX22720579	5.56	1006463.0	17087824.0	94.44	18094287.0
SRX3316529	3.56	1217858.0	32969799.0	96.44	34187657.0
SRX3316530	3.46	944374.0	26322732.0	96.54	27267106.0
SRX3316531	3.46	946816.0	26438096.0	96.54	27384912.0
SRX3316532	5.82	1819233.0	29457384.0	94.18	31276617.0
SRX3316533	4.2	1303632.0	29704742.0	95.8	31008374.0
SRX3316534	5.76	1539895.0	25180491.0	94.24	26720386.0
SRX3316535	5.27	1479851.0	26616923.0	94.73	28096774.0
SRX3316536	5.73	1551534.0	25536855.0	94.27	27088389.0
SRX3316537	4.01	1107430.0	26508160.0	95.99	27615590.0
SRX3316538	5.19	1392905.0	25431776.0	94.81	26824681.0
SRX3316539	3.71	915754.0	23755201.0	96.29	24670955.0
SRX3316540	5.81	1713904.0	27761713.0	94.19	29475617.0
SRX3316541	3.5	1057513.0	29134382.0	96.5	30191895.0
SRX3316542	4.11	1109099.0	25874083.0	95.89	26983182.0
SRX3316543	3.86	1163558.0	28966321.0	96.14	30129879.0
SRX3316544	4.45	1060474.0	22791239.0	95.55	23851713.0
SRX3316545	4.4	1018044.0	22124261.0	95.6	23142305.0
SRX3316546	3.96	1092173.0	26467538.0	96.04	27559711.0
SRX3316547	3.66	792712.0	20888067.0	96.34	21680779.0
SRX3316548	3.46	814764.0	22761904.0	96.54	23576668.0
SRX3316549	3.13	715783.0	22164830.0	96.87	22880613.0
SRX3316550	3.69	1016331.0	26554442.0	96.31	27570773.0
SRX3316551	3.37	986643.0	28287987.0	96.63	29274630.0
SRX3316552	3.56	950312.0	25746363.0	96.44	26696675.0
SRX3316553	4.44	1104470.0	23791203.0	95.56	24895673.0
SRX3316554	3.92	1005095.0	24633828.0	96.08	25638923.0
SRX3316555	4.31	970503.0	21563795.0	95.69	22534298.0
SRX3316556	3.41	815458.0	23086179.0	96.59	23901637.0
SRX3316557	3.92	1033973.0	25314664.0	96.08	26348637.0
SRX3316558	4.32	968259.0	21430416.0	95.68	22398675.0
SRX3316559	4.86	1254125.0	24561918.0	95.14	25816043.0
SRX3316560	3.91	1021873.0	25087735.0	96.09	26109608.0
SRX3316561	5.28	1418998.0	25431150.0	94.72	26850148.0
SRX3316625	4.41	1102802.0	23885907.0	95.59	24988709.0
SRX3316626	5.84	1424060.0	22963577.0	94.16	24387637.0
SRX3316627	4.06	1028607.0	24311813.0	95.94	25340420.0
SRX3316628	4.39	1112340.0	24210257.0	95.61	25322597.0
SRX3316629	3.77	883732.0	22574666.0	96.23	23458398.0
SRX3316630	4.41	1333834.0	28890536.0	95.59	30224370.0
SRX3316631	3.53	991560.0	27129634.0	96.47	28121194.0
SRX3316632	3.83	907342.0	22757942.0	96.17	23665284.0
SRX3316633	5.61	1329772.0	22356348.0	94.39	23686120.0
SRX3316634	4.26	1052363.0	23631124.0	95.74	24683487.0
SRX3316735	18.52	5309121.0	23353437.0	81.48	28662558.0
SRX3316736	14.77	4621982.0	26671441.0	85.23	31293423.0
SRX3316737	16.5	5387467.0	27255483.0	83.5	32642950.0
SRX3316738	14.92	4424273.0	25223300.0	85.08	29647573.0
SRX3316739	16.39	4174468.0	21296816.0	83.61	25471284.0
SRX3316740	30.48	6029660.0	13750817.0	69.52	19780477.0
SRX3316741	13.43	5118326.0	33002530.0	86.57	38120856.0
SRX3316742	14.52	4259946.0	25084872.0	85.48	29344818.0
SRX3316743	15.59	4560959.0	24690126.0	84.41	29251085.0
SRX3316744	35.97	2830743.0	5039297.0	64.03	7870040.0
SRX3316745	32.92	7560777.0	15406042.0	67.08	22966819.0
SRX3316746	33.86	7477105.0	14602882.0	66.14	22079987.0
SRX3316747	22.6	6115426.0	20942731.0	77.4	27058157.0
SRX3316748	15.44	4099946.0	22448619.0	84.56	26548565.0
SRX3316749	22.83	5722516.0	19341928.0	77.17	25064444.0
SRX3316750	15.41	4227992.0	23206630.0	84.59	27434622.0
SRX3316751	18.12	3952998.0	17865115.0	81.88	21818113.0
SRX3316752	16.42	2902341.0	14768784.0	83.58	17671125.0
SRX3316753	17.01	3863308.0	18852521.0	82.99	22715829.0
SRX3316754	16.8	3403864.0	16861088.0	83.2	20264952.0
SRX3316755	17.29	4498099.0	21523573.0	82.71	26021672.0
SRX3316756	17.25	3322164.0	15940253.0	82.75	19262417.0
SRX3316757	17.01	3521283.0	17181639.0	82.99	20702922.0
SRX3316758	16.29	4273421.0	21959151.0	83.71	26232572.0
SRX3411505	34.14	2667435.0	5146580.0	65.86	7814015.0
SRX3411506	41.11	2007032.0	2875332.0	58.89	4882364.0
SRX3411507	42.73	2530335.0	3391428.0	57.27	5921763.0
SRX3411508	32.33	1574090.0	3295151.0	67.67	4869241.0
SRX3411509	35.91	1936955.0	3456861.0	64.09	5393816.0
SRX3411510	65.54	3620986.0	1903786.0	34.46	5524772.0
SRX3411511	52.45	3461835.0	3138331.0	47.55	6600166.0
SRX3411512	48.67	2030294.0	2141005.0	51.33	4171299.0
SRX3411513	49.79	2624434.0	2646805.0	50.21	5271239.0
SRX3411514	77.61	3476623.0	1002826.0	22.39	4479449.0
SRX3411515	85.02	3503305.0	617463.0	14.98	4120768.0
SRX3411516	78.69	4489363.0	1215753.0	21.31	5705116.0
SRX3411517	78.65	4298881.0	1167231.0	21.35	5466112.0
SRX3411518	78.13	2355373.0	659462.0	21.87	3014835.0
SRX3411519	85.92	2789419.0	457180.0	14.08	3246599.0
SRX3411520	69.11	2387505.0	1067077.0	30.89	3454582.0
SRX3411521	73.03	3831795.0	1415085.0	26.97	5246880.0
SRX3411522	83.96	3393520.0	648432.0	16.04	4041952.0
SRX3411523	86.15	3895738.0	626085.0	13.85	4521823.0
SRX3411524	64.83	4036017.0	2189350.0	35.17	6225367.0
SRX3411525	86.23	3745834.0	598024.0	13.77	4343858.0
SRX3541437	62.27	25120996.0	15219846.0	37.73	40340842.0
SRX3541438	12.1	3898915.0	28332785.0	87.9	32231700.0
SRX3541439	35.63	11658328.0	21060724.0	64.37	32719052.0
SRX3541440	16.16	4944987.0	25661655.0	83.84	30606642.0
SRX3541441	78.57	24569545.0	6701035.0	21.43	31270580.0
SRX3541442	19.43	6797470.0	28184805.0	80.57	34982275.0
SRX3541443	81.35	23078432.0	5291425.0	18.65	28369857.0
SRX3541444	79.4	22648086.0	5876401.0	20.6	28524487.0
SRX3541445	54.15	17781419.0	15058540.0	45.85	32839959.0
SRX3541446	66.69	24386301.0	12179719.0	33.31	36566020.0
SRX3541447	86.53	26437667.0	4116297.0	13.47	30553964.0
SRX3541448	44.63	11992539.0	14876918.0	55.37	26869457.0
SRX3541449	84.48	30785493.0	5653609.0	15.52	36439102.0
SRX3541450	72.87	22157041.0	8249816.0	27.13	30406857.0
SRX3541451	27.59	8690645.0	22813559.0	72.41	31504204.0
SRX3541452	87.48	19576180.0	2800502.0	12.52	22376682.0
SRX3541453	94.3	22460193.0	1358230.0	5.7	23818423.0
SRX5252024	0.79	108502.0	13589650.0	99.21	13698152.0
SRX5252025	0.52	62724.0	11960542.0	99.48	12023266.0
SRX5252026	1.15	103992.0	8912840.0	98.85	9016832.0
SRX5252027	1.99	226030.0	11113061.0	98.01	11339091.0
SRX5252028	0.59	88454.0	14973665.0	99.41	15062119.0
SRX5252029	0.69	68474.0	9883591.0	99.31	9952065.0
SRX5252030	0.51	58404.0	11338802.0	99.49	11397206.0
SRX5252031	1.83	180201.0	9649173.0	98.17	9829374.0
SRX5252032	0.52	71665.0	13623590.0	99.48	13695255.0
SRX5252033	0.83	130611.0	15595926.0	99.17	15726537.0
SRX5252034	4.21	450969.0	10268365.0	95.79	10719334.0
SRX5252035	1.53	185565.0	11980562.0	98.47	12166127.0
SRX5252036	0.51	56453.0	11008207.0	99.49	11064660.0
SRX5252037	0.54	56634.0	10362626.0	99.46	10419260.0
SRX5252038	5.31	484663.0	8642284.0	94.69	9126947.0
SRX5252039	0.88	66588.0	7526476.0	99.12	7593064.0
SRX5252040	1.01	153466.0	15068957.0	98.99	15222423.0
SRX5252041	0.49	47795.0	9612363.0	99.51	9660158.0
SRX5252042	0.5	52210.0	10434396.0	99.5	10486606.0
SRX5252043	7.65	742449.0	8957160.0	92.35	9699609.0
SRX5252044	0.92	89382.0	9631998.0	99.08	9721380.0
SRX5252045	0.51	65471.0	12681578.0	99.49	12747049.0
SRX5252046	0.45	37697.0	8259324.0	99.55	8297021.0
SRX5252047	6.91	494970.0	6667086.0	93.09	7162056.0
SRX5252048	0.83	83922.0	10044373.0	99.17	10128295.0
SRX5252049	0.56	67053.0	11998983.0	99.44	12066036.0
SRX5252050	0.51	48781.0	9588313.0	99.49	9637094.0
SRX5252051	6.12	506468.0	7762687.0	93.88	8269155.0
SRX5252052	0.77	85393.0	11034581.0	99.23	11119974.0
SRX5252053	0.78	120726.0	15264074.0	99.22	15384800.0
SRX5252054	0.8	90268.0	11135913.0	99.2	11226181.0
SRX5252055	0.78	105199.0	13425894.0	99.22	13531093.0
SRX5252056	0.89	139895.0	15624837.0	99.11	15764732.0
SRX5252057	1.01	142406.0	13926329.0	98.99	14068735.0
SRX5252058	1.01	159960.0	15636071.0	98.99	15796031.0
SRX5252059	1.2	185417.0	15278446.0	98.8	15463863.0
SRX5252060	0.84	92168.0	10839690.0	99.16	10931858.0
SRX5252061	0.94	125672.0	13176153.0	99.06	13301825.0
SRX5329169	79.46	22783505.0	5890777.0	20.54	28674282.0
SRX5329170	16.43	5056557.0	25724646.0	83.57	30781203.0
SRX5329171	17.94	5973512.0	27324686.0	82.06	33298198.0
SRX5329172	19.77	6966784.0	28269452.0	80.23	35236236.0
SRX5329173	86.6	26644249.0	4122515.0	13.4	30766764.0
SRX5329174	9.74	3470644.0	32151288.0	90.26	35621932.0
SRX5329175	35.99	11877351.0	21126064.0	64.01	33003415.0
SRX5329176	79.33	26800056.0	6983139.0	20.67	33783195.0
SRX5329177	12.82	4178439.0	28403643.0	87.18	32582082.0
SRX5329178	81.45	23303463.0	5307443.0	18.55	28610906.0
SRX5329179	78.63	24720552.0	6718061.0	21.37	31438613.0
SRX5329180	66.83	24621315.0	12218855.0	33.17	36840170.0
SRX5329181	27.85	8820846.0	22850869.0	72.15	31671715.0
SRX5329182	10.06	2769193.0	24758431.0	89.94	27527624.0
SRX5329183	22.07	8408146.0	29688233.0	77.93	38096379.0
SRX5329184	62.39	25317941.0	15258946.0	37.61	40576887.0
SRX5329185	87.53	19698219.0	2805214.0	12.47	22503433.0
SRX5329186	94.33	22629145.0	1360545.0	5.67	23989690.0
SRX5329187	45.02	12199940.0	14901203.0	54.98	27101143.0
SRX5329188	54.37	17985056.0	15095751.0	45.63	33080807.0
SRX5329189	73.01	22364375.0	8267999.0	26.99	30632374.0
SRX5329190	84.59	31129153.0	5671067.0	15.41	36800220.0
SRX5329191	82.53	30850396.0	6528245.0	17.47	37378641.0
SRX5329192	73.32	24488283.0	8912819.0	26.68	33401102.0
SRX5329193	56.49	19883176.0	15316384.0	43.51	35199560.0
SRX5329194	68.11	24794432.0	11608218.0	31.89	36402650.0
SRX6700162	4.59	1703230.0	35398234.0	95.41	37101464.0
SRX6700163	4.02	1364419.0	32572429.0	95.98	33936848.0
SRX6700164	4.7	1945727.0	39452192.0	95.3	41397919.0
SRX6700165	3.95	1669181.0	40619062.0	96.05	42288243.0
SRX6700166	5.68	2070714.0	34412876.0	94.32	36483590.0
SRX6700168	4.03	1601110.0	38116464.0	95.97	39717574.0
SRX6700169	4.36	1529198.0	33557083.0	95.64	35086281.0
SRX6700170	3.99	1633684.0	39348271.0	96.01	40981955.0
SRX6700171	4.6	2037758.0	42227285.0	95.4	44265043.0
SRX6700172	4.41	1772317.0	38393877.0	95.59	40166194.0
SRX6700173	4.57	1598572.0	33377965.0	95.43	34976537.0
SRX6700174	4.34	1774076.0	39128944.0	95.66	40903020.0
SRX6700175	4.39	1600308.0	34855058.0	95.61	36455366.0
SRX6700176	4.07	1676429.0	39495790.0	95.93	41172219.0
SRX6700177	4.68	1369073.0	27856352.0	95.32	29225425.0
SRX6700178	5.09	1485424.0	27708114.0	94.91	29193538.0
SRX6700179	14.49	5834874.0	34422194.0	85.51	40257068.0
SRX6700180	22.04	10578731.0	37413300.0	77.96	47992031.0
SRX6700181	3.04	1025567.0	32708630.0	96.96	33734197.0
SRX6700182	15.57	6829717.0	37042540.0	84.43	43872257.0
SRX6700183	3.83	1152261.0	28948132.0	96.17	30100393.0
SRX6700184	4.53	1813258.0	38187663.0	95.47	40000921.0
