Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
Kiley_A_DZM0422_Aerobic_A	6302147	36247731	4.4	36247731	9.889658362339976	4899443136	21176068	5437159650
Kiley_A_DZM0422_Aerobic_B	5509950	34391133	4.4	34391133	9.359970470683049	4675819966	19801327	5158669950
Kiley_A_DZM0422_Aerobic_C	2746391	35013714	4.4	35013714	9.093504200477941	4774461067	20280173	5252057100
Kiley_A_DZM0422_Anaerobic_A	3813057	37305687	4.4	37305687	9.003476762135488	5092031721	21565339	5595853050
Kiley_A_DZM0422_Anaerobic_B	3739391	31539542	4.4	31539542	9.906757576462798	4262249405	18920908	4730931300
Kiley_A_DZM0422_Anaerobic_C	5303579	30134885	4.4	30134885	9.402097071218291	4095236079	17217789	4520232750
Kiley_A_WT_Aerobic_A	6103641	32745805	4.4	32745805	9.622892459049334	4439206710	18914956	4911870750
Kiley_A_WT_Aerobic_B	5199299	29040526	4.4	29040526	9.555808711361955	3939820333	16617305	4356078900
Kiley_A_WT_Aerobic_C	4095928	32429765	4.4	32429765	9.401225571631494	4407145446	19000116	4864464750
Kiley_A_WT_Anaerobic_A	6540000	30272223	4.4	30272223	11.383684662559029	4023919289	18699940	4540833450
Kiley_A_WT_Anaerobic_B	6573021	32846268	4.4	32846268	10.054319656650186	4431569883	19655766	4926940200
Kiley_A_WT_Anaerobic_C	3887172	28293671	4.4	28293671	9.026452170169081	3860963448	16802742	4244050650
Kiley_B_Dfur_-O2_A	504709	4123705	4.4	4123705	0.344533336778171	597093108	1126781	599157405
Kiley_B_Dfur_-O2_B	446794	4281130	4.4	4281130	0.3351758344118545	619562343	1185740	621645950
Kiley_B_Dfur_-O2_C	156503	3717905	4.4	3717905	0.3142549028020325	537327760	1105377	539021662
Kiley_B_DrsuR_-O2_A	166479	3713426	4.4	3713426	0.31641995526871475	535296364	1081994	536995525
Kiley_B_DrsuR_-O2_B	177422	4094233	4.4	4094233	0.3174975120236075	591163315	1206037	593046222
Kiley_B_DrsuR_-O2_C	487640	4795012	4.4	4795012	0.33143109889581274	692400903	1296907	694703366
Kiley_B_WT_+O2_Ctrl_A	292764	3823184	4.4	3823184	0.31973684014889503	550412331	1044052	552177847
Kiley_B_WT_+O2_Ctrl_B	294333	3348814	4.4	3348814	0.32073330473000705	480658398	890796	482204990
Kiley_B_WT_+O2_Ctrl_C	173506	3911176	4.4	3911176	0.3198946860456457	560503158	1139754	562301932
Kiley_B_WT_+O2_Paraquat_A	382121	3955065	4.4	3955065	0.3260134851009392	569235687	1061969	571097542
Kiley_B_WT_+O2_Paraquat_B	325364	3261971	4.4	3261971	0.32714478276067027	467847744	864521	469383307
Kiley_B_WT_+O2_Paraquat_C	202882	4811238	4.4	4811238	0.3228418377254505	689127899	1427860	691359898
Kiley_B_WT_-O2_Ctrl_A	178403	4163528	4.4	4163528	0.3250153229314122	600605780	1260258	602564206
Kiley_B_WT_-O2_Ctrl_B	134499	3121594	4.4	3121594	0.3211740473999819	450044057	928906	451494139
Kiley_B_WT_-O2_Ctrl_C	664589	4112318	4.4	4112318	0.3737554677987849	592919819	1114332	595144203
Kiley_B_WT_-O2_NoFe_A	185729	4141057	4.4	4141057	0.32453715299594926	593712118	1229236	595645208
Kiley_B_WT_-O2_NoFe_B	224325	4962544	4.4	4962544	0.32275663370978597	714393970	1475408	716707190
Kiley_B_WT_-O2_NoFe_C	443433	4388971	4.4	4388971	0.3320251003669744	635047732	1201662	637163274
Kiley_B_WT_-O2_NoFe_DIP_A	729450	3221548	4.4	3221548	0.42137857458710876	465043046	889837	467010930
Kiley_B_WT_-O2_NoFe_DIP_B	383722	4308031	4.4	4308031	0.3223967446298842	618735801	1150844	620737037
Kiley_B_WT_-O2_NoFe_DIP_C	257194	5867384	4.4	5867384	0.3191734053258725	843995303	1722565	846697737
Kiley_B_WT_-O2_Peroxide_A	607622	4201360	4.4	4201360	0.36081660519260694	601353618	1121922	603531259
Kiley_B_WT_-O2_Peroxide_C	176262	3819793	4.4	3819793	0.31019027803309795	546451296	1107481	548151609
SRX10341586	682546	9090051	4.4	9090051	0.4915274219400236	1356805636	3035966	1363507650
SRX10341587	1151766	8906657	4.4	8906657	0.5194308032744497	1329058962	2876126	1335998550
SRX10341588	697149	7450610	4.4	7450610	0.5496925307681743	1111448183	2406497	1117591500
SRX10341589	336798	8222245	4.4	8222245	0.49400628011773745	1227243989	2491332	1233336750
SRX10341590	1357594	12511522	4.4	12511522	0.4467036597679057	1868344886	3839576	1876728300
SRX10341591	803611	12598294	4.4	12598294	0.4136008679693721	1881928102	4027027	1889744100
