Sample	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename
Kiley_A_DZM0422_Aerobic_A	pass	warn	36209803.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.519137386796714	Sanger / Illumina 1.9	134.89368268587376	fail	0.0	4.8 Gbp	Kiley_A_DZM0422_Aerobic_A_val_2.fq.gz
Kiley_A_DZM0422_Aerobic_B	pass	warn	34351769.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.844750220962443	Sanger / Illumina 1.9	135.67210102047437	fail	0.0	4.6 Gbp	Kiley_A_DZM0422_Aerobic_B_val_2.fq.gz
Kiley_A_DZM0422_Aerobic_C	pass	warn	34965019.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.833911179402644	Sanger / Illumina 1.9	136.19503887585475	fail	0.0	4.7 Gbp	Kiley_A_DZM0422_Aerobic_C_val_2.fq.gz
Kiley_A_DZM0422_Anaerobic_A	pass	warn	37252520.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	9.033258220610557	Sanger / Illumina 1.9	136.2974610039804	fail	0.0	5 Gbp	Kiley_A_DZM0422_Anaerobic_A_val_2.fq.gz
Kiley_A_DZM0422_Anaerobic_B	pass	warn	31503978.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.972677800062808	Sanger / Illumina 1.9	134.92614596163062	fail	0.0	4.2 Gbp	Kiley_A_DZM0422_Anaerobic_B_val_2.fq.gz
Kiley_A_DZM0422_Anaerobic_C	pass	warn	30100604.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.420996063423546	Sanger / Illumina 1.9	135.61562375957638	fail	0.0	4 Gbp	Kiley_A_DZM0422_Anaerobic_C_val_2.fq.gz
Kiley_A_WT_Aerobic_A	pass	warn	32707126.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.301618325613859	Sanger / Illumina 1.9	135.26459478585798	fail	0.0	4.4 Gbp	Kiley_A_WT_Aerobic_A_val_1.fq.gz
Kiley_A_WT_Aerobic_B	pass	warn	29010123.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.062244398931886	Sanger / Illumina 1.9	135.37137660533187	fail	0.0	3.9 Gbp	Kiley_A_WT_Aerobic_B_val_1.fq.gz
Kiley_A_WT_Aerobic_C	pass	warn	32390557.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.183183441100429	Sanger / Illumina 1.9	135.68678726333727	fail	0.0	4.4 Gbp	Kiley_A_WT_Aerobic_C_val_1.fq.gz
Kiley_A_WT_Anaerobic_A	pass	warn	30225623.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.466492162445425	Sanger / Illumina 1.9	132.70050843947865	fail	0.0	4 Gbp	Kiley_A_WT_Anaerobic_A_val_1.fq.gz
Kiley_A_WT_Anaerobic_B	pass	warn	32803160.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.765232300397998	Sanger / Illumina 1.9	134.67234556061064	fail	0.0	4.4 Gbp	Kiley_A_WT_Anaerobic_B_val_1.fq.gz
Kiley_A_WT_Anaerobic_C	pass	warn	28259068.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.833877401480474	Sanger / Illumina 1.9	136.25766677797017	fail	0.0	3.8 Gbp	Kiley_A_WT_Anaerobic_C_val_1.fq.gz
