Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
Kiley_A_DZM0422_Aerobic_A	2184498	0	77.76439159307219	0	0	56316666	72419606	0	0	7522108	45970	0	0	0	0	2757562	3592802
Kiley_A_DZM0422_Aerobic_B	1965794	0	79.40233150729443	0	0	54552211	68703538	0	0	6090661	43698	0	0	0	0	2784060	3267114
Kiley_A_DZM0422_Aerobic_C	2104834	0	78.71474916115446	0	0	55045254	69930038	0	0	6646331	45513	0	0	0	0	2761395	3326711
Kiley_A_DZM0422_Anaerobic_A	3295050	0	78.35145514987978	0	0	58375783	74505040	0	0	6465873	51314	0	0	0	0	2914505	3402515
Kiley_A_DZM0422_Anaerobic_B	2761952	0	78.44082261611534	0	0	49423959	63007956	0	0	5262562	43561	0	0	0	0	2413210	3102712
Kiley_A_DZM0422_Anaerobic_C	2224854	0	77.52270519222803	0	0	46669605	60201208	0	0	5806319	41167	0	0	0	0	2327283	3131980
Kiley_A_WT_Aerobic_A	2764130	0	76.99290056851831	0	0	50364330	65414252	0	0	6274490	43069	0	0	0	0	2504742	3463491
Kiley_A_WT_Aerobic_B	2016516	0	77.53090188552459	0	0	44983620	58020246	0	0	5899621	37655	0	0	0	0	2237386	2845448
Kiley_A_WT_Aerobic_C	2034222	0	79.17320162169487	0	0	51289282	64781114	0	0	5848477	42383	0	0	0	0	2644618	2922132
Kiley_A_WT_Anaerobic_A	2880072	0	76.40383624185347	0	0	46187071	60451246	0	0	6316592	41406	0	0	0	0	2197554	2828551
Kiley_A_WT_Anaerobic_B	3102242	0	76.26938685175453	0	0	50037538	65606320	0	0	7083229	40777	0	0	0	0	2551803	2790731
Kiley_A_WT_Anaerobic_C	2103726	0	80.26859732245947	0	0	45366315	56518136	0	0	3933069	39737	0	0	0	0	2391990	2683299
Kiley_B_Dfur_-O2_A	316702	0	83.47449680565634	0	0	6881332	8243634	0	0	1858	4794	0	0	0	0	395227	643721
Kiley_B_Dfur_-O2_B	399490	0	1.138095476219741	0	0	97409	8558948	0	0	0	50	0	0	0	0	34485	8027514
Kiley_B_Dfur_-O2_C	318522	0	83.05636575114416	0	0	6172480	7431676	0	0	1755	4403	0	0	0	0	358874	575642
Kiley_B_DrsuR_-O2_A	275718	0	84.41756049830789	0	0	6267028	7423844	0	0	1567	4428	0	0	0	0	365994	509109
Kiley_B_DrsuR_-O2_B	295934	0	84.546342877082	0	0	6920037	8184904	0	0	1745	5132	0	0	0	0	403020	559036
Kiley_B_DrsuR_-O2_C	301228	0	86.08191670877699	0	0	8251754	9585932	0	0	1450	6906	0	0	0	0	479291	545303
Kiley_B_WT_+O2_Ctrl_A	194648	0	84.16635903816886	0	0	6434099	7644502	0	0	2035	4668	0	0	0	0	385403	623649
Kiley_B_WT_+O2_Ctrl_B	198274	0	83.7267216926463	0	0	5605926	6695504	0	0	1700	3986	0	0	0	0	337635	547983
Kiley_B_WT_+O2_Ctrl_C	263758	0	1.2767302853234213	0	0	99822	7818566	0	0	2	50	0	0	0	0	31353	7423581
Kiley_B_WT_+O2_Paraquat_A	306606	0	83.56477447451496	0	0	6607689	7907266	0	0	2454	4580	0	0	0	0	400321	585616
Kiley_B_WT_+O2_Paraquat_B	237036	0	83.96629823409984	0	0	5475711	6521320	0	0	1326	3774	0	0	0	0	330376	473097
Kiley_B_WT_+O2_Paraquat_C	269582	0	84.07134772193824	0	0	8085577	9617518	0	0	2159	5811	0	0	0	0	492143	762246
Kiley_B_WT_-O2_Ctrl_A	221862	0	85.40661344455042	0	0	7109981	8324860	0	0	2099	5529	0	0	0	0	411821	573568
Kiley_B_WT_-O2_Ctrl_B	231998	0	84.9669917813915	0	0	5296759	6233902	0	0	1801	3998	0	0	0	0	300055	399291
Kiley_B_WT_-O2_Ctrl_C	266582	0	84.98552754196503	0	0	6983837	8217678	0	0	1664	5378	0	0	0	0	404490	555727
Kiley_B_WT_-O2_NoFe_A	246686	0	86.43785307049015	0	0	7155405	8278092	0	0	1519	6060	0	0	0	0	401532	466890
Kiley_B_WT_-O2_NoFe_B	371700	0	84.39131999358919	0	0	8372235	9920730	0	0	2317	6087	0	0	0	0	488892	679499
Kiley_B_WT_-O2_NoFe_C	379364	0	84.22742679825578	0	0	7390608	8774586	0	0	1542	5676	0	0	0	0	434214	563182
Kiley_B_WT_-O2_NoFe_DIP_A	281954	0	85.21489795024051	0	0	5483744	6435194	0	0	867	4620	0	0	0	0	318866	345143
Kiley_B_WT_-O2_NoFe_DIP_B	298856	0	84.39497064296619	0	0	7269165	8613268	0	0	1310	5356	0	0	0	0	437243	601338
Kiley_B_WT_-O2_NoFe_DIP_C	446358	0	84.22481685051963	0	0	9877302	11727306	0	0	1914	7502	0	0	0	0	580519	813711
Kiley_B_WT_-O2_Peroxide_A	234818	0	87.12197629266251	0	0	7315540	8396894	0	0	1112	4940	0	0	0	0	366598	473886
Kiley_B_WT_-O2_Peroxide_C	274868	0	85.418564223809	0	0	6523426	7637012	0	0	1090	3669	0	0	0	0	366438	467521
SRX10341586	1016158	0	82.04010595895328	0	0	14912307	18176850	0	0	5002	12098	0	0	0	0	848827	1382458
SRX10341587	1121922	0	77.47199423294263	0	0	13798932	17811510	0	0	3897	9409	0	0	0	0	800295	2077055
SRX10341588	719942	0	81.69593188047729	0	0	12173019	14900398	0	0	11124	8366	0	0	0	0	679327	1308620
SRX10341589	619018	0	66.26243832910791	0	0	10895216	16442522	0	0	1537	10211	0	0	0	0	557648	4358892
SRX10341590	2305804	0	75.05723468844185	0	0	18779164	25019792	0	0	2296	17316	0	0	0	0	962312	2952900
SRX10341591	2398686	0	76.24039396712436	0	0	19207061	25192762	0	0	1403	19537	0	0	0	0	978135	2587940
SRX10341592	671520	0	82.90057732064568	0	0	13376484	16135574	0	0	3276	10976	0	0	0	0	725367	1347951
SRX10341593	762490	0	81.51180042276458	0	0	13545049	16617286	0	0	11580	11718	0	0	0	0	784887	1501562
SRX10341594	944556	0	81.23635201941953	0	0	15603110	19207054	0	0	19795	13236	0	0	0	0	941610	1684747
SRX10341595	1005742	0	81.53236995185433	0	0	15322693	18793386	0	0	8567	12814	0	0	0	0	825095	1618475
SRX10341596	868836	0	81.03375556600382	0	0	14766885	18223128	0	0	9834	12666	0	0	0	0	880898	1684009
SRX10341597	747112	0	81.65553775038352	0	0	11942093	14624964	0	0	7116	10350	0	0	0	0	676256	1242037
SRX11348531	6476334	0	56.440166692741315	0	0	12287495	21770834	0	0	11242	10490	0	0	0	0	902026	2083247
SRX11348532	7268884	0	57.055939773712794	0	0	14620863	25625488	0	0	11962	13849	0	0	0	0	1008037	2701893
SRX1432806	4620313	0	30.058619695376137	0	0	4372111	14545282	0	0	4160211	3714	0	0	0	0	207646	1181287
SRX14563846	1592584	0	84.04796606126088	0	0	38782569	46143376	0	0	1070210	18264	0	0	0	0	1490829	3188920
SRX14563847	2178918	0	81.0713137593958	0	0	34766426	42883758	0	0	1679428	16722	0	0	0	0	1308648	2933616
SRX14563848	4561456	0	75.20395422676017	0	0	36224546	48168406	0	0	2699529	18424	0	0	0	0	1345292	3319159
SRX14563849	1500530	0	85.08618276274478	0	0	39717723	46679404	0	0	998290	19132	0	0	0	0	1508659	2935070
SRX14570260	1534364	0	82.18083660450148	0	0	19922783	24242614	0	0	37205	12454	0	0	0	0	634259	2101549
SRX14570261	1197780	0	82.21102798002144	0	0	15376800	18704060	0	0	28785	9658	0	0	0	0	482876	1608161
