Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-total_sequences
Kiley_A_DZM0422_Aerobic_A	9.889658362339976	48.0	147	134.89368268587376	18.181818181818183	35117554.0	96.98	77.76439159307219	92.48086261320329	56316666	36209803.0
Kiley_A_DZM0422_Aerobic_B	9.359970470683049	48.0	147	135.67210102047437	18.181818181818183	33368872.0	97.14	79.40233150729443	92.15524977903756	54552211	34351769.0
Kiley_A_DZM0422_Aerobic_C	9.093504200477941	48.0	147	136.19503887585475	18.181818181818183	33912602.0	96.99	78.71474916115446	92.16608882059735	55045254	34965019.0
Kiley_A_DZM0422_Anaerobic_A	9.003476762135488	48.0	147	136.2974610039804	18.181818181818183	35604995.0	95.58	78.35145514987978	90.96674177938944	58375783	37252520.0
Kiley_A_DZM0422_Anaerobic_B	9.906757576462798	48.0	147	134.92614596163062	18.181818181818183	30123002.0	95.62	78.44082261611534	91.02732219993719	49423959	31503978.0
Kiley_A_DZM0422_Anaerobic_C	9.402097071218291	48.0	147	135.61562375957638	18.181818181818183	28988177.0	96.3	77.52270519222803	91.57900393657646	46669605	30100604.0
Kiley_A_WT_Aerobic_A	9.622892459049334	49.0	147	135.26459478585798	18.181818181818183	31325061.0	95.77	76.99290056851831	91.69838167438614	50364330	32707126.0
Kiley_A_WT_Aerobic_B	9.555808711361955	49.0	147	135.37137660533187	18.181818181818183	28001865.0	96.52	77.53090188552459	91.93775560106812	44983620	29010123.0
Kiley_A_WT_Aerobic_C	9.401225571631494	49.0	147	135.68678726333727	18.181818181818183	31373446.0	96.86	79.17320162169487	92.81681655889957	51289282	32390557.0
Kiley_A_WT_Anaerobic_A	11.383684662559029	48.0	147	132.70050843947865	18.181818181818183	28785587.0	95.24	76.40383624185347	91.53350783755458	46187071	30225623.0
Kiley_A_WT_Anaerobic_B	10.054319656650186	48.0	147	134.67234556061064	18.181818181818183	31252039.0	95.27	76.26938685175453	92.234767699602	50037538	32803160.0
Kiley_A_WT_Anaerobic_C	9.026452170169081	48.0	147	136.25766677797017	18.181818181818183	27207205.0	96.28	80.26859732245947	92.16612259851952	45366315	28259068.0
Kiley_B_Dfur_-O2_A	0.344533336778171	48.0	150	144.3711724707817	18.181818181818183	3963466.0	96.16	83.47449680565634	91.67049103781433	6881332	4121817.0
Kiley_B_Dfur_-O2_B	0.3351758344118545	48.0	150	144.2800951705747	18.181818181818183	4079729.0	95.33	1.138095476219741	91.54932281661057	97409	4279474.0
Kiley_B_Dfur_-O2_C	0.3142549028020325	48.0	150	144.06888190497003	18.181818181818183	3556577.0	95.71	83.05636575114416	91.42322640534253	6172480	3715838.0
Kiley_B_DrsuR_-O2_A	0.31641995526871475	48.0	150	143.76245890942752	18.181818181818183	3574063.0	96.29	84.41756049830789	90.62009610154811	6267028	3711922.0
Kiley_B_DrsuR_-O2_B	0.3174975120236075	48.0	150	143.9902325060868	18.181818181818183	3944485.0	96.38	84.546342877082	90.38870807726066	6920037	4092452.0
Kiley_B_DrsuR_-O2_C	0.33143109889581274	48.0	150	144.02852137903753	18.181818181818183	4642352.0	96.86	86.08191670877699	91.58536231453647	8251754	4792966.0
Kiley_B_WT_+O2_Ctrl_A	0.31973684014889503	48.0	150	143.57717847415043	18.181818181818183	3724927.0	97.45	84.16635903816886	87.27679912155546	6434099	3822251.0
Kiley_B_WT_+O2_Ctrl_B	0.32073330473000705	48.0	150	143.1584493116575	18.181818181818183	3248615.0	97.04	83.7267216926463	88.55393521735733	5605926	3347752.0
Kiley_B_WT_+O2_Ctrl_C	0.3198946860456457	48.0	150	142.93336169318005	18.181818181818183	3777404.0	96.63	1.2767302853234213	85.47647203482458	99822	3909283.0
Kiley_B_WT_+O2_Paraquat_A	0.3260134851009392	48.0	150	143.54584757867005	18.181818181818183	3800330.0	96.12	83.56477447451496	84.71160605704327	6607689	3953633.0
Kiley_B_WT_+O2_Paraquat_B	0.32714478276067027	48.0	150	143.0596228984316	18.181818181818183	3142142.0	96.37	83.96629823409984	84.74847031672664	5475711	3260660.0
Kiley_B_WT_+O2_Paraquat_C	0.3228418377254505	47.0	150	142.86338221566103	18.181818181818183	4673968.0	97.2	84.07134772193824	90.28017917007105	8085577	4808759.0
Kiley_B_WT_-O2_Ctrl_A	0.3250153229314122	48.0	150	143.87281467796456	18.181818181818183	4051499.0	97.33	85.40661344455042	91.10530726753423	7109981	4162430.0
Kiley_B_WT_-O2_Ctrl_B	0.3211740473999819	48.0	150	143.75450400086496	18.181818181818183	3000952.0	96.28	84.9669917813915	86.27098963381023	5296759	3116951.0
Kiley_B_WT_-O2_Ctrl_C	0.3737554677987849	48.0	150	143.87353142822096	18.181818181818183	3975548.0	96.76	84.98552754196503	91.26301727657562	6983837	4108839.0
Kiley_B_WT_-O2_NoFe_A	0.32453715299594926	48.0	150	142.94212869342357	18.181818181818183	4015703.0	97.02	86.43785307049015	90.91032454618659	7155405	4139046.0
Kiley_B_WT_-O2_NoFe_B	0.32275663370978597	48.0	150	143.5158936892749	18.181818181818183	4774515.0	96.25	84.39131999358919	90.98052448925729	8372235	4960365.0
Kiley_B_WT_-O2_NoFe_C	0.3320251003669744	48.0	150	144.2502112350372	18.181818181818183	4197611.0	95.68	84.22742679825578	91.40137547172988	7390608	4387293.0
Kiley_B_WT_-O2_NoFe_DIP_A	0.42137857458710876	48.0	150	144.08622894663316	18.181818181818183	3076620.0	95.62	85.21489795024051	88.08249813377782	5483744	3217597.0
Kiley_B_WT_-O2_NoFe_DIP_B	0.3223967446298842	48.0	150	143.24726155043592	18.181818181818183	4157206.0	96.53	84.39497064296619	90.88273348988983	7269165	4306634.0
Kiley_B_WT_-O2_NoFe_DIP_C	0.3191734053258725	48.0	150	143.4563916043463	18.181818181818183	5640474.0	96.19	84.22481685051963	92.66615694874139	9877302	5863653.0
Kiley_B_WT_-O2_Peroxide_A	0.36081660519260694	48.0	147	142.78237929405802	18.181818181818183	4081038.0	97.2	87.12197629266251	92.94421196260167	7315540	4198447.0
Kiley_B_WT_-O2_Peroxide_C	0.31019027803309795	48.0	147	142.6287160475851	18.181818181818183	3681072.0	96.4	85.418564223809	92.11200112479679	6523426	3818506.0
SRX10341586	0.4915274219400236	48.0	150	148.70563062356788	18.181818181818183	8580346.0	94.41	82.04010595895328	79.64425415441386	14912307	9088425.0
SRX10341587	0.5194308032744497	48.0	150	148.69729551284536	18.181818181818183	8344794.0	93.7	77.47199423294263	78.5593040512237	13798932	8905755.0
SRX10341588	0.5496925307681743	48.0	150	148.63190177873102	18.181818181818183	7090228.0	95.17	81.69593188047729	79.64783220289652	12173019	7450199.0
SRX10341589	0.49400628011773745	49.0	150	148.73499892534733	27.27272727272727	7911752.0	96.24	66.26243832910791	81.66456624792107	10895216	8221261.0
SRX10341590	0.4467036597679057	49.0	150	148.8118224963661	18.181818181818183	11356994.0	90.78	75.05723468844185	77.4419062841787	18779164	12509896.0
SRX10341591	0.4136008679693721	48.0	150	148.82539056257508	18.181818181818183	11397038.0	90.48	76.24039396712436	76.21692699957813	19207061	12596381.0
SRX10341592	0.5489655951940825	49.0	150	148.6212057903859	18.181818181818183	7732027.0	95.84	82.90057732064568	80.87293114282568	13376484	8067787.0
SRX10341593	0.5720771913914375	49.0	150	148.5850104523687	18.181818181818183	7927398.0	95.41	81.51180042276458	80.53856649616563	13545049	8308643.0
SRX10341594	0.6004960128438591	49.0	150	148.5533009903549	18.181818181818183	9131249.0	95.08	81.23635201941953	81.6051115270551	15603110	9603527.0
SRX10341595	0.5442940144477636	49.0	150	148.6245799453063	18.181818181818183	8893822.0	94.65	81.53236995185433	81.81096748182699	15322693	9396693.0
SRX10341596	0.5208953269318701	49.0	150	148.66208841862934	18.181818181818183	8677146.0	95.23	81.03375556600382	80.73102335174578	14766885	9111564.0
SRX10341597	0.5776942628342351	49.0	150	148.57385700231467	18.181818181818183	6938926.0	94.89	81.65553775038352	79.4818377644947	11942093	7312482.0
SRX11348531	0.498572487689021	48.0	150	148.737141535322	20.0	7647250.0	70.25	56.440166692741315	81.78652726499702	12287495	10885417.0
SRX11348532	0.6027013171635038	48.0	150	148.5745303269932	20.0	9178302.0	71.63	57.055939773712794	83.0227438497009	14620863	12812744.0
SRX1432806	1.8522260287415149	51.0	50	49.419323736727826	18.181818181818183	9924969.0	68.23	30.058619695376137	91.5968674219171	4372111	14545282.0
SRX14563846	3.314532554369477	50.0	151	146.87425553778294	20.0	22275396.0	96.55	84.04796606126088	93.49218256731587	38782569	23071688.0
SRX14563847	8.187950429625042	50.0	151	147.27103011820932	20.0	20352420.0	94.92	81.0713137593958	92.9978568956112	34766426	21441879.0
SRX14563848	6.181724371499862	49.0	151	144.2752598041131	10.0	21803475.0	90.53	75.20395422676017	86.84771345563378	36224546	24084203.0
SRX14563849	5.149196394273377	49.0	151	146.52216677830762	10.0	22589437.0	96.79	85.08618276274478	87.52576456870932	39717723	23339702.0
SRX14570260	0.5878912685224481	50.0	150	148.5010462980601	18.181818181818183	11354125.0	93.67	82.18083660450148	84.48513821082048	19922783	12121307.0
SRX14570261	0.5482727906539884	50.0	150	148.6177511192757	18.181818181818183	8753140.0	93.6	82.21102798002144	82.94656614345496	15376800	9352030.0
SRX14570262	0.5342256606957076	50.0	150	148.63784771594862	18.181818181818183	10042965.0	93.88	82.46228505442015	83.90689908617227	17642669	10697417.0
