Sample	pe_sense	se_antisense	pe_antisense	failed	se_sense
Kiley_A_DZM0422_Aerobic_A	0.0235		0.5349	0.4416	
Kiley_A_DZM0422_Aerobic_B	0.0224		0.5395	0.4382	
Kiley_A_DZM0422_Aerobic_C	0.0221		0.5401	0.4377	
Kiley_A_DZM0422_Anaerobic_A	0.0209		0.5545	0.4245	
Kiley_A_DZM0422_Anaerobic_B	0.023		0.5522	0.4248	
Kiley_A_DZM0422_Anaerobic_C	0.0244		0.542	0.4337	
Kiley_A_WT_Aerobic_A	0.0255		0.5256	0.4489	
Kiley_A_WT_Aerobic_B	0.0229		0.5249	0.4522	
Kiley_A_WT_Aerobic_C	0.0202		0.5391	0.4407	
Kiley_A_WT_Anaerobic_A	0.0224		0.5385	0.4391	
Kiley_A_WT_Anaerobic_B	0.0197		0.5314	0.449	
Kiley_A_WT_Anaerobic_C	0.0229		0.5568	0.4203	
Kiley_B_Dfur_-O2_A	0.0103		0.7483	0.2414	
Kiley_B_Dfur_-O2_B	0.7207		0.199	0.0803	
Kiley_B_Dfur_-O2_C	0.0911		0.4522	0.4567	
Kiley_B_DrsuR_-O2_A	0.0382		0.3754	0.5864	
Kiley_B_DrsuR_-O2_B	0.0078		0.7355	0.2568	
Kiley_B_DrsuR_-O2_C	0.2845		0.4938	0.2217	
Kiley_B_WT_+O2_Ctrl_A	0.1379		0.5173	0.3448	
Kiley_B_WT_+O2_Ctrl_B	0.0016		0.4529	0.5455	
Kiley_B_WT_+O2_Ctrl_C	0.665		0.274	0.0611	
Kiley_B_WT_+O2_Paraquat_A	0.109		0.5005	0.3905	
Kiley_B_WT_+O2_Paraquat_B	0.0769		0.5365	0.3866	
Kiley_B_WT_+O2_Paraquat_C	0.0193		0.648	0.3327	
Kiley_B_WT_-O2_Ctrl_A	0.008		0.8477	0.1443	
Kiley_B_WT_-O2_Ctrl_B	0.0486		0.5195	0.4319	
Kiley_B_WT_-O2_Ctrl_C	0.0002		0.814	0.1858	
Kiley_B_WT_-O2_NoFe_A	0.3652		0.3594	0.2754	
Kiley_B_WT_-O2_NoFe_B	0.2238		0.6266	0.1496	
Kiley_B_WT_-O2_NoFe_C	0.0695		0.5843	0.3463	
Kiley_B_WT_-O2_NoFe_DIP_A	0.3298		0.2899	0.3803	
Kiley_B_WT_-O2_NoFe_DIP_B	0.0205		0.5492	0.4303	
Kiley_B_WT_-O2_NoFe_DIP_C	0.0164		0.5891	0.3945	
Kiley_B_WT_-O2_Peroxide_A	0.0162		0.6711	0.3126	
Kiley_B_WT_-O2_Peroxide_C	0.0501		0.5195	0.4304	
SRX10341586	0.0286		0.5543	0.4171	
SRX10341587	0.049		0.5101	0.4409	
