Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed	pe_sense	se_antisense	pe_antisense	failed	se_sense
Kiley_A_DZM0422_Aerobic_A	2184498	0	77.76439159307219	0	0	56316666	72419606	0	0	7522108	45970	0	0	0	0	2757562	3592802	3.02	1092249.0	35117554.0	96.98	36209803.0	pass	warn	36209803.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.519137386796714	Sanger / Illumina 1.9	134.89368268587376	fail	0.0	4.8 Gbp	Kiley_A_DZM0422_Aerobic_A_val_2.fq.gz	6302147	36247731	4.4	36247731	9.889658362339976	4899443136	21176068	5437159650	0.0235		0.5349	0.4416	
Kiley_A_DZM0422_Aerobic_B	1965794	0	79.40233150729443	0	0	54552211	68703538	0	0	6090661	43698	0	0	0	0	2784060	3267114	2.86	982897.0	33368872.0	97.14	34351769.0	pass	warn	34351769.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.844750220962443	Sanger / Illumina 1.9	135.67210102047437	fail	0.0	4.6 Gbp	Kiley_A_DZM0422_Aerobic_B_val_2.fq.gz	5509950	34391133	4.4	34391133	9.359970470683049	4675819966	19801327	5158669950	0.0224		0.5395	0.4382	
Kiley_A_DZM0422_Aerobic_C	2104834	0	78.71474916115446	0	0	55045254	69930038	0	0	6646331	45513	0	0	0	0	2761395	3326711	3.01	1052417.0	33912602.0	96.99	34965019.0	pass	warn	34965019.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.833911179402644	Sanger / Illumina 1.9	136.19503887585475	fail	0.0	4.7 Gbp	Kiley_A_DZM0422_Aerobic_C_val_2.fq.gz	2746391	35013714	4.4	35013714	9.09350420047794	4774461067	20280173	5252057100	0.0221		0.5401	0.4377	
Kiley_A_DZM0422_Anaerobic_A	3295050	0	78.35145514987978	0	0	58375783	74505040	0	0	6465873	51314	0	0	0	0	2914505	3402515	4.42	1647525.0	35604995.0	95.58	37252520.0	pass	warn	37252520.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	9.033258220610556	Sanger / Illumina 1.9	136.2974610039804	fail	0.0	5 Gbp	Kiley_A_DZM0422_Anaerobic_A_val_2.fq.gz	3813057	37305687	4.4	37305687	9.003476762135488	5092031721	21565339	5595853050	0.0209		0.5545	0.4245	
Kiley_A_DZM0422_Anaerobic_B	2761952	0	78.44082261611534	0	0	49423959	63007956	0	0	5262562	43561	0	0	0	0	2413210	3102712	4.38	1380976.0	30123002.0	95.62	31503978.0	pass	warn	31503978.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.972677800062808	Sanger / Illumina 1.9	134.92614596163062	fail	0.0	4.2 Gbp	Kiley_A_DZM0422_Anaerobic_B_val_2.fq.gz	3739391	31539542	4.4	31539542	9.906757576462798	4262249405	18920908	4730931300	0.023		0.5522	0.4248	
Kiley_A_DZM0422_Anaerobic_C	2224854	0	77.52270519222803	0	0	46669605	60201208	0	0	5806319	41167	0	0	0	0	2327283	3131980	3.7	1112427.0	28988177.0	96.3	30100604.0	pass	warn	30100604.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.420996063423546	Sanger / Illumina 1.9	135.61562375957638	fail	0.0	4 Gbp	Kiley_A_DZM0422_Anaerobic_C_val_2.fq.gz	5303579	30134885	4.4	30134885	9.402097071218291	4095236079	17217789	4520232750	0.0244		0.542	0.4337	
Kiley_A_WT_Aerobic_A	2764130	0	76.99290056851831	0	0	50364330	65414252	0	0	6274490	43069	0	0	0	0	2504742	3463491	4.23	1382065.0	31325061.0	95.77	32707126.0	pass	warn	32707126.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.301618325613859	Sanger / Illumina 1.9	135.26459478585798	fail	0.0	4.4 Gbp	Kiley_A_WT_Aerobic_A_val_1.fq.gz	6103641	32745805	4.4	32745805	9.622892459049334	4439206710	18914956	4911870750	0.0255		0.5256	0.4489	
Kiley_A_WT_Aerobic_B	2016516	0	77.53090188552459	0	0	44983620	58020246	0	0	5899621	37655	0	0	0	0	2237386	2845448	3.48	1008258.0	28001865.0	96.52	29010123.0	pass	warn	29010123.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.062244398931886	Sanger / Illumina 1.9	135.37137660533187	fail	0.0	3.9 Gbp	Kiley_A_WT_Aerobic_B_val_1.fq.gz	5199299	29040526	4.4	29040526	9.555808711361957	3939820333	16617305	4356078900	0.0229		0.5249	0.4522	
Kiley_A_WT_Aerobic_C	2034222	0	79.17320162169487	0	0	51289282	64781114	0	0	5848477	42383	0	0	0	0	2644618	2922132	3.14	1017111.0	31373446.0	96.86	32390557.0	pass	warn	32390557.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	7.183183441100429	Sanger / Illumina 1.9	135.6867872633373	fail	0.0	4.4 Gbp	Kiley_A_WT_Aerobic_C_val_1.fq.gz	4095928	32429765	4.4	32429765	9.401225571631494	4407145446	19000116	4864464750	0.0202		0.5391	0.4407	
Kiley_A_WT_Anaerobic_A	2880072	0	76.40383624185347	0	0	46187071	60451246	0	0	6316592	41406	0	0	0	0	2197554	2828551	4.76	1440036.0	28785587.0	95.24	30225623.0	pass	warn	30225623.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	8.466492162445425	Sanger / Illumina 1.9	132.70050843947865	fail	0.0	4 Gbp	Kiley_A_WT_Anaerobic_A_val_1.fq.gz	6540000	30272223	4.4	30272223	11.383684662559029	4023919289	18699940	4540833450	0.0224		0.5385	0.4391	
