Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX10341586	SRR13963594	2021-03-18 04:56:39	2021-03-15 15:29:07	9090051	2727015300	9090051	300	881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13963/SRR13963594/SRR13963594.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460795	SAMN18311076	simple	542	Zymomonas mobilis	GSM5172101							no					GEO	SRA1206435		public	B48C2658EA6148D22DD8219435192067	D161D708E62066721220C16DADA3D281		
SRX10341587	SRR13963596	2021-03-18 04:56:39	2021-03-15 15:35:17	8906657	2671997100	8906657	300	880		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13963/SRR13963596/SRR13963596.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460796	SAMN18311075	simple	542	Zymomonas mobilis	GSM5172102							no					GEO	SRA1206435		public	6586637223D7A32AE80337AD397BDE2C	6D86478EA2BE04B52398319DEFE4DA78		
SRX10341588	SRR13963597	2021-03-18 04:56:39	2021-03-15 15:29:57	7450610	2235183000	7450610	300	716		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13963/SRR13963597/SRR13963597.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460797	SAMN18311074	simple	542	Zymomonas mobilis	GSM5172103							no					GEO	SRA1206435		public	C6722321BF94D1F5407A8BC0C01CF5AB	C316A8368186C05DBE955B36C0CA1DA9		
SRX10341589	SRR13963598	2021-03-18 04:56:39	2021-03-15 15:16:58	8222245	2466673500	8222245	300	739		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13963/SRR13963598/SRR13963598.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460799	SAMN18311073	simple	542	Zymomonas mobilis	GSM5172104							no					GEO	SRA1206435		public	2AFB31CCDF3F21941063F7C0F70835C7	B7AA91D29E582AEC556770C51D8AE402		
SRX10341590	SRR13963599	2021-03-18 04:56:39	2021-03-15 15:19:06	12511522	3753456600	12511522	300	1277		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13963/SRR13963599/SRR13963599.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460798	SAMN18311072	simple	542	Zymomonas mobilis	GSM5172105							no					GEO	SRA1206435		public	78EAE2863CD63F5D1177C6BF3B2C8366	5601052DCF553ED9E087C1395457DBDD		
SRX10341591	SRR13963600	2021-03-18 04:56:39	2021-03-15 15:59:34	12598294	3779488200	12598294	300	1288		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13963/SRR13963600/SRR13963600.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460800	SAMN18311071	simple	542	Zymomonas mobilis	GSM5172106							no					GEO	SRA1206435		public	2EEB1C8937F99177C03A57DFD8025B5A	C51C4A35EAF620B1064B08BE5697A612		
SRX10341592	SRR13963601	2021-03-18 04:56:39	2021-03-15 15:31:47	8068553	2420565900	8068553	300	771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13963/SRR13963601/SRR13963601.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460801	SAMN18311070	simple	542	Zymomonas mobilis	GSM5172107							no					GEO	SRA1206435		public	7AA51C1847EA9A5E27B176837F1F0FF7	7F0221B746A85445BDE07792FF6CAA6A		
SRX10341593	SRR13963602	2021-03-18 04:56:39	2021-03-15 15:27:04	8309804	2492941200	8309804	300	799		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13963/SRR13963602/SRR13963602.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460802	SAMN18311069	simple	542	Zymomonas mobilis	GSM5172108							no					GEO	SRA1206435		public	E79C90286739933DA9AB57A370E96CA2	3CD3E41FA00434730235FA20C4A3DBEF		
SRX10341594	SRR13963603	2021-03-18 04:56:39	2021-03-15 15:18:35	9604590	2881377000	9604590	300	928		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13963/SRR13963603/SRR13963603.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460803	SAMN18311068	simple	542	Zymomonas mobilis	GSM5172109							no					GEO	SRA1206435		public	406C46709675F9B08452AEB3FA13EE02	69837B880D24B9DCF3758737CDC9EC49		
SRX10341595	SRR13963604	2021-03-18 04:56:39	2021-03-15 15:29:11	9397579	2819273700	9397579	300	918		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13963/SRR13963604/SRR13963604.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460804	SAMN18311067	simple	542	Zymomonas mobilis	GSM5172110							no					GEO	SRA1206435		public	56D9C1C60827A38995546C070623BF8F	B997D6489A4669AB55B397F442C65DC7		
SRX10341596	SRR13963605	2021-03-18 04:56:39	2021-03-15 15:24:27	9112500	2733750000	9112500	300	879		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13963/SRR13963605/SRR13963605.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460805	SAMN18311066	simple	542	Zymomonas mobilis	GSM5172111							no					GEO	SRA1206435		public	F1460FD05FA7F0BABC38577A482CDD19	EE280F2A11DC76C96536AC8076A04539		
SRX10341597	SRR13963606	2021-03-18 04:56:39	2021-03-15 15:04:48	7313129	2193938700	7313129	300	708		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13963/SRR13963606/SRR13963606.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP310654	PRJNA714535	3.0	714535	SRS8460806	SAMN18311065	simple	542	Zymomonas mobilis	GSM5172112							no					GEO	SRA1206435		public	1257D42DFEA0F54FCA0895A40CA9B2EB	55972E57CAFA31EDE985D69FC4392B52		
SRX11348531	SRR15037121	2022-01-01 03:01:50	2021-07-04 02:55:58	10886421	3265926300	10886421	300	961		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15037/SRR15037121/SRR15037121.lite.1	sampleF211	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP326838	PRJNA743578		743578	SRS9395516	SAMN20055966	simple	542	Zymomonas mobilis	sampleF211							no					TIANJIN UNIVERSITY	SRA1254416		public	D5223E96EA95FADD7112E211A094A270	D2C1C5D6FAC754D2ABE7883838BFB47A		
SRX11348532	SRR15037120	2022-01-01 03:01:50	2021-07-04 02:57:26	12813823	3844146900	12813823	300	1133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15037/SRR15037120/SRR15037120.lite.1	sampleCP4	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP326838	PRJNA743578		743578	SRS9395517	SAMN20055967	simple	542	Zymomonas mobilis	sampleCP4							no					TIANJIN UNIVERSITY	SRA1254416		public	C99AC76AD9566065B46726ABFB82D60B	A4CCD3DE73345400A5EC6F29BFD0C651		
SRX1432806	SRR2917443	2016-11-13 00:00:00	2015-11-20 08:28:06	14648845	732442250	0	50	333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/917/SRR2917443/SRR2917443.sralite.1		RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP066199	PRJNA302104		302104	SRS1163808	SAMN04266501	simple	264203	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Zymomonas mobilis  4							no					BIOGAS INSTITUTE OF MINISTRY OF AGRICULTURE	SRA311331		public	4BB24B01FF3F666E48905EAE286A5D45	78DB7AC1169A05139FD302C453FBE620		
SRX14563846	SRR18429996	2022-03-23 03:26:43	2022-03-22 12:35:51	23215484	7011076168	23215484	302	2568		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR018/18429/SRR18429996/SRR18429996.lite.1	ZM401_wt_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP365253	PRJNA818530		818530	SRS12340843	SAMN26866762	simple	542	Zymomonas mobilis	ZM401							no					SHANGHAI JIAO TONG UNIVERSITY	SRA1389693		public	4C22EF7799E0528344A104A9AE0AA8A6	BA40AA05333A85DB1AE27FD2967D2851		
