Sample	Not aligned	Aligned
SRX14570271	2982153.0	6472066.0
SRX14570272	2768946.0	7285513.0
SRX14570273	2833501.0	7256996.0
SRX14570274	3125180.0	8200106.0
SRX14570275	3190020.0	8347769.0
SRX14570276	3002515.0	7609644.0
SRX14570277	3921003.0	10058649.0
SRX14953908	26913536.0	13663301.0
SRX14953909	7412151.0	25169898.0
SRX14953910	14257614.0	18745720.0
SRX14953911	7938758.0	22842357.0
SRX14953912	25424662.0	6013858.0
SRX14953913	12277608.0	22958534.0
SRX14953914	24180386.0	4430429.0
SRX14953915	23733278.0	4940902.0
SRX14953916	20497483.0	12583213.0
SRX14953917	9180390.0	24117769.0
SRX14953918	7021760.0	28600053.0
SRX14953919	25979821.0	10422779.0
SRX14953920	27867815.0	5915297.0
SRX14953921	22298468.0	12901053.0
SRX14953922	31961950.0	5416648.0
SRX14953923	26509407.0	10330722.0
SRX14953924	6349463.0	21178080.0
SRX14953925	27199836.0	3566844.0
SRX14953926	14616061.0	12485016.0
SRX14953927	25533572.0	7867492.0
SRX14953928	32133856.0	4666318.0
SRX14953929	23746986.0	6885290.0
SRX14953930	13747315.0	17924306.0
SRX14953931	20193785.0	2309583.0
SRX14953932	22859955.0	1129665.0
SRX18804540	2511975.0	8075065.0
SRX18804541	2747401.0	8381083.0
SRX18804542	2077768.0	7070346.0
SRX18804543	2671252.0	6594249.0
SRX18804544	3873675.0	9114624.0
SRX18804545	3634946.0	7994736.0
SRX18804546	2261967.0	6625069.0
SRX18804547	2607822.0	7826116.0
SRX18804548	3269700.0	7371561.0
SRX18804549	2370560.0	7154441.0
SRX18804550	2652550.0	6086912.0
SRX18804551	2105763.0	6063381.0
SRX18804552	2952817.0	5246656.0
SRX18804553	2342032.0	6163306.0
SRX18804554	2122250.0	5751734.0
SRX19817112	7913287.0	3001863.0
SRX19817113	7010034.0	2786319.0
SRX19817114	6907960.0	3507499.0
SRX19817115	7826888.0	2842672.0
SRX19817116	7572368.0	2865850.0
SRX19817117	7409114.0	3762780.0
SRX2036088	2979086.0	43869373.0
SRX2036089	2888433.0	40960776.0
SRX2036090	2375431.0	40519736.0
SRX2036091	2592628.0	38343287.0
SRX2036300	3785660.0	9653245.0
SRX2036303	3679410.0	8631285.0
SRX2036305	4400615.0	10647425.0
SRX2036307	4848898.0	10882104.0
SRX2037533	5440221.0	31432448.0
SRX2037535	5722119.0	32805470.0
SRX2037536	14750174.0	33878059.0
SRX2037537	16467614.0	42005723.0
SRX2037538	8485132.0	40595739.0
SRX2037540	6807265.0	33777898.0
SRX2037541	10283616.0	31792955.0
SRX2037542	12155635.0	36040096.0
SRX2037691	5741754.0	11025331.0
SRX2037693	4653510.0	12253421.0
SRX2037695	4433501.0	10163729.0
SRX2037697	4639111.0	10731379.0
SRX2037699	6122602.0	9819085.0
SRX2037713	6887669.0	9724540.0
