Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX14570271	0.0	0.0
SRX14570272	0.12647125021843542	0.0
SRX14570273	0.1013131464188533	0.0
SRX14570274	0.11452249417807196	0.0
SRX14570275	0.0	0.0
SRX14570276	0.0	0.0
SRX14570277	0.0	0.0
SRX14953908	0.7054024442565595	3.9362728050981395
SRX14953909	0.153842381122194	0.0
SRX14953910	0.24156044356003548	1.2455499192899722
SRX14953911	0.26959062399136613	0.30860480525153167
SRX14953912	0.6851912876305882	9.41132406996258
SRX14953913	0.47425169304857495	1.4349754862493176
SRX14953914	0.7225519440812854	9.891682568287546
SRX14953915	0.6837440512684234	9.827105779485239
SRX14953916	0.46321274497973075	4.046997681064511
SRX14953917	0.24198034491936926	0.21455840846936913
SRX14953918	0.11448322408519745	0.3155510361025139
SRX14953919	0.6808140077906523	3.8177437875316604
SRX14953920	0.9467245054274456	6.058746156955585
SRX14953921	0.7058874465933783	3.308854685835071
SRX14953922	1.0841979680457785	6.374629139380775
SRX14953923	0.866460049583431	5.020302724781448
SRX14953924	0.6141848547834436	1.0361367885248602
SRX14953925	1.344538962279973	8.475110086626179
SRX14953926	1.3414227043449234	2.268784373403315
SRX14953927	1.2842435199070306	6.5283459233514245
SRX14953928	0.675738652757457	10.679887002708192
SRX14953929	0.6469744526981932	7.181839834558816
SRX14953930	0.6710897430857738	1.8851703232998405
SRX14953931	1.0845176597565307	7.669323098657948
SRX14953932	1.208039143596272	9.898872929208549
SRX18804540	0.10526077166044523	0.0
SRX18804541	0.12627955434001611	0.0
SRX18804542	0.12178466512332488	0.11142187340472583
SRX18804543	0.12923208361857605	0.11071176831128723
SRX18804544	0.16893667138398955	0.10086771177657677
SRX18804545	0.17613551256173643	0.10916033645631928
SRX18804546	0.22755618408657283	0.1782259011891029
SRX18804547	0.19012955606981755	0.290139734393668
SRX18804548	0.26440475428616966	0.9387233336349894
SRX18804549	0.1360104844083481	0.0
SRX18804550	0.12141479647145327	0.0
SRX18804551	0.2528294274161405	0.4982406969445024
SRX18804552	0.0	0.0
SRX18804553	0.11657385044544968	0.0
SRX18804554	0.0	0.0
SRX19817112	0.10779512878888518	0.0
SRX19817113	0.1135116302975199	0.10518199987280982
SRX19817114	0.15373302319177676	0.327810805073497
SRX19817115	0.10243159043109556	0.0
SRX19817116	0.0	0.0
SRX19817117	0.0	0.0
SRX2036088	2.6966244503367767	36.61059160985423
SRX2036089	2.14781069368891	33.19187354097994
SRX2036090	2.506520140136067	34.84046116430784
SRX2036091	3.308598329852893	39.58651712072395
SRX2036300	0.2611671114573695	1.477017658804791
SRX2036303	0.30347596134905463	1.9601411618109297
SRX2036305	0.3521123016685229	0.8650030170042077
SRX2036307	0.3362722857704805	0.6653168056300547
SRX2037533	0.5123876440840234	2.7218045973292586
SRX2037535	0.41400202852039353	2.7332621306773177
SRX2037536	0.48070428551249234	1.855434475688228
SRX2037537	0.34470240684228437	2.022472225246867
SRX2037538	0.6209547503751512	2.4186714208881908
SRX2037540	0.7106882877370727	3.229357487119123
SRX2037541	0.8831636969657056	3.407692133467815
SRX2037542	0.7586626292689699	3.435650763342504
SRX2037691	0.8551695181362772	2.666897674819445
SRX2037693	0.4838311577660073	2.355353552930452
SRX2037695	0.46805455555608844	1.945019705793497
SRX2037697	0.4582417346486677	2.1505104912075015
SRX2037699	0.603355215793661	2.541123784452674
SRX2037713	2.107799149408727	3.674484230242949
SRX2037715	2.0235185147383032	3.451859963850144
SRX2037717	0.565129889337657	2.4046029907429674
SRX2116174	1.2815384183647922	3.6662508590819485
SRX2116175	1.0464205350445872	3.167135722848698
SRX2116176	0.5315727689374602	2.2934927763212167
SRX21659709	0.5465151608287704	5.748704661440197
SRX21659710	0.6880902294902089	4.620298456391218
SRX21659711	1.0414303255301363	7.698896064004277
SRX22720559	0.10552403988999437	0.0
SRX22720560	0.11161085240655967	0.1017941768894257
SRX22720561	0.34000448101329467	0.7462627603207654
SRX22720562	0.35790385711436495	0.8281614022858095
SRX22720563	0.2532395230150298	0.7131670638622019
SRX22720564	0.17826743256209215	0.5403189050994726
SRX22720565	0.23035876338824593	0.3833293023504194
SRX22720566	0.22858536602062665	0.34348808846929957
SRX22720567	0.3489129635097828	0.43623830035233085
SRX22720568	0.0	0.0
SRX22720569	0.10112016621475299	0.0
SRX22720570	0.2625817815247163	0.5585340900410336
SRX22720571	0.1352130701887027	0.23888800471081256
SRX22720572	0.5254397942702816	1.1835237978779474
SRX22720574	0.0	0.0
SRX22720575	0.0	0.0
SRX22720576	0.11154222322321612	0.0
SRX22720577	0.0	0.0
SRX22720578	0.0	0.0
SRX22720579	0.0	0.0
SRX3316529	0.2704046083064423	0.34285473263055144
SRX3316530	0.11134661668898782	0.10319026889028854
SRX3316531	0.12141722419995363	0.4277318838928531
SRX3316532	0.1646885275348034	0.8787747089143307
SRX3316533	0.23037647830228053	0.7687020286842516
SRX3316534	0.2242407725696777	0.8681536262238126
SRX3316535	0.34082204597581206	0.5924950672272908
SRX3316536	0.3034288971558995	1.3356128339710422
SRX3316537	0.11416377488223138	0.0
SRX3316538	0.19035827490362328	0.11955780573867775
SRX3316539	0.13559264325195358	0.0
SRX3316540	0.1587651244077435	0.9762068763479999
SRX3316541	0.14832788733532626	0.31712815641416353
SRX3316542	0.14743628086561475	0.38167107200329453
SRX3316543	0.1450121986882191	0.1290347033919386
SRX3316544	0.22233203963170278	0.5641733153505579
SRX3316545	0.15025296745505687	0.4888233907555881
SRX3316546	0.14017926385367394	0.2514830434905504
SRX3316547	0.19043134935326816	0.38321501270779984
SRX3316548	0.2454545315733334	0.4115467037157243
SRX3316549	0.17458885389128342	0.25193818015277825
SRX3316550	0.1581421021456308	1.0731545321562077
SRX3316551	0.28605314567596585	0.9850782059414585
SRX3316552	0.19909970061814816	1.546881774603017
SRX3316553	0.17705084735005958	0.5252599517996561
SRX3316554	0.24959706770834328	1.2945356558073835
SRX3316555	0.21643895895936052	1.0715221747755352
SRX3316556	0.15726956275003257	0.44448419997341615
SRX3316557	0.18251797996230318	0.3379226029794255
SRX3316558	0.1232572908888584	0.2251963564809079
SRX3316559	0.11457991451284769	0.0
SRX3316560	0.1594279010240215	0.46924871487921227
SRX3316561	0.1041260554690425	0.0
SRX3316625	0.26626025378101764	0.6957942485143991
SRX3316626	0.14052611985326827	0.0
SRX3316627	0.5069489771677028	0.7441234202116619
SRX3316628	0.15980588404893858	0.6151857173259124
SRX3316629	0.1316031896125217	0.1047343471621549
SRX3316630	0.16768918591189827	0.0
SRX3316631	0.14691054725485694	0.0
SRX3316632	0.20939955759668888	0.509877675670404
SRX3316633	0.11670125795191445	0.0
SRX3316634	0.15611246498519438	0.0
SRX3316735	0.1474292699207098	0.593505994824328
SRX3316736	0.19536053949738896	0.8393073522190269
SRX3316737	0.1721413046308621	0.4258622459060839
SRX3316738	0.20789222780562847	0.37975115197456477
SRX3316739	0.19750476654416008	0.42668834441169134
SRX3316740	0.3010847513940134	1.2312544333485989
SRX3316741	0.19818022974090613	0.8083658981844479
SRX3316742	0.17923096336804678	0.8504329452648164
SRX3316743	0.20561288581261175	0.8319212774500503
SRX3316744	1.429624245874227	2.3019705109503894
SRX3316745	0.4732000543915115	3.2680799199924033
SRX3316746	0.4339676468106617	1.9887058810315426
SRX3316747	0.12959123564845898	0.69621149733147
SRX3316748	0.22543214670924777	0.622120253957229
SRX3316749	0.1493669678050708	0.0
SRX3316750	0.22281699379710793	0.9545821334808259
SRX3316751	0.1102111809577666	0.2002143815095283
SRX3316752	0.13691827769878828	0.4736936669283931
SRX3316753	0.14381601481504375	0.354853877443786
SRX3316754	0.1458034541606612	0.2278021679992136
SRX3316755	0.16984304467445444	0.49593661775461617
SRX3316756	0.11329834672357056	0.3079623912201672
SRX3316757	0.127880499187506	0.5196512840071561
SRX3316758	0.19461301773993034	0.2683839007475134
SRX3411505	1.609108761628945	20.757165170530115
SRX3411506	2.482854617148578	17.427827994799244
SRX3411507	1.620986858136673	17.915796359969164
SRX3411508	2.0145234134026224	24.451038673173084
SRX3411509	1.920124824428568	24.279526776590078
SRX3411510	2.103851525456616	9.517876936822013
SRX3411511	1.4029647133117562	15.448884164428588
SRX3411512	2.821351334440423	15.950858473583406
SRX3411513	2.1560585661169984	14.323160076786499
SRX3411514	1.6585522013979843	5.914589048787027
SRX3411515	1.566115830835417	9.041931018683895
SRX3411516	1.1806070200851306	7.323952746973067
SRX3411517	1.2672993162233046	4.332714002201198
SRX3411518	0.8905296641441405	14.453792661953305
SRX3411519	0.9768376076010619	16.781284045242415
SRX3411520	2.119388105420569	17.7669830966525
SRX3411521	0.4590728204189919	9.226206812429481
SRX3411522	1.4311896826087989	18.253655659443755
SRX3411523	0.8794461879644558	17.65646289118349
SRX3411524	1.755061187557296	19.64393424516178
SRX3411525	1.1196959016616106	24.14188032850062
SRX3541437	0.49149693008390855	4.887813199337783
SRX3541438	0.15518883583552837	0.0
SRX3541439	0.3493866509335295	1.2574019565114538
SRX3541440	0.2709477243534263	0.31009935686508827
SRX3541441	0.6882763287409444	9.553999318208998
SRX3541442	0.47737890117209353	1.4443314507132539
SRX3541443	0.7281284498543648	10.069127243045319
SRX3541444	0.686739782559455	9.970573703919724
SRX3541445	0.4662155637892239	4.073208495784053
SRX3541446	0.549042526367376	5.86111367876515
SRX3541447	1.0440118342745968	11.122052771941478
SRX3541448	1.3426583201886066	2.3848825824801736
SRX3541449	1.112639932784293	7.487012166216391
SRX3541450	0.6511064264221718	7.228083454991746
SRX3541451	0.337891412841283	1.5014154936274537
SRX3541452	0.7037593866686759	12.062668629781664
SRX3541453	0.7756474893404992	13.772809392124737
SRX5252024	0.492146677887645	1.0535946746685245
SRX5252025	0.4700137217291874	0.5150014979290984
SRX5252026	0.4293969323150304	0.23874238757026855
SRX5252027	0.6710238060528837	2.8378465257929397
SRX5252028	0.25347031184656027	0.0
SRX5252029	0.31821536535382355	0.10620911338501104
SRX5252030	0.41098669270345733	0.4492241344062746
SRX5252031	0.6161531751665975	1.695021473391897
SRX5252032	0.2766213553526386	0.0
