Sample	Unique Reads	Duplicate Reads
SRX14570271	1550900.0	7903319.0
SRX14570272	1540518.0	8513941.0
SRX14570273	1562923.0	8527574.0
SRX14570274	1613221.0	9712065.0
SRX14570275	1703431.0	9834358.0
SRX14570276	1621151.0	8991008.0
SRX14570277	1793949.0	12185703.0
SRX14953908	2912470.0	37664367.0
SRX14953909	2866982.0	29715067.0
SRX14953910	2284337.0	30718997.0
SRX14953911	2339827.0	28441288.0
SRX14953912	1710237.0	29728283.0
SRX14953913	2723556.0	32512586.0
SRX14953914	1603256.0	27007559.0
SRX14953915	1634317.0	27039863.0
SRX14953916	2275712.0	30804984.0
SRX14953917	2463366.0	30834793.0
SRX14953918	3008215.0	32613598.0
SRX14953919	2714532.0	33688068.0
SRX14953920	2375363.0	31407749.0
SRX14953921	2965718.0	32233803.0
SRX14953922	2491212.0	34887386.0
SRX14953923	3058071.0	33782058.0
SRX14953924	2782671.0	24744872.0
SRX14953925	1979623.0	28787057.0
SRX14953926	2719719.0	24381358.0
SRX14953927	2749739.0	30651325.0
SRX14953928	2035885.0	34764289.0
SRX14953929	2149046.0	28483230.0
SRX14953930	3609258.0	28062363.0
SRX14953931	1632465.0	20870903.0
SRX14953932	1378423.0	22611197.0
SRX18804540	1760228.0	8826812.0
SRX18804541	1930958.0	9197526.0
SRX18804542	1592407.0	7555707.0
SRX18804543	1714249.0	7551252.0
SRX18804544	2392150.0	10596149.0
SRX18804545	2278788.0	9350894.0
SRX18804546	1646696.0	7240340.0
SRX18804547	1641633.0	8792305.0
SRX18804548	2480191.0	8161070.0
SRX18804549	1555436.0	7969565.0
SRX18804550	2044646.0	6694816.0
SRX18804551	1643632.0	6525512.0
SRX18804552	1637453.0	6562020.0
SRX18804553	1734970.0	6770368.0
SRX18804554	1538065.0	6335919.0
SRX19817112	4997511.0	5917639.0
SRX19817113	4510390.0	5285963.0
SRX19817114	4814700.0	5600759.0
SRX19817115	5612356.0	5057204.0
SRX19817116	4997430.0	5440788.0
SRX19817117	5390399.0	5781495.0
SRX2036088	3581556.0	43266903.0
SRX2036089	3620804.0	40228405.0
SRX2036090	3219830.0	39675337.0
SRX2036091	3064320.0	37871595.0
SRX2036300	1831868.0	11607037.0
SRX2036303	1711715.0	10598980.0
SRX2036305	1904656.0	13143384.0
SRX2036307	2170634.0	13560368.0
SRX2037533	4421004.0	32451665.0
SRX2037535	4662256.0	33865333.0
SRX2037536	5292253.0	43335980.0
SRX2037537	5603978.0	52869359.0
SRX2037538	4075253.0	45005618.0
SRX2037540	4293982.0	36291181.0
SRX2037541	5429558.0	36647013.0
SRX2037542	5457551.0	42738180.0
SRX2037691	3064529.0	13702556.0
