Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX14570271	109074.0	463533.0	1384457.0	8608.0	5964306.0	10978460.0
SRX14570272	72369.0	494833.0	1573144.0	10109.0	5537892.0	12420571.0
SRX14570273	70323.0	498084.0	1515217.0	10817.0	5667002.0	12419551.0
SRX14570274	83688.0	596705.0	1762966.0	11570.0	6250360.0	13945283.0
SRX14570275	57324.0	579636.0	1751111.0	11241.0	6380040.0	14296226.0
SRX14570276	57239.0	516624.0	1510347.0	10324.0	6005030.0	13124754.0
SRX14570277	73943.0	708518.0	2070795.0	13628.0	7842006.0	17250414.0
SRX14953908	3225853.0	1111438.0	1778444.0	14176.0	53827072.0	21196691.0
SRX14953909	1093116.0	2370746.0	3866400.0	33273.0	14824302.0	42976261.0
SRX14953910	2691782.0	1601396.0	2388749.0	21858.0	28515228.0	30787655.0
SRX14953911	1182475.0	1989989.0	3100278.0	29583.0	15877516.0	39382389.0
SRX14953912	1640299.0	484874.0	829756.0	6539.0	50849324.0	9066248.0
SRX14953913	1530293.0	1947745.0	4316080.0	22144.0	24555216.0	38100806.0
SRX14953914	1668321.0	298495.0	779782.0	3406.0	48360772.0	6110854.0
SRX14953915	1608303.0	351785.0	809968.0	4246.0	47466556.0	7107502.0
SRX14953916	2906759.0	983173.0	2076691.0	11316.0	40994966.0	19188487.0
SRX14953917	1250581.0	2229763.0	3680278.0	28648.0	18360780.0	41046268.0
SRX14953918	136797.0	2675850.0	4259031.0	36440.0	14043520.0	50091988.0
SRX14953919	2212343.0	884800.0	1399178.0	12188.0	51959642.0	16337049.0
SRX14953920	1782459.0	454528.0	888898.0	4884.0	55735630.0	8699825.0
SRX14953921	1766716.0	1067402.0	1959203.0	11904.0	44596936.0	20996881.0
SRX14953922	1862541.0	386318.0	944639.0	4371.0	63923900.0	7635427.0
SRX14953923	1830569.0	881175.0	1958871.0	10109.0	53018814.0	15980720.0
SRX14953924	485284.0	1827605.0	3970927.0	22242.0	12698926.0	36050102.0
SRX14953925	1064961.0	286786.0	602770.0	3002.0	54399672.0	5176169.0
SRX14953926	1272084.0	1116026.0	2529818.0	11408.0	29232122.0	20040696.0
