Sample	Undetermined	Sense	Antisense
SRX14570271	61.870000000000005	3.4000000000000004	34.74
SRX14570272	63.65	3.0	33.35
SRX14570273	64.41	2.96	32.629999999999995
SRX14570274	63.83	3.0	33.17
SRX14570275	63.800000000000004	3.34	32.86
SRX14570276	64.63	3.0700000000000003	32.300000000000004
SRX14570277	65.12	3.1199999999999997	31.759999999999998
SRX14953908	52.86	2.4299999999999997	44.71
SRX14953909	59.209999999999994	2.94	37.85
SRX14953910	55.96	2.53	41.510000000000005
SRX14953911	59.28	2.5100000000000002	38.21
SRX14953912	51.0	2.37	46.64
SRX14953913	51.39	3.35	45.26
SRX14953914	44.019999999999996	3.32	52.66
SRX14953915	46.26	3.0700000000000003	50.67
SRX14953916	48.63	3.11	48.27
SRX14953917	57.13	2.82	40.04
SRX14953918	60.540000000000006	2.85	36.620000000000005
SRX14953919	53.800000000000004	2.6100000000000003	43.59
SRX14953920	46.52	2.75	50.73
SRX14953921	52.949999999999996	2.97	44.09
SRX14953922	43.95	3.0300000000000002	53.02
SRX14953923	54.35	4.06	41.589999999999996
SRX14953924	59.64	3.4799999999999995	36.88
SRX14953925	51.470000000000006	3.3300000000000005	45.2
SRX14953926	56.8	4.33	38.86
SRX14953927	49.28	3.4799999999999995	47.25
SRX14953928	45.87	5.390000000000001	48.730000000000004
SRX14953929	41.99	5.029999999999999	52.980000000000004
SRX14953930	55.08	6.569999999999999	38.35
SRX14953931	45.269999999999996	5.47	49.26
SRX14953932	42.68	5.36	51.970000000000006
SRX18804540	61.89	2.6	35.52
SRX18804541	62.17	2.53	35.3
SRX18804542	63.41	2.3	34.29
SRX18804543	59.68	3.94	36.38
SRX18804544	59.89	3.82	36.29
SRX18804545	60.84	4.38	34.78
SRX18804546	61.75000000000001	4.67	33.58
SRX18804547	61.25000000000001	1.8900000000000001	36.85
SRX18804548	60.69	2.45	36.86
SRX18804549	65.61	2.19	32.2
SRX18804550	63.080000000000005	4.77	32.15
SRX18804551	63.83	2.75	33.42
SRX18804552	61.739999999999995	5.33	32.92
SRX18804553	62.68	3.65	33.67
SRX18804554	66.53	3.36	30.11
SRX19817112	63.23	1.66	35.11
SRX19817113	61.83	1.6500000000000001	36.51
SRX19817114	61.919999999999995	1.7999999999999998	36.28
SRX19817115	64.08	1.7000000000000002	34.22
SRX19817116	63.24999999999999	1.92	34.83
SRX19817117	63.33	1.7500000000000002	34.92
SRX2036088	7.199999999999999	92.09	0.72
SRX2036089	6.510000000000001	92.72	0.77
SRX2036090	6.069999999999999	93.35	0.58
SRX2036091	6.41	92.93	0.65
SRX2036300	47.43	8.649999999999999	43.919999999999995
SRX2036303	46.1	9.16	44.73
SRX2036305	46.82	8.19	44.98
SRX2036307	50.349999999999994	9.17	40.47
SRX2037533	50.31	6.54	43.15
SRX2037535	51.13999999999999	6.419999999999999	42.44
SRX2037536	49.87	6.09	44.03
SRX2037537	48.65	6.260000000000001	45.09
SRX2037538	46.62	5.949999999999999	47.43
SRX2037540	45.57	6.05	48.38
SRX2037541	45.12	5.93	48.949999999999996
SRX2037542	45.22	5.76	49.02
SRX2037691	41.870000000000005	5.220000000000001	52.92
SRX2037693	32.33	3.9	63.75999999999999
SRX2037695	39.379999999999995	4.92	55.7
SRX2037697	40.050000000000004	4.96	54.99000000000001
SRX2037699	43.85	5.86	50.29
SRX2037713	41.72	6.09	52.190000000000005
SRX2037715	41.92	5.12	52.959999999999994
SRX2037717	34.699999999999996	4.12	61.18
SRX2116174	27.41	3.0700000000000003	69.52000000000001
SRX2116175	25.35	3.1399999999999997	71.50999999999999
SRX2116176	34.23	1.71	64.05
SRX21659709	45.45	0.77	53.779999999999994
SRX21659710	50.64999999999999	0.83	48.53
SRX21659711	46.98	0.72	52.300000000000004
SRX22720559	59.28	2.4	38.32
SRX22720560	58.42	2.4699999999999998	39.11
SRX22720561	57.98	2.0	40.02
SRX22720562	57.03	2.18	40.78
SRX22720563	59.13	2.0500000000000003	38.81
SRX22720564	59.91	1.9900000000000002	38.1
SRX22720565	56.940000000000005	1.9800000000000002	41.08
SRX22720566	57.199999999999996	2.1999999999999997	40.6
SRX22720567	58.60999999999999	1.9	39.489999999999995
SRX22720568	58.160000000000004	1.91	39.92
SRX22720569	59.01	2.12	38.879999999999995
SRX22720570	59.330000000000005	2.08	38.58
SRX22720571	57.93000000000001	2.58	39.489999999999995
SRX22720572	55.28999999999999	2.4899999999999998	42.22
SRX22720574	56.63	2.64	40.73
SRX22720575	57.010000000000005	2.6100000000000003	40.38
SRX22720576	58.48	2.6100000000000003	38.91
SRX22720577	58.84	2.35	38.81
SRX22720578	59.209999999999994	2.5100000000000002	38.29
SRX22720579	58.29	2.64	39.07
SRX3316529	55.47	5.42	39.11
SRX3316530	61.53999999999999	2.77	35.69
SRX3316531	59.660000000000004	3.2099999999999995	37.13
SRX3316532	62.88	3.1	34.02
SRX3316533	53.72	2.9499999999999997	43.33
SRX3316534	56.38999999999999	2.94	40.660000000000004
SRX3316535	58.89	3.0	38.11
SRX3316536	51.980000000000004	6.18	41.839999999999996
SRX3316537	56.71000000000001	4.590000000000001	38.690000000000005
SRX3316538	59.699999999999996	2.86	37.44
SRX3316539	59.650000000000006	2.97	37.37
SRX3316540	62.32	3.18	34.5
SRX3316541	57.93000000000001	3.75	38.32
SRX3316542	58.07	3.05	38.879999999999995
SRX3316543	62.150000000000006	2.8899999999999997	34.96
SRX3316544	59.27	3.27	37.47
SRX3316545	60.209999999999994	2.46	37.330000000000005
SRX3316546	61.870000000000005	2.44	35.68
SRX3316547	60.08	2.19	37.730000000000004
SRX3316548	58.199999999999996	2.74	39.050000000000004
SRX3316549	59.5	2.86	37.64
SRX3316550	59.86	2.56	37.580000000000005
SRX3316551	53.09	2.4699999999999998	44.45
SRX3316552	56.599999999999994	2.63	40.77
SRX3316553	58.85	2.6599999999999997	38.5
SRX3316554	56.61000000000001	2.82	40.58
SRX3316555	57.11000000000001	2.88	40.01
SRX3316556	56.879999999999995	3.8899999999999997	39.22
SRX3316557	60.19	2.92	36.9
SRX3316558	59.12	2.67	38.21
SRX3316559	59.14	2.83	38.03
SRX3316560	58.18	2.0	39.81
SRX3316561	57.56	2.9000000000000004	39.54
SRX3316625	60.31999999999999	2.85	36.83
SRX3316626	61.17	3.2099999999999995	35.620000000000005
SRX3316627	60.11	2.9499999999999997	36.94
SRX3316628	60.099999999999994	3.19	36.71
SRX3316629	61.09	2.93	35.980000000000004
SRX3316630	60.550000000000004	3.2099999999999995	36.24
SRX3316631	60.46	3.0300000000000002	36.52
SRX3316632	62.31	2.76	34.93
SRX3316633	61.47	2.9899999999999998	35.55
SRX3316634	58.57	3.32	38.1
SRX3316735	52.959999999999994	2.3	44.74
SRX3316736	55.76	2.67	41.56
SRX3316737	55.05	2.9899999999999998	41.97
SRX3316738	54.300000000000004	3.2399999999999998	42.46
SRX3316739	55.010000000000005	2.53	42.46
SRX3316740	52.09	1.8900000000000001	46.02
SRX3316741	51.080000000000005	2.6100000000000003	46.31
SRX3316742	55.279999999999994	2.7199999999999998	42.0
SRX3316743	55.010000000000005	2.91	42.08
SRX3316744	52.05	2.09	45.86
SRX3316745	52.22	1.8399999999999999	45.95
SRX3316746	52.410000000000004	1.79	45.800000000000004
SRX3316747	54.22	2.2800000000000002	43.5
SRX3316748	54.36	2.9899999999999998	42.65
SRX3316749	53.38	2.15	44.47
SRX3316750	55.010000000000005	2.6100000000000003	42.370000000000005
SRX3316751	55.44	3.26	41.29
SRX3316752	55.86	3.16	40.99
SRX3316753	56.16	3.02	40.81
SRX3316754	55.7	3.16	41.14
SRX3316755	56.120000000000005	3.1399999999999997	40.73
SRX3316756	55.52	3.19	41.29
SRX3316757	55.55	3.2800000000000002	41.160000000000004
SRX3316758	55.48	3.19	41.33
SRX3411505	2.83	44.05	53.12
SRX3411506	5.54	41.699999999999996	52.76
SRX3411507	4.75	41.32	53.94
SRX3411508	3.1199999999999997	44.65	52.239999999999995
SRX3411509	3.06	46.27	50.67
SRX3411510	4.67	34.510000000000005	60.83
SRX3411511	3.11	44.769999999999996	52.12
SRX3411512	3.02	40.98	56.00000000000001
SRX3411513	4.6	39.76	55.64
SRX3411514	31.04	22.68	46.29
SRX3411515	22.86	24.44	52.71
SRX3411516	13.34	31.77	54.879999999999995
SRX3411517	8.75	30.45	60.8
SRX3411518	33.44	29.360000000000003	37.2
SRX3411519	21.78	30.45	47.77
SRX3411520	6.3	39.129999999999995	54.56999999999999
SRX3411521	23.13	18.529999999999998	58.34
SRX3411522	23.34	28.15	48.52
SRX3411523	19.689999999999998	39.82	40.48
SRX3411524	3.7800000000000002	40.97	55.25
SRX3411525	9.39	22.220000000000002	68.39
SRX3541437	52.86	2.42	44.71
SRX3541438	59.199999999999996	2.94	37.86
SRX3541439	55.97	2.52	41.510000000000005
SRX3541440	59.28	2.5	38.22
SRX3541441	50.970000000000006	2.37	46.660000000000004
SRX3541442	51.42	3.34	45.24
SRX3541443	44.04	3.3099999999999996	52.65
SRX3541444	46.27	3.0700000000000003	50.660000000000004
SRX3541445	48.6	3.1	48.3
SRX3541446	54.33	4.05	41.620000000000005
SRX3541447	51.480000000000004	3.32	45.2
SRX3541448	56.830000000000005	4.32	38.85
SRX3541449	45.89	5.390000000000001	48.72
SRX3541450	41.980000000000004	5.029999999999999	52.99
SRX3541451	55.089999999999996	6.550000000000001	38.36
SRX3541452	45.269999999999996	5.46	49.27
SRX3541453	42.69	5.36	51.949999999999996
SRX5252024	50.12	14.760000000000002	35.120000000000005
SRX5252025	49.61	18.029999999999998	32.36
