Sample	reads_processed	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage
Kiley_A_DZM0422_Aerobic_A	36209803.0	30095461.0	6114342.0	16.89	83.11
Kiley_A_DZM0422_Aerobic_B	34351769.0	28410603.0	5941166.0	17.3	82.7
Kiley_A_DZM0422_Aerobic_C	34965019.0	28880215.0	6084804.0	17.4	82.6
Kiley_A_DZM0422_Anaerobic_A	37252520.0	30872247.0	6380273.0	17.13	82.87
Kiley_A_DZM0422_Anaerobic_B	31503978.0	26211613.0	5292365.0	16.8	83.2
Kiley_A_DZM0422_Anaerobic_C	30100604.0	25197043.0	4903561.0	16.29	83.71
Kiley_A_WT_Aerobic_A	32707126.0	26873323.0	5833803.0	17.84	82.16
Kiley_A_WT_Aerobic_B	29010123.0	24049978.0	4960145.0	17.1	82.9
Kiley_A_WT_Aerobic_C	32390557.0	26915299.0	5475258.0	16.9	83.1
Kiley_A_WT_Anaerobic_A	30225623.0	25370171.0	4855452.0	16.06	83.94
Kiley_A_WT_Anaerobic_C	28259068.0	23640218.0	4618850.0	16.34	83.66
Kiley_B_Dfur_-O2_A	4121817.0	3316933.0	804884.0	19.53	80.47
Kiley_B_Dfur_-O2_B	4279474.0	3420555.0	858919.0	20.07	79.93
Kiley_B_Dfur_-O2_C	3715838.0	2974541.0	741297.0	19.95	80.05
Kiley_B_DrsuR_-O2_A	3711922.0	3002817.0	709105.0	19.1	80.9
Kiley_B_DrsuR_-O2_B	4092452.0	3318699.0	773753.0	18.91	81.09
Kiley_B_DrsuR_-O2_C	4792966.0	3895082.0	897884.0	18.73	81.27
Kiley_B_WT_+O2_Ctrl_A	3822251.0	3091945.0	730306.0	19.11	80.89
Kiley_B_WT_+O2_Ctrl_B	3347752.0	2693893.0	653859.0	19.53	80.47
Kiley_B_WT_+O2_Ctrl_C	3909283.0	3144892.0	764391.0	19.55	80.45
Kiley_B_WT_+O2_Paraquat_A	3953633.0	3162388.0	791245.0	20.01	79.99
Kiley_B_WT_+O2_Paraquat_B	3260660.0	2616691.0	643969.0	19.75	80.25
Kiley_B_WT_+O2_Paraquat_C	4808759.0	3908643.0	900116.0	18.72	81.28
Kiley_B_WT_-O2_Ctrl_A	4162430.0	3416820.0	745610.0	17.91	82.09
Kiley_B_WT_-O2_Ctrl_B	3116951.0	2527087.0	589864.0	18.92	81.08
Kiley_B_WT_-O2_Ctrl_C	4108839.0	3355301.0	753538.0	18.34	81.66
Kiley_B_WT_-O2_NoFe_A	4139046.0	3400686.0	738360.0	17.84	82.16
Kiley_B_WT_-O2_NoFe_B	4960365.0	4015243.0	945122.0	19.05	80.95
Kiley_B_WT_-O2_NoFe_C	4387293.0	3507352.0	879941.0	20.06	79.94
Kiley_B_WT_-O2_NoFe_DIP_A	3217597.0	2579949.0	637648.0	19.82	80.18
Kiley_B_WT_-O2_NoFe_DIP_B	4306634.0	3506960.0	799674.0	18.57	81.43
Kiley_B_WT_-O2_NoFe_DIP_C	5863653.0	4763892.0	1099761.0	18.76	81.24
Kiley_B_WT_-O2_Peroxide_A	4198447.0	3505606.0	692841.0	16.5	83.5
Kiley_B_WT_-O2_Peroxide_C	3818506.0	3109439.0	709067.0	18.57	81.43
