Sample	r_written	bp_processed	cutadapt_version	r_with_adapters	bp_written	percent_trimmed	quality_trimmed	r_processed
Kiley_A_DZM0422_Aerobic_A	36247731	5437159650	4.4	21675561	4896779577	9.938646421758095	3295003	36247731
Kiley_A_DZM0422_Aerobic_B	34391133	5158669950	4.4	20302869	4672222242	9.42971178064997	4502869	34391133
Kiley_A_DZM0422_Aerobic_C	35013714	5252057100	4.4	19764031	4778784596	9.011183522738166	5717491	35013714
Kiley_A_DZM0422_Anaerobic_A	37305687	5595853050	4.4	21565339	5092031721	9.003476762135488	3813057	37305687
Kiley_A_DZM0422_Anaerobic_B	31539542	4730931300	4.4	18920908	4262249405	9.906757576462798	3739391	31539542
Kiley_A_DZM0422_Anaerobic_C	30134885	4520232750	4.4	17217789	4095236079	9.402097071218291	5303579	30134885
Kiley_A_WT_Aerobic_A	32745805	4911870750	4.4	18914956	4439206710	9.622892459049334	6103641	32745805
Kiley_A_WT_Aerobic_B	29040526	4356078900	4.4	16617305	3939820333	9.555808711361955	5199299	29040526
Kiley_A_WT_Aerobic_C	32429765	4864464750	4.4	19000116	4407145446	9.401225571631494	4095928	32429765
Kiley_A_WT_Anaerobic_A	30272223	4540833450	4.4	18699940	4023919289	11.383684662559029	6540000	30272223
Kiley_A_WT_Anaerobic_C	28293671	4244050650	4.4	16802742	3860963448	9.026452170169081	3887172	28293671
Kiley_B_Dfur_-O2_A	4123705	599172889	4.4	1232538	597258331	0.3195334827641042	210803	4123705
Kiley_B_Dfur_-O2_B	4281130	621655872	4.4	1287464	619675349	0.3185883201952607	199212	4281130
Kiley_B_Dfur_-O2_C	3717905	539005006	4.4	1024320	537112169	0.3511724341944238	479471	3717905
Kiley_B_DrsuR_-O2_A	3713426	536989183	4.4	987309	535226732	0.3282097769928449	378066	3713426
Kiley_B_DrsuR_-O2_B	4094233	593035371	4.4	1100947	591048494	0.3350351593109275	446680	4094233
Kiley_B_DrsuR_-O2_C	4795012	694708769	4.4	1426991	692489662	0.3194298242692831	205050	4795012
Kiley_B_WT_+O2_Ctrl_A	3823184	552174840	4.4	1148107	550383159	0.3244771167045568	164298	3823184
Kiley_B_WT_+O2_Ctrl_B	3348814	482206157	4.4	982865	480648286	0.3230715695735092	161555	3348814
Kiley_B_WT_+O2_Ctrl_C	3911176	562289044	4.4	1030174	560402495	0.3355123170424071	438069	3911176
Kiley_B_WT_+O2_Paraquat_A	3955065	571105048	4.4	1149038	569305780	0.31505027075159037	188706	3955065
Kiley_B_WT_+O2_Paraquat_B	3261971	469388931	4.4	959349	467881911	0.3210599782976135	152341	3261971
Kiley_B_WT_+O2_Paraquat_C	4811238	691337740	4.4	1290506	688974526	0.34183205447456116	547519	4811238
Kiley_B_WT_-O2_Ctrl_A	4163528	602565078	4.4	1134763	600636459	0.3200681669773103	329768	4163528
Kiley_B_WT_-O2_Ctrl_B	3121594	451415893	4.4	845857	449416064	0.4430125369998881	815860	3121594
Kiley_B_WT_-O2_Ctrl_C	4112318	595187938	4.4	1227852	593272614	0.3218015483371573	167050	4112318
Kiley_B_WT_-O2_NoFe_A	4141057	595630891	4.4	1095846	593628050	0.33625539411454064	467057	4141057
Kiley_B_WT_-O2_NoFe_B	4962544	716694264	4.4	1340396	714290375	0.33541345602286	528523	4962544
Kiley_B_WT_-O2_NoFe_C	4388971	637170156	4.4	1323328	635110428	0.3232618446743447	188194	4388971
Kiley_B_WT_-O2_NoFe_DIP_A	3221548	467080102	4.4	965957	465570084	0.32328887347892205	139579	3221548
Kiley_B_WT_-O2_NoFe_DIP_B	4308031	620740458	4.4	1276192	618731355	0.323662325229009	194510	4308031
Kiley_B_WT_-O2_NoFe_DIP_C	5867384	846655323	4.4	1567926	843684693	0.3508665119442	776776	5867384
Kiley_B_WT_-O2_Peroxide_A	4201360	603572590	4.4	1236386	601670605	0.3151211687727569	178494	4201360
Kiley_B_WT_-O2_Peroxide_C	3819793	548141008	4.4	1007092	546388766	0.31966993427355467	344534	3819793
