Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX14570271	warn	pass	pass	warn	16.40430910098658	Sanger / Illumina 1.9	fail	9454219.0	20-150	fail	48.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570271_val_2.fq.gz	1.4 Gbp	pass	pass	148.72522532003967
SRX14570272	warn	pass	pass	warn	15.321739209671211	Sanger / Illumina 1.9	fail	10054459.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570272_val_2.fq.gz	1.5 Gbp	pass	warn	148.68148052520777
SRX14570273	warn	pass	pass	warn	15.489058323002675	Sanger / Illumina 1.9	fail	10090497.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570273_val_2.fq.gz	1.5 Gbp	pass	warn	148.76447116529542
SRX14570274	warn	pass	pass	warn	14.244413505545184	Sanger / Illumina 1.9	fail	11325286.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570274_val_2.fq.gz	1.6 Gbp	pass	warn	148.73998881794245
SRX14570275	warn	pass	pass	warn	14.763926647371084	Sanger / Illumina 1.9	fail	11537789.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570275_val_2.fq.gz	1.7 Gbp	pass	pass	148.69758764005826
SRX14570276	warn	pass	pass	warn	15.276346883418546	Sanger / Illumina 1.9	fail	10612159.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570276_val_2.fq.gz	1.5 Gbp	pass	pass	148.71979886467966
SRX14570277	warn	pass	pass	warn	12.832567342458198	Sanger / Illumina 1.9	fail	13979652.0	20-150	fail	48.0	pass	pass	0.0	Conventional base calls	150	pass	SRX14570277_val_2.fq.gz	2 Gbp	pass	pass	148.6949944104474
SRX14953908	fail	pass	pass	warn	7.177664199043367	Sanger / Illumina 1.9	fail	40576837.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX14953908_val_2.fq.gz	4 Gbp	pass	warn	98.95996876247402
SRX14953909	warn	pass	pass	warn	8.799266236605423	Sanger / Illumina 1.9	fail	32582049.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953909_val_2.fq.gz	3.2 Gbp	pass	warn	98.8944092497068
SRX14953910	fail	pass	pass	warn	6.921531282413944	Sanger / Illumina 1.9	fail	33003334.0	20-100	fail	50.0		pass	0.0	Conventional base calls	100	pass	SRX14953910_val_1.fq.gz	3.2 Gbp	pass	warn	99.08576309290449
SRX14953911	warn	pass	pass	warn	7.601499533968646	Sanger / Illumina 1.9	fail	30781115.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953911_val_1.fq.gz	3 Gbp	pass	warn	99.08947476399084
SRX14953912	warn	pass	pass	warn	5.439938622299816	Sanger / Illumina 1.9	fail	31438520.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953912_val_1.fq.gz	3.1 Gbp	pass	warn	99.08490991306206
SRX14953913	pass	pass	pass	warn	7.729436974690028	Sanger / Illumina 1.9	fail	35236142.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953913_val_1.fq.gz	3.5 Gbp	pass	warn	99.0622927447619
SRX14953914	warn	pass	pass	warn	5.603667908022825	Sanger / Illumina 1.9	fail	28610815.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953914_val_1.fq.gz	2.8 Gbp	pass	warn	99.07850713095729
SRX14953915	warn	pass	pass	warn	5.699610556193009	Sanger / Illumina 1.9	fail	28674180.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953915_val_1.fq.gz	2.8 Gbp	pass	warn	99.10894240044527
SRX14953916	fail	pass	pass	warn	6.87927410492305	Sanger / Illumina 1.9	fail	33080696.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX14953916_val_1.fq.gz	3.2 Gbp	pass	warn	98.98186156663692
SRX14953917	warn	pass	pass	warn	7.397902047762704	Sanger / Illumina 1.9	fail	33298159.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953917_val_1.fq.gz	3.3 Gbp	pass	warn	99.06759373693903
SRX14953918	warn	pass	pass	warn	8.44486589666203	Sanger / Illumina 1.9	fail	35621813.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953918_val_2.fq.gz	3.5 Gbp	pass	warn	98.72620829265485
SRX14953919	warn	pass	pass	warn	7.456972328455996	Sanger / Illumina 1.9	fail	36402600.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX14953919_val_2.fq.gz	3.6 Gbp	pass	warn	99.01765857383813
SRX14953920	warn	pass	pass	warn	7.031212189610681	Sanger / Illumina 1.9	fail	33783112.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX14953920_val_2.fq.gz	3.3 Gbp	pass	warn	98.90617838877603
SRX14953921	fail	pass	pass	warn	8.425449418413516	Sanger / Illumina 1.9	fail	35199521.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX14953921_val_2.fq.gz	3.4 Gbp	pass	warn	98.96036250038743
SRX14953922	warn	pass	pass	warn	6.664806887186494	Sanger / Illumina 1.9	fail	37378598.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953922_val_2.fq.gz	3.7 Gbp	pass	fail	98.9673422743143
SRX14953923	fail	pass	pass	warn	8.300922124358346	Sanger / Illumina 1.9	fail	36840129.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX14953923_val_2.fq.gz	3.6 Gbp	pass	warn	98.97929776521684
SRX14953924	fail	pass	pass	warn	10.10867622613955	Sanger / Illumina 1.9	fail	27527543.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX14953924_val_2.fq.gz	2.7 Gbp	pass	warn	98.86668446944212
SRX14953925	fail	pass	pass	warn	6.434306248530307	Sanger / Illumina 1.9	fail	30766680.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953925_val_2.fq.gz	3 Gbp	pass	fail	98.90383824319036
SRX14953926	fail	pass	pass	warn	10.035463385568947	Sanger / Illumina 1.9	fail	27101077.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX14953926_val_2.fq.gz	2.6 Gbp	pass	fail	98.84904330554834
SRX14953927	fail	pass	pass	warn	8.232486267198453	Sanger / Illumina 1.9	fail	33401064.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX14953927_val_2.fq.gz	3.2 Gbp	pass	fail	98.47462817352165
SRX14953928	warn	pass	pass	warn	5.532268440829775	Sanger / Illumina 1.9	fail	36800174.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953928_val_1.fq.gz	3.6 Gbp	pass	warn	99.04596842395365
SRX14953929	fail	pass	pass	warn	7.0156252323214625	Sanger / Illumina 1.9	fail	30632276.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX14953929_val_1.fq.gz	3 Gbp	pass	warn	99.03837938780651
SRX14953930	fail	pass	pass	warn	11.395872797579267	Sanger / Illumina 1.9	fail	31671621.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX14953930_val_2.fq.gz	3.1 Gbp	pass	warn	98.79320524831994
SRX14953931	fail	pass	pass	warn	7.254313834262993	Sanger / Illumina 1.9	fail	22503368.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953931_val_2.fq.gz	2.2 Gbp	pass	fail	98.91632825806342
SRX14953932	warn	pass	pass	warn	5.745911600084062	Sanger / Illumina 1.9	fail	23989620.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX14953932_val_2.fq.gz	2.3 Gbp	pass	fail	99.04167227325819
SRX18804540	pass	pass	pass	warn	16.62624492555525	Sanger / Illumina 1.9	fail	10587040.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804540_val_2.fq.gz	1.5 Gbp	pass	warn	148.68037317323822
SRX18804541	warn	pass	pass	warn	17.351485159773386	Sanger / Illumina 1.9	fail	11128484.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804541_val_2.fq.gz	1.6 Gbp	pass	warn	148.73948751689807
SRX18804542	pass	pass	pass	warn	17.406942505339902	Sanger / Illumina 1.9	fail	9148114.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804542_val_2.fq.gz	1.3 Gbp	pass	warn	148.70335677933178
SRX18804543	warn	pass	pass	warn	18.501412046640745	Sanger / Illumina 1.9	fail	9265501.0	20-150	fail	48.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804543_val_2.fq.gz	1.3 Gbp	pass	warn	148.75091104086007
SRX18804544	warn	pass	pass	warn	18.41772534035494	Sanger / Illumina 1.9	fail	12988299.0	20-150	fail	48.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804544_val_2.fq.gz	1.9 Gbp	pass	warn	148.79974059728684
SRX18804545	warn	pass	pass	warn	19.594581492611415	Sanger / Illumina 1.9	fail	11629682.0	20-150	fail	48.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804545_val_2.fq.gz	1.7 Gbp	pass	warn	148.8227428746547
SRX18804546	pass	pass	pass	warn	18.529184597727742	Sanger / Illumina 1.9	fail	8887036.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804546_val_2.fq.gz	1.3 Gbp	pass	warn	148.74009084693705
SRX18804547	warn	pass	pass	warn	15.7335845731217	Sanger / Illumina 1.9	fail	10433938.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804547_val_2.fq.gz	1.5 Gbp	pass	warn	148.81874293291756
SRX18804548	warn	pass	pass	warn	23.307303013166923	Sanger / Illumina 1.9	fail	10641261.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804548_val_1.fq.gz	1.5 Gbp	pass	warn	148.7771348715157
SRX18804549	pass	pass	pass	warn	16.330032153147613	Sanger / Illumina 1.9	fail	9525001.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804549_val_1.fq.gz	1.4 Gbp	pass	warn	148.67306103169963
SRX18804550	warn	pass	pass	warn	23.395555580991044	Sanger / Illumina 1.9	fail	8739462.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804550_val_2.fq.gz	1.3 Gbp	pass	warn	148.5908662341
SRX18804551	pass	pass	pass	warn	20.120001171779567	Sanger / Illumina 1.9	fail	8169144.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804551_val_2.fq.gz	1.2 Gbp	pass	warn	148.72156850215885
SRX18804552	warn	pass	pass	warn	19.9702147440601	Sanger / Illumina 1.9	fail	8199473.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804552_val_2.fq.gz	1.2 Gbp	pass	pass	147.98083303646467
SRX18804553	warn	pass	pass	warn	20.398594872863168	Sanger / Illumina 1.9	fail	8505338.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804553_val_2.fq.gz	1.2 Gbp	pass	warn	148.33359626625068
SRX18804554	pass	pass	pass	warn	19.533496502540956	Sanger / Illumina 1.9	fail	7873984.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804554_val_2.fq.gz	1.1 Gbp	pass	pass	148.13074651916997
SRX19817112	warn	pass	pass	warn	45.785079005022375	Sanger / Illumina 1.9	fail	10915150.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817112_val_2.fq.gz	1.6 Gbp	pass	warn	146.77454702867115
SRX19817113	warn	pass	pass	warn	46.04151795580531	Sanger / Illumina 1.9	fail	9796353.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817113_val_2.fq.gz	1.4 Gbp	pass	warn	146.48337406788016
SRX19817114	warn	pass	pass	warn	46.22647579854171	Sanger / Illumina 1.9	fail	10415459.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817114_val_2.fq.gz	1.5 Gbp	pass	warn	146.46109067300827
SRX19817115	warn	pass	pass	warn	52.60156438915576	Sanger / Illumina 1.9	warn	10669560.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817115_val_2.fq.gz	1.5 Gbp	pass	warn	146.99941131593056
SRX19817116	warn	pass	pass	warn	47.87627001282546	Sanger / Illumina 1.9	fail	10438218.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817116_val_2.fq.gz	1.5 Gbp	pass	pass	147.08300047000358
SRX19817117	warn	pass	pass	warn	48.249638643663715	Sanger / Illumina 1.9	fail	11171894.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817117_val_2.fq.gz	1.6 Gbp	pass	pass	147.0188260826678
SRX2036088	warn	pass	pass	warn	7.644980530574844	Sanger / Illumina 1.9	fail	46848459.0	18-50	fail	52.0	pass	pass	0.0	Conventional base calls	49	pass	SRX2036088_trimmed.fq.gz	2.1 Gbp	pass	fail	46.2406110732479
SRX2036089	warn	pass	pass	warn	8.257397753293102	Sanger / Illumina 1.9	fail	43849209.0	18-50	fail	52.0	pass	pass	0.0	Conventional base calls	49	pass	SRX2036089_trimmed.fq.gz	2 Gbp	pass	fail	46.20303146175339
