Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_rRNA	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Unmapped	Total	Unassigned_MultiMapping	Unassigned_Overlapping_Length	Assigned	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Duplicate	Unassigned_Singleton	percent_assigned	Unassigned_NonSplit
Kiley_A_DZM0422_Aerobic_A	0	0	7518164	0	0	3144183	12228684	72419606	0	2499637	46983989	44949	0	0	0	64.87744354753877	0
Kiley_A_DZM0422_Aerobic_B	0	0	6087630	0	0	2817346	11882332	68703538	0	2515008	45358276	42946	0	0	0	66.02029141497778	0
Kiley_A_DZM0422_Aerobic_C	0	0	6642710	0	0	2888552	12169608	69930038	0	2502691	45682196	44281	0	0	0	65.32557010765531	0
Kiley_A_DZM0422_Anaerobic_A	0	0	6462041	0	0	3009980	12760546	74505040	0	2712991	49508719	50763	0	0	0	66.45016095555415	0
Kiley_A_DZM0422_Anaerobic_B	0	0	5260217	0	0	2777217	10584730	63007956	0	2252384	42090128	43280	0	0	0	66.801290935386	0
Kiley_A_DZM0422_Anaerobic_C	0	0	5803259	0	0	2794219	9807122	60201208	0	2172220	39583507	40881	0	0	0	65.75201447784902	0
Kiley_A_WT_Aerobic_A	0	0	6271314	0	0	3048833	11667606	65414252	0	2272662	42111558	42279	0	0	0	64.37673245885316	0
Kiley_A_WT_Aerobic_B	0	0	5896871	0	0	2505148	9920290	58020246	0	2037694	37623166	37077	0	0	0	64.84489224675126	0
Kiley_A_WT_Aerobic_C	0	0	5845546	0	0	2544567	10950516	64781114	0	2411344	42987223	41918	0	0	0	66.35764707596724	0
Kiley_A_WT_Anaerobic_A	0	0	6313191	0	0	2542857	9710904	60451246	0	2053176	39789829	41289	0	0	0	65.82135461690896	0
Kiley_A_WT_Anaerobic_C	0	0	3930540	0	0	2359505	9237700	56518136	0	2224120	38726973	39298	0	0	0	68.52132030681265	0
Kiley_B_Dfur_-O2_A	0	0	1779	0	0	779234	1609768	8243634	0	351063	5497035	4755	0	0	0	66.6821816689096	0
Kiley_B_Dfur_-O2_B	0	0	1136	0	0	771986	1717838	8558948	0	362123	5700527	5338	0	0	0	66.60312692634656	0
Kiley_B_Dfur_-O2_C	0	0	1706	0	0	668303	1482594	7431676	0	317594	4957054	4425	0	0	0	66.70169689851926	0
Kiley_B_DrsuR_-O2_A	0	0	1519	0	0	454736	1418210	7423844	0	332932	5212029	4418	0	0	0	70.20660725090667	0
Kiley_B_DrsuR_-O2_B	0	0	1693	0	0	500693	1547506	8184904	0	367102	5762719	5191	0	0	0	70.40667795248423	0
Kiley_B_DrsuR_-O2_C	0	0	1377	0	0	580279	1795768	9585932	0	436944	6765558	6006	0	0	0	70.57798866088348	0
Kiley_B_WT_+O2_Ctrl_A	0	0	2005	0	0	552312	1460612	7644502	0	343382	5281539	4652	0	0	0	69.08937953054365	0
Kiley_B_WT_+O2_Ctrl_B	0	0	1656	0	0	482824	1307718	6695504	0	300814	4598546	3946	0	0	0	68.68110302077334	0
Kiley_B_WT_+O2_Ctrl_C	0	0	2066	0	0	558041	1528782	7818566	0	339053	5385915	4709	0	0	0	68.88622542803886	0
Kiley_B_WT_+O2_Paraquat_A	0	0	2419	0	0	519342	1582490	7907266	0	356823	5441536	4656	0	0	0	68.81690839792161	0
Kiley_B_WT_+O2_Paraquat_B	0	0	1287	0	0	415380	1287938	6521320	0	295369	4517623	3723	0	0	0	69.27467138554772	0
Kiley_B_WT_+O2_Paraquat_C	0	0	2086	0	0	675991	1800232	9617518	0	439488	6693926	5795	0	0	0	69.60138780088585	0
Kiley_B_WT_-O2_Ctrl_A	0	0	2019	0	0	512976	1491220	8324860	0	375481	5937627	5537	0	0	0	71.32404629026794	0
Kiley_B_WT_-O2_Ctrl_B	0	0	1754	0	0	356731	1179728	6233902	0	272990	4418606	4093	0	0	0	70.88026087031845	0
Kiley_B_WT_-O2_Ctrl_C	0	0	1586	0	0	498254	1507076	8217678	0	368891	5836426	5445	0	0	0	71.0228120400921	0
Kiley_B_WT_-O2_NoFe_A	0	0	1459	0	0	494856	1476720	8278092	0	366304	5933416	5337	0	0	0	71.67613020005092	0
Kiley_B_WT_-O2_NoFe_B	0	0	2244	0	0	607706	1890244	9920730	0	444224	6970095	6217	0	0	0	70.25788424843736	0
Kiley_B_WT_-O2_NoFe_C	0	0	1484	0	0	501537	1759882	8774586	0	393075	6112995	5613	0	0	0	69.6670475393369	0
Kiley_B_WT_-O2_NoFe_DIP_A	0	0	852	0	0	372267	1275296	6435194	0	288758	4493963	4058	0	0	0	69.83414952214339	0
Kiley_B_WT_-O2_NoFe_DIP_B	0	0	1273	0	0	565640	1599348	8613268	0	397506	6044051	5450	0	0	0	70.17140300290204	0
Kiley_B_WT_-O2_NoFe_DIP_C	0	0	1823	0	0	778316	2199522	11727306	0	528559	8211505	7581	0	0	0	70.02038660882559	0
Kiley_B_WT_-O2_Peroxide_A	0	0	1104	0	0	495401	1385682	8396894	0	333835	6176208	4664	0	0	0	73.55348299025806	0
Kiley_B_WT_-O2_Peroxide_C	0	0	1074	0	0	477418	1418134	7637012	0	325715	5411173	3498	0	0	0	70.8545829180313	0
