Sample	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	FastQC_mqc-generalstats-fastqc-percent_fails	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_gc	featureCounts_mqc-generalstats-featurecounts-percent_assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage
Kiley_A_DZM0422_Aerobic_A	147	134.87054165967155	93.08941520085966	36209803.0	46983989	30095461.0	18.181818181818183	9.938646421758095	49.0	64.87744354753877	83.11
Kiley_A_DZM0422_Aerobic_B	147	135.64262233482066	93.08669593097245	34351769.0	45358276	28410603.0	18.181818181818183	9.42971178064997	49.0	66.02029141497778	82.7
Kiley_A_DZM0422_Aerobic_C	147	136.17092691984524	92.96696356565211	34965019.0	45682196	28880215.0	18.181818181818183	9.011183522738166	49.0	65.32557010765531	82.6
Kiley_A_DZM0422_Anaerobic_A	147	136.30096184097076	92.71613288332871	37252520.0	49508719	30872247.0	18.181818181818183	9.003476762135488	49.0	66.45016095555415	82.87
Kiley_A_DZM0422_Anaerobic_B	147	134.92771039898517	91.92483234995687	31503978.0	42090128	26211613.0	18.181818181818183	9.906757576462798	48.0	66.801290935386	83.2
Kiley_A_DZM0422_Anaerobic_C	147	135.60105647713914	92.13187266957551	30100604.0	39583507	25197043.0	18.181818181818183	9.402097071218291	49.0	65.75201447784902	83.71
Kiley_A_WT_Aerobic_A	147	135.2828769791635	90.9822728180013	32707126.0	42111558	26873323.0	18.181818181818183	9.622892459049334	48.0	64.37673245885316	82.16
Kiley_A_WT_Aerobic_B	147	135.38483590710732	91.50557870951097	29010123.0	37623166	24049978.0	18.181818181818183	9.555808711361955	48.0	64.84489224675126	82.9
Kiley_A_WT_Aerobic_C	147	135.71782726675556	91.90004539305369	32390557.0	42987223	26915299.0	18.181818181818183	9.401225571631494	48.0	66.35764707596724	83.1
Kiley_A_WT_Anaerobic_A	147	132.70050843947865	91.53350783755458	30225623.0	39789829	25370171.0	18.181818181818183	11.383684662559029	48.0	65.82135461690896	83.94
Kiley_A_WT_Anaerobic_C	147	136.25766677797017	92.16612259851952	28259068.0	38726973	23640218.0	18.181818181818183	9.026452170169081	48.0	68.52132030681265	83.66
Kiley_B_Dfur_-O2_A	150	144.3711724707817	91.67049103781433	4121817.0	5497035	3316933.0	18.181818181818183	0.3195334827641042	48.0	66.6821816689096	80.47
Kiley_B_Dfur_-O2_B	150	144.2800951705747	91.54932281661057	4279474.0	5700527	3420555.0	18.181818181818183	0.3185883201952607	48.0	66.60312692634656	79.93
Kiley_B_Dfur_-O2_C	150	144.06888190497003	91.42322640534253	3715838.0	4957054	2974541.0	18.181818181818183	0.3511724341944238	48.0	66.70169689851926	80.05
Kiley_B_DrsuR_-O2_A	150	143.76245890942752	90.62009610154811	3711922.0	5212029	3002817.0	18.181818181818183	0.3282097769928449	48.0	70.20660725090667	80.9
Kiley_B_DrsuR_-O2_B	150	143.9902325060868	90.38870807726066	4092452.0	5762719	3318699.0	18.181818181818183	0.3350351593109275	48.0	70.40667795248423	81.09
Kiley_B_DrsuR_-O2_C	150	144.02852137903753	91.58536231453647	4792966.0	6765558	3895082.0	18.181818181818183	0.3194298242692831	48.0	70.57798866088348	81.27
Kiley_B_WT_+O2_Ctrl_A	150	143.52225717254046	88.40613120032486	3822251.0	5281539	3091945.0	18.181818181818183	0.3244771167045568	48.0	69.08937953054365	80.89
Kiley_B_WT_+O2_Ctrl_B	150	143.09738923313316	89.8874109202722	3347752.0	4598546	2693893.0	18.181818181818183	0.3230715695735092	48.0	68.68110302077334	80.47
Kiley_B_WT_+O2_Ctrl_C	150	142.88124190548498	90.3990546225259	3909283.0	5385915	3144892.0	18.181818181818183	0.3355123170424071	48.0	68.88622542803886	80.45
Kiley_B_WT_+O2_Paraquat_A	150	143.4993999190112	90.4304183975077	3953633.0	5441536	3162388.0	18.181818181818183	0.31505027075159037	48.0	68.81690839792161	79.99
Kiley_B_WT_+O2_Paraquat_B	150	142.99982917568835	89.16883765786699	3260660.0	4517623	2616691.0	18.181818181818183	0.3210599782976135	48.0	69.27467138554772	80.25
Kiley_B_WT_+O2_Paraquat_C	147	142.80997758465332	92.13477443098131	4808759.0	6693926	3908643.0	18.181818181818183	0.34183205447456116	48.0	69.60138780088585	81.28
Kiley_B_WT_-O2_Ctrl_A	150	143.81142986188357	91.78783043777474	4162430.0	5937627	3416820.0	18.181818181818183	0.3200681669773103	48.0	71.32404629026794	82.09
Kiley_B_WT_-O2_Ctrl_B	150	143.72840702340204	88.47264379047263	3116951.0	4418606	2527087.0	18.181818181818183	0.4430125369998881	48.0	70.88026087031845	81.08
Kiley_B_WT_-O2_Ctrl_C	150	143.82820378213896	92.17067099916815	4108839.0	5836426	3355301.0	18.181818181818183	0.3218015483371573	48.0	71.0228120400921	81.66
Kiley_B_WT_-O2_NoFe_A	150	143.006118801289	89.42713340069754	4139046.0	5933416	3400686.0	18.181818181818183	0.33625539411454064	48.0	71.67613020005092	82.16
