Sample	pe_antisense	failed	pe_sense
Kiley_A_DZM0422_Aerobic_A	0.44	0.5446	0.0154
Kiley_A_DZM0422_Aerobic_B	0.4361	0.5492	0.0148
Kiley_A_DZM0422_Aerobic_C	0.4377	0.5483	0.0141
Kiley_A_DZM0422_Anaerobic_A	0.4184	0.5679	0.0136
Kiley_A_DZM0422_Anaerobic_B	0.4237	0.5616	0.0147
Kiley_A_DZM0422_Anaerobic_C	0.429	0.5533	0.0177
Kiley_A_WT_Aerobic_A	0.4431	0.5398	0.0171
Kiley_A_WT_Aerobic_B	0.4478	0.537	0.0152
Kiley_A_WT_Aerobic_C	0.4332	0.5516	0.0152
Kiley_A_WT_Anaerobic_A	0.4388	0.5476	0.0137
Kiley_A_WT_Anaerobic_C	0.4095	0.5735	0.0171
Kiley_B_Dfur_-O2_A	0.2349	0.7007	0.0644
Kiley_B_Dfur_-O2_B	0.7711	0.2245	0.0044
Kiley_B_Dfur_-O2_C	0.5314	0.4352	0.0334
Kiley_B_DrsuR_-O2_A	0.6066	0.3927	0.0008
Kiley_B_DrsuR_-O2_B	0.2367	0.7557	0.0076
Kiley_B_DrsuR_-O2_C	0.5353	0.4231	0.0417
Kiley_B_WT_+O2_Ctrl_A	0.4281	0.5464	0.0254
Kiley_B_WT_+O2_Ctrl_B	0.4656	0.5268	0.0076
Kiley_B_WT_+O2_Ctrl_C	0.722	0.2741	0.0039
Kiley_B_WT_+O2_Paraquat_A	0.46	0.5048	0.0352
Kiley_B_WT_+O2_Paraquat_B	0.432	0.5352	0.0328
Kiley_B_WT_+O2_Paraquat_C	0.2746	0.7102	0.0152
Kiley_B_WT_-O2_Ctrl_A	0.1446	0.8412	0.0142
Kiley_B_WT_-O2_Ctrl_B	0.4647	0.5147	0.0206
Kiley_B_WT_-O2_Ctrl_C	0.1231	0.8698	0.007
Kiley_B_WT_-O2_NoFe_A	0.6109	0.3118	0.0772
Kiley_B_WT_-O2_NoFe_B	0.3677	0.6083	0.024
Kiley_B_WT_-O2_NoFe_C	0.4162	0.5577	0.0261
Kiley_B_WT_-O2_NoFe_DIP_A	0.7134	0.2599	0.0267
Kiley_B_WT_-O2_NoFe_DIP_B	0.472	0.513	0.015
Kiley_B_WT_-O2_NoFe_DIP_C	0.399	0.5954	0.0056
Kiley_B_WT_-O2_Peroxide_A	0.3123	0.6763	0.0114
Kiley_B_WT_-O2_Peroxide_C	0.4359	0.5361	0.028
