Module	Section	Sample Name	Source
featureCounts	all_sections	Kiley_B_Dfur_-O2_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_Dfur_-O2_A_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Paraquat_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Paraquat_C_all.txt.summary
featureCounts	all_sections	Kiley_A_WT_Aerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_WT_Aerobic_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_Ctrl_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_Ctrl_A_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Paraquat_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Paraquat_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_C_all.txt.summary
featureCounts	all_sections	Kiley_A_WT_Aerobic_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_WT_Aerobic_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Ctrl_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Ctrl_A_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Ctrl_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Ctrl_B_all.txt.summary
featureCounts	all_sections	Kiley_A_WT_Aerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_WT_Aerobic_A_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_Ctrl_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_Ctrl_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Paraquat_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Paraquat_A_all.txt.summary
featureCounts	all_sections	Kiley_B_Dfur_-O2_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_Dfur_-O2_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_Ctrl_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_Ctrl_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_+O2_Ctrl_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_+O2_Ctrl_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_A_all.txt.summary
featureCounts	all_sections	Kiley_B_Dfur_-O2_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_Dfur_-O2_B_all.txt.summary
featureCounts	all_sections	Kiley_B_DrsuR_-O2_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_DrsuR_-O2_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_Peroxide_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_Peroxide_A_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Anaerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Anaerobic_A_all.txt.summary
featureCounts	all_sections	Kiley_A_WT_Anaerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_WT_Anaerobic_A_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Aerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Aerobic_A_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_DIP_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_DIP_C_all.txt.summary
featureCounts	all_sections	Kiley_B_DrsuR_-O2_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_DrsuR_-O2_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_DIP_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_DIP_B_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_NoFe_DIP_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_NoFe_DIP_A_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Aerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Aerobic_C_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Anaerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Anaerobic_C_all.txt.summary
featureCounts	all_sections	Kiley_A_WT_Anaerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_WT_Anaerobic_C_all.txt.summary
featureCounts	all_sections	Kiley_B_WT_-O2_Peroxide_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_WT_-O2_Peroxide_C_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Aerobic_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Aerobic_B_all.txt.summary
featureCounts	all_sections	Kiley_B_DrsuR_-O2_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_B_DrsuR_-O2_A_all.txt.summary
featureCounts	all_sections	Kiley_A_DZM0422_Anaerobic_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/featureCounts/Kiley_A_DZM0422_Anaerobic_B_all.txt.summary
Bowtie 1	all_sections	Kiley_A_DZM0422_Anaerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_A_DZM0422_Anaerobic_C_bowtie.txt
Bowtie 1	all_sections	Kiley_A_DZM0422_Aerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_A_DZM0422_Aerobic_A_bowtie.txt
Bowtie 1	all_sections	Kiley_B_DrsuR_-O2_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_DrsuR_-O2_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_+O2_Paraquat_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_+O2_Paraquat_A_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_+O2_Ctrl_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_+O2_Ctrl_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_NoFe_DIP_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_NoFe_DIP_A_bowtie.txt
Bowtie 1	all_sections	Kiley_B_Dfur_-O2_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_Dfur_-O2_B_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_NoFe_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_NoFe_A_bowtie.txt
Bowtie 1	all_sections	Kiley_A_DZM0422_Anaerobic_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_A_DZM0422_Anaerobic_A_bowtie.txt
Bowtie 1	all_sections	Kiley_A_DZM0422_Aerobic_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_A_DZM0422_Aerobic_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_+O2_Paraquat_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_+O2_Paraquat_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_DrsuR_-O2_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_DrsuR_-O2_A_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_NoFe_DIP_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_NoFe_DIP_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_+O2_Ctrl_A	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_+O2_Ctrl_A_bowtie.txt
Bowtie 1	all_sections	Kiley_A_WT_Aerobic_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_A_WT_Aerobic_B_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_NoFe_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_NoFe_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_Ctrl_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_Ctrl_B_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_NoFe_DIP_B	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_NoFe_DIP_B_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_Peroxide_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_Peroxide_C_bowtie.txt
Bowtie 1	all_sections	Kiley_B_WT_-O2_Ctrl_C	/mnt/bigdata/linuxhome/cdalldorf/iModulonMiner/2_process_data/work/cd/6a5c970bccf000817cae9a17419508/bowtie/Kiley_B_WT_-O2_Ctrl_C_bowtie.txt
