regulator,gene_id
ZCP4_0128,ZCP4_1194
ZCP4_0900,ZCP4_1194
ZCP4_1194,ZCP4_1194
ZCP4_1194,ZCP4_1190
ZCP4_0018,ZCP4_1187
ZCP4_0128,ZCP4_1187
ZCP4_0210,ZCP4_1187
ZCP4_0523,ZCP4_1187
ZCP4_1194,ZCP4_1187
ZCP4_1382,ZCP4_1187
ZCP4_1718,ZCP4_1187
ZCP4_0523,ZCP4_1178
ZCP4_1194,ZCP4_1178
ZCP4_1382,ZCP4_1178
ZCP4_1585,ZCP4_1178
ZCP4_1718,ZCP4_1178
ZCP4_0128,ZCP4_1123
ZCP4_0530,ZCP4_1123
ZCP4_1194,ZCP4_1123
ZCP4_1718,ZCP4_1123
ZCP4_0018,ZCP4_1089
ZCP4_1194,ZCP4_1089
ZCP4_1718,ZCP4_1089
ZCP4_0018,ZCP4_0999
ZCP4_0128,ZCP4_0999
ZCP4_0375,ZCP4_0999
ZCP4_0523,ZCP4_0999
ZCP4_0530,ZCP4_0999
ZCP4_0900,ZCP4_0999
ZCP4_1194,ZCP4_0999
ZCP4_1382,ZCP4_0999
ZCP4_1718,ZCP4_0999
ZCP4_0018,ZCP4_0969
ZCP4_0210,ZCP4_0969
ZCP4_1046,ZCP4_0969
ZCP4_1194,ZCP4_0969
ZCP4_1387,ZCP4_0969
ZCP4_1718,ZCP4_0969
ZCP4_0900,ZCP4_0967
ZCP4_1046,ZCP4_0967
ZCP4_1194,ZCP4_0967
ZCP4_1465,ZCP4_0967
ZCP4_0900,ZCP4_0958
ZCP4_1194,ZCP4_0958
ZCP4_1718,ZCP4_0958
ZCP4_0900,ZCP4_0955
ZCP4_1194,ZCP4_0955
ZCP4_0657,ZCP4_0932
ZCP4_1194,ZCP4_0932
ZCP4_1718,ZCP4_0932
ZCP4_0018,ZCP4_0901
ZCP4_0900,ZCP4_0901
ZCP4_1046,ZCP4_0901
ZCP4_1194,ZCP4_0901
ZCP4_1465,ZCP4_0901
ZCP4_1718,ZCP4_0901
ZCP4_0018,ZCP4_0708
ZCP4_0128,ZCP4_0708
ZCP4_0375,ZCP4_0708
ZCP4_0530,ZCP4_0708
ZCP4_1194,ZCP4_0708
ZCP4_1382,ZCP4_0708
ZCP4_1718,ZCP4_0708
ZCP4_0265,ZCP4_0686
ZCP4_0900,ZCP4_0686
ZCP4_1194,ZCP4_0686
ZCP4_0018,ZCP4_0660
ZCP4_0128,ZCP4_0660
ZCP4_0375,ZCP4_0660
ZCP4_0900,ZCP4_0660
ZCP4_1194,ZCP4_0660
ZCP4_1382,ZCP4_0660
ZCP4_1718,ZCP4_0660
ZCP4_1194,ZCP4_0625
ZCP4_1387,ZCP4_0625
ZCP4_1194,ZCP4_0612
ZCP4_0018,ZCP4_0607
ZCP4_0128,ZCP4_0607
ZCP4_0128,ZCP4_0607
ZCP4_0210,ZCP4_0607
ZCP4_0523,ZCP4_0607
ZCP4_1194,ZCP4_0607
ZCP4_1382,ZCP4_0607
ZCP4_1585,ZCP4_0607
ZCP4_1718,ZCP4_0607
ZCP4_1718,ZCP4_0607
ZCP4_0018,ZCP4_0552
ZCP4_0375,ZCP4_0552
ZCP4_1046,ZCP4_0552
ZCP4_1194,ZCP4_0552
ZCP4_1387,ZCP4_0552
ZCP4_1718,ZCP4_0552
ZCP4_0265,ZCP4_0544
ZCP4_1194,ZCP4_0544
ZCP4_1387,ZCP4_0544
ZCP4_0375,ZCP4_0527
ZCP4_0900,ZCP4_0527
ZCP4_1194,ZCP4_0527
ZCP4_0128,ZCP4_0406
ZCP4_0900,ZCP4_0406
ZCP4_1194,ZCP4_0406
ZCP4_0530,ZCP4_0399
ZCP4_0900,ZCP4_0399
ZCP4_1194,ZCP4_0399
ZCP4_1387,ZCP4_0399
ZCP4_0210,ZCP4_0359
ZCP4_0900,ZCP4_0359
ZCP4_1194,ZCP4_0359
ZCP4_0018,ZCP4_0320
ZCP4_0900,ZCP4_0320
ZCP4_1194,ZCP4_0320
ZCP4_0128,ZCP4_0283
ZCP4_0210,ZCP4_0283
ZCP4_0375,ZCP4_0283
ZCP4_0523,ZCP4_0283
ZCP4_0530,ZCP4_0283
ZCP4_1194,ZCP4_0283
ZCP4_1382,ZCP4_0283
ZCP4_1718,ZCP4_0283
ZCP4_1194,ZCP4_0258
ZCP4_1194,ZCP4_0117
ZCP4_1194,ZCP4_0095
ZCP4_1387,ZCP4_0095
ZCP4_1465,ZCP4_0095
ZCP4_0375,ZCP4_0070
ZCP4_0900,ZCP4_0070
ZCP4_1194,ZCP4_0070
ZCP4_0018,ZCP4_1715
ZCP4_0375,ZCP4_1715
ZCP4_1194,ZCP4_1715
ZCP4_1382,ZCP4_1715
ZCP4_1718,ZCP4_1715
ZCP4_1194,ZCP4_1693
ZCP4_1465,ZCP4_1693
ZCP4_0210,ZCP4_1692
