,single_gene,imodulon_size,explained_variance,old_name
energy_production_1,,28,0.025585604,energy_production_1
iron_fixation,,11,0.020318343,iron_fixation
motility,,16,0.019519933,motility
phage_response_1,,5,0.014136151,phage_response_1
Na_transport,,3,0.0121064,Na_transport
minimal_media_transport,,14,0.01147865,minimal_media_transport
SG_10,TRUE,1,0.011094446,SG_10
aerobicity,,13,0.010567982,aerobicity
unknown_1,,6,0.01046458,unknown_1
unknown_2,,2,0.010197078,unknown_2
MMS_response,,39,0.066801892,MMS_response
translation_1,,49,0.061542249,translation_1
neutral_pH_response,,16,0.03944863,neutral_pH_response
unknown_3,,19,0.032826649,unknown_3
phage_response_2,,11,0.031867681,phage_response_2
translation_2,,20,0.017055272,translation_2
unknown_4,,34,0.009940165,unknown_4
unknown_5,,3,0.009127558,unknown_5
unknown_6,,76,0.009079297,unknown_6
cobalamin_import,,27,0.00857843,cobalamin_import
carbo_transport_1,,14,0.008248676,carbo_transport_1
unknown_7,,2,0.00786545,unknown_7
energy_production_2,,13,0.007539576,energy_production_2
carbo_transport_2,,5,0.00749281,carbo_transport_2
defense_1,,6,0.007418975,defense_1
SG_3,TRUE,1,0.007234266,SG_3
unknown_8,,11,0.006063468,unknown_8
nucleotide_transport,,5,0.006002062,nucleotide_transport
noise_1,,37,0.005821303,noise_1
noise_2,,90,0.005470747,noise_2
SG_9,TRUE,1,0.005135519,SG_9
SG_16,TRUE,1,0.004970387,SG_16
stationary_response,,10,0.004888992,stationary_response
SG_19,,1,0.00467525,SG_19
13,,9,0.004190951,13
23,,23,0.003846279,23
44,,17,0.003816575,44
8,,2,0.003721177,8
42,,4,0.003703867,42
SG_6,TRUE,1,0.003633173,SG_6
2,,7,0.00358867,2
SG_2,TRUE,1,0.003254266,SG_2
55,,60,0.002710439,55
SG_13,TRUE,1,0.002637084,SG_13
47,,2,0.002599581,47
SG_17,TRUE,1,0.001995156,SG_17
SG_11,TRUE,1,0.001962348,SG_11
SG_4,TRUE,1,0.00156997,SG_4
SG_8,TRUE,1,0.001560237,SG_8
SG_5,TRUE,1,0.001511075,SG_5
43,,4,0.001433361,43
SG_15,TRUE,1,0.001389052,SG_15
SG_18,TRUE,1,0.001105741,SG_18
SG_7,TRUE,1,0.00095701,SG_7
SG_14,TRUE,1,0.000814245,SG_14
25,,3,0.000705477,25
SG_12,TRUE,1,0.000597884,SG_12
SG_1,TRUE,1,0.000426164,SG_1
