,imodulon,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,fisher_p_value
0,noise_5,ZCP4_1718,0.003936706873848552,0.10235437872006235,0.18461538461538463,0.12244897959183673,0.14723926380368096,24.0,196.0,130.0,1.0,0.004896473835386016
1,noise_5,ZCP4_0900,0.06453696598288786,0.30682643427741463,0.14615384615384616,0.10106382978723404,0.11949685534591196,19.0,188.0,130.0,1.0,0.09774527750930803
2,noise_5,ZCP4_0921,0.07080610021786492,0.30682643427741463,0.007692307692307693,1.0,0.015267175572519085,1.0,1.0,130.0,1.0,0.07080610021786492
3,noise_5,ZCP4_0661,0.07080610021786492,0.30682643427741463,0.007692307692307693,1.0,0.015267175572519085,1.0,1.0,130.0,1.0,0.07080610021786492
4,noise_5,ZCP4_1609,0.07080610021786492,0.30682643427741463,0.007692307692307693,1.0,0.015267175572519085,1.0,1.0,130.0,1.0,0.07080610021786492
5,noise_5,ZCP4_1005,0.07080610021786492,0.30682643427741463,0.007692307692307693,1.0,0.015267175572519085,1.0,1.0,130.0,1.0,0.07080610021786492
6,noise_5,ZCP4_0207,0.13663455088362925,0.39472203588604005,0.007692307692307693,0.5,0.015151515151515154,1.0,2.0,130.0,1.0,0.13663455088362925
7,noise_5,ZCP4_0128,0.10747450765521382,0.39472203588604005,0.1076923076923077,0.10071942446043165,0.10408921933085502,14.0,139.0,130.0,1.0,0.16654655006405877
8,noise_5,ZCP4_1315,0.13663455088362925,0.39472203588604005,0.007692307692307693,0.5,0.015151515151515154,1.0,2.0,130.0,1.0,0.13663455088362925
9,noise_5,ZCP4_0018,0.205700031195728,0.48284667342171705,0.1,0.09090909090909091,0.09523809523809525,13.0,143.0,130.0,1.0,0.3096657939311928
10,noise_5,ZCP4_0095,0.2547240500028897,0.48284667342171705,0.007692307692307693,0.25,0.014925373134328361,1.0,4.0,130.0,1.0,0.2547240500028897
11,noise_5,ZCP4_0168,0.2547240500028897,0.48284667342171705,0.007692307692307693,0.25,0.014925373134328361,1.0,4.0,130.0,1.0,0.2547240500028897
12,noise_5,ZCP4_0530,0.2599943626116938,0.48284667342171705,0.046153846153846156,0.09836065573770492,0.06282722513089005,6.0,61.0,130.0,1.0,0.43975410782363966
13,noise_5,ZCP4_0389,0.1978327561099805,0.48284667342171705,0.007692307692307693,0.3333333333333333,0.015037593984962405,1.0,3.0,130.0,1.0,0.1978327561099805
14,noise_5,ZCP4_1465,0.31997675495168637,0.5423897516565741,0.08461538461538462,0.08396946564885496,0.0842911877394636,11.0,131.0,130.0,1.0,0.4830943919212702
15,noise_5,ZCP4_1382,0.3755005973007052,0.5423897516565741,0.06923076923076923,0.08181818181818182,0.07500000000000001,9.0,110.0,130.0,1.0,0.5684120812642216
16,noise_5,ZCP4_1637,0.3567687099812621,0.5423897516565741,0.007692307692307693,0.16666666666666666,0.014705882352941178,1.0,6.0,130.0,1.0,0.3567687099812621
17,noise_5,ZCP4_1046,0.3414026457528275,0.5423897516565741,0.07692307692307693,0.08333333333333333,0.08,10.0,120.0,130.0,1.0,0.579234334964854
18,noise_5,ZCP4_1194,0.4777261177610148,0.6537304769361256,0.03076923076923077,0.08,0.044444444444444446,4.0,50.0,130.0,1.0,0.7771248359717883
19,noise_5,ZCP4_0210,0.5092247052975603,0.6612870441378951,0.03076923076923077,0.07692307692307693,0.04395604395604396,4.0,52.0,130.0,1.0,0.7831751196656174
20,noise_5,ZCP4_1387,0.5341164587267614,0.6612870441378951,0.13076923076923078,0.07112970711297072,0.0921409214092141,17.0,239.0,130.0,1.0,1.0
21,noise_5,ZCP4_1137,0.6691034698826559,0.790758646224957,0.007692307692307693,0.06666666666666667,0.013793103448275862,1.0,15.0,130.0,1.0,1.0
22,noise_5,ZCP4_0375,0.7211836648107193,0.815251099351248,0.07692307692307693,0.062111801242236024,0.06872852233676977,10.0,161.0,130.0,1.0,0.7493291844983891
23,noise_5,ZCP4_1042,0.7716101177203174,0.8359109608636771,0.007692307692307693,0.05,0.013333333333333334,1.0,20.0,130.0,1.0,1.0
24,noise_5,ZCP4_0265,0.8915420686628251,0.9272037514093381,0.007692307692307693,0.03333333333333333,0.0125,1.0,30.0,130.0,1.0,0.7188367095847973
25,noise_5,ZCP4_0523,0.9909916511770192,0.9909916511770192,0.007692307692307693,0.015873015873015872,0.010362694300518135,1.0,63.0,130.0,1.0,0.1262343473615692
26,nitrogen_fixation,ZCP4_0900,0.6614470811448334,0.6614470811448334,0.1,0.005319148936170213,0.010101010101010102,1.0,188.0,10.0,1.0,1.0
27,translation_2,ZCP4_0375,0.8098674811324375,0.9197718438572796,0.05555555555555555,0.006211180124223602,0.011173184357541898,1.0,161.0,18.0,1.0,1.0
28,translation_2,ZCP4_1046,0.7055203436627457,0.9197718438572796,0.05555555555555555,0.008333333333333333,0.014492753623188406,1.0,120.0,18.0,1.0,1.0
29,translation_2,ZCP4_1387,0.9197718438572796,0.9197718438572796,0.05555555555555555,0.0041841004184100415,0.007782101167315174,1.0,239.0,18.0,1.0,0.49715682536010397
30,glycolysis_and_ATP_synthase,ZCP4_1194,0.15635533130754856,0.7817766565377428,0.07692307692307693,0.04,0.052631578947368425,2.0,50.0,26.0,1.0,0.15635533130754856
31,glycolysis_and_ATP_synthase,ZCP4_1387,0.6778518772321722,0.9095864233466451,0.11538461538461539,0.012552301255230125,0.022641509433962263,3.0,239.0,26.0,1.0,1.0
32,glycolysis_and_ATP_synthase,ZCP4_0375,0.9095864233466451,0.9095864233466451,0.038461538461538464,0.006211180124223602,0.0106951871657754,1.0,161.0,26.0,1.0,0.7221362759973249
33,glycolysis_and_ATP_synthase,ZCP4_1046,0.8296540955532868,0.9095864233466451,0.038461538461538464,0.008333333333333333,0.0136986301369863,1.0,120.0,26.0,1.0,1.0
34,glycolysis_and_ATP_synthase,ZCP4_1382,0.8016536501698226,0.9095864233466451,0.038461538461538464,0.00909090909090909,0.014705882352941175,1.0,110.0,26.0,1.0,1.0
35,siderophore_receptor,ZCP4_0210,0.019754176721886712,0.11852506033132028,0.25,0.038461538461538464,0.06666666666666668,2.0,52.0,8.0,1.0,0.019754176721886712
36,siderophore_receptor,ZCP4_1046,0.011967780159692142,0.11852506033132028,0.375,0.025,0.04687500000000001,3.0,120.0,8.0,1.0,0.011967780159692142
37,siderophore_receptor,ZCP4_0523,0.24412066477267702,0.48824132954535404,0.125,0.015873015873015872,0.02816901408450704,1.0,63.0,8.0,1.0,0.24412066477267702
38,siderophore_receptor,ZCP4_0018,0.12372163669966052,0.48824132954535404,0.25,0.013986013986013986,0.02649006622516556,2.0,143.0,8.0,1.0,0.12372163669966052
39,siderophore_receptor,ZCP4_1194,0.19853550614598495,0.48824132954535404,0.125,0.02,0.03448275862068966,1.0,50.0,8.0,1.0,0.19853550614598495
40,siderophore_receptor,ZCP4_0530,0.23725881607931104,0.48824132954535404,0.125,0.01639344262295082,0.028985507246376815,1.0,61.0,8.0,1.0,0.23725881607931104
41,siderophore_receptor,ZCP4_0375,0.5208200558984696,0.6495784488564088,0.125,0.006211180124223602,0.011834319526627217,1.0,161.0,8.0,1.0,0.5208200558984696
42,siderophore_receptor,ZCP4_0128,0.46797838498186006,0.6495784488564088,0.125,0.007194244604316547,0.013605442176870748,1.0,139.0,8.0,1.0,0.46797838498186006
43,siderophore_receptor,ZCP4_0900,0.5793523184630515,0.6495784488564088,0.125,0.005319148936170213,0.01020408163265306,1.0,188.0,8.0,1.0,0.5793523184630515
44,siderophore_receptor,ZCP4_1382,0.39057309974661614,0.6495784488564088,0.125,0.00909090909090909,0.01694915254237288,1.0,110.0,8.0,1.0,0.39057309974661614
45,siderophore_receptor,ZCP4_1718,0.595446911451708,0.6495784488564088,0.125,0.00510204081632653,0.009803921568627449,1.0,196.0,8.0,1.0,0.595446911451708
46,siderophore_receptor,ZCP4_1387,0.6730632055135333,0.6730632055135333,0.125,0.0041841004184100415,0.008097165991902832,1.0,239.0,8.0,1.0,1.0
47,low_pH_response,ZCP4_1046,0.04808444642972746,0.38467557143781966,0.23076923076923078,0.025,0.045112781954887216,3.0,120.0,13.0,1.0,0.04808444642972746
48,low_pH_response,ZCP4_0900,0.14048217385193734,0.5619286954077494,0.23076923076923078,0.015957446808510637,0.029850746268656716,3.0,188.0,13.0,1.0,0.14048217385193734
49,low_pH_response,ZCP4_1387,0.23393346723238231,0.6238225792863529,0.23076923076923078,0.012552301255230125,0.023809523809523808,3.0,239.0,13.0,1.0,0.23393346723238231
50,low_pH_response,ZCP4_0128,0.6419029754744549,0.7706971191022549,0.07692307692307693,0.007194244604316547,0.013157894736842106,1.0,139.0,13.0,1.0,1.0
51,low_pH_response,ZCP4_1465,0.6192430241464768,0.7706971191022549,0.07692307692307693,0.007633587786259542,0.013888888888888888,1.0,131.0,13.0,1.0,1.0
52,low_pH_response,ZCP4_0375,0.6979590526857329,0.7706971191022549,0.07692307692307693,0.006211180124223602,0.011494252873563218,1.0,161.0,13.0,1.0,1.0
53,low_pH_response,ZCP4_1382,0.5533122057037613,0.7706971191022549,0.07692307692307693,0.00909090909090909,0.016260162601626015,1.0,110.0,13.0,1.0,0.5533122057037613
54,low_pH_response,ZCP4_1718,0.7706971191022549,0.7706971191022549,0.07692307692307693,0.00510204081632653,0.00956937799043062,1.0,196.0,13.0,1.0,1.0
55,aldose_transport_maybe,ZCP4_0128,0.09875696598067794,0.5831471501928421,0.2,0.02158273381294964,0.03896103896103897,3.0,139.0,15.0,1.0,0.09875696598067794
56,aldose_transport_maybe,ZCP4_1194,0.3401691709458246,0.5831471501928421,0.06666666666666667,0.02,0.030769230769230767,1.0,50.0,15.0,1.0,0.3401691709458246
57,aldose_transport_maybe,ZCP4_0900,0.1927634506044455,0.5831471501928421,0.2,0.015957446808510637,0.029556650246305417,3.0,188.0,15.0,1.0,0.1927634506044455
58,aldose_transport_maybe,ZCP4_1465,0.2908805896195718,0.5831471501928421,0.13333333333333333,0.015267175572519083,0.027397260273972605,2.0,131.0,15.0,1.0,0.2908805896195718
59,aldose_transport_maybe,ZCP4_1718,0.2100934227485534,0.5831471501928421,0.2,0.015306122448979591,0.028436018957345974,3.0,196.0,15.0,1.0,0.2100934227485534
60,aldose_transport_maybe,ZCP4_0018,0.32838258982153273,0.5831471501928421,0.13333333333333333,0.013986013986013986,0.02531645569620253,2.0,143.0,15.0,1.0,0.32838258982153273
61,aldose_transport_maybe,ZCP4_1585,0.13070541301676844,0.5831471501928421,0.06666666666666667,0.058823529411764705,0.0625,1.0,17.0,15.0,1.0,0.13070541301676844
62,aldose_transport_maybe,ZCP4_0523,0.4089100347120141,0.6133650520680212,0.06666666666666667,0.015873015873015872,0.025641025641025637,1.0,63.0,15.0,1.0,0.4089100347120141
63,aldose_transport_maybe,ZCP4_1382,0.6056061196127207,0.766385334130616,0.06666666666666667,0.00909090909090909,0.016,1.0,110.0,15.0,1.0,0.6056061196127207
64,aldose_transport_maybe,ZCP4_1046,0.6386544451088467,0.766385334130616,0.06666666666666667,0.008333333333333333,0.014814814814814815,1.0,120.0,15.0,1.0,1.0
