,single_gene,imodulon_size,explained_variance
energy_production_1,,28,0.025585604357985292
iron_fixation,,11,0.020318343284077223
motility,,16,0.019519933034836012
phage_response_1,,5,0.014136150744582965
Na_transport,,3,0.012106400491988079
minimal_media_transport,,14,0.011478649937029739
SG_10,TRUE,1,0.011094446480786169
aerobicity,,13,0.010567982395536468
unknown_1,,6,0.010464579984294509
unknown_2,,2,0.010197078187829112
MMS_response,,39,0.066801892
translation_1,,49,0.061542249
neutral_pH_response,,16,0.03944863
unknown_3,,19,0.032826649
phage_response_2,,11,0.031867681
translation_2,,20,0.017055272
unknown_4,,34,0.009940165
unknown_5,,3,0.009127558
unknown_6,,76,0.009079297
cobalamin_import,,27,0.00857843
carbo_transport_1,,14,0.008248676
unknown_7,,2,0.00786545
energy_production_2,,13,0.007539576
carbo_transport_2,,5,0.00749281
defense_1,,6,0.007418975
SG_3,TRUE,1,0.007234266
unknown_8,,11,0.006063468
nucleotide_transport,,5,0.006002062
noise_1,,37,0.005821303
noise_2,,90,0.005470747
SG_9,TRUE,1,0.005135519
SG_16,TRUE,1,0.004970387
stationary_response,,10,0.004888992
SG_19,,1,0.00467525
13,,9,0.004190951
23,,23,0.003846279
44,,17,0.003816575
8,,2,0.003721177
42,,4,0.003703867
SG_6,TRUE,1,0.003633173
2,,7,0.00358867
SG_2,TRUE,1,0.003254266
55,,60,0.002710439
SG_13,TRUE,1,0.002637084
47,,2,0.002599581
SG_17,TRUE,1,0.001995156
SG_11,TRUE,1,0.001962348
SG_4,TRUE,1,0.00156997
SG_8,TRUE,1,0.001560237
SG_5,TRUE,1,0.001511075
43,,4,0.001433361
SG_15,TRUE,1,0.001389052
SG_18,TRUE,1,0.001105741
SG_7,TRUE,1,0.00095701
SG_14,TRUE,1,0.000814245
25,,3,0.000705477
SG_12,TRUE,1,0.000597884
SG_1,TRUE,1,0.000426164
