,category,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,percent_anaero_essential,percent_aero_essential,explained_variance
nitrogen_fixation,metabolism,,,,,,,,,12,,,0.0,0.0,0.01862965187694865
SG_1,single gene,,,,,,,,,1,,True,0.0,0.0,0.00116595752789872
siderophore_receptor,transport,,,,,,,,,9,,,0.0,0.222222222,0.015617125332238913
motility,structural,,,,,,,,,19,,,0.0,0.0,0.013538642806814938
SG_2,single gene,,,,,,,,,1,,True,0.0,0.0,0.0057235022558936866
SG_3,single gene,,,,,,,,,1,,True,0.0,0.0,0.0028289075322939228
phage_shock,stress response,,,,,,,,,4,,,0.0,0.0,0.011237448115753113
DNA_repair_maybe,poorly characterized,,,,,,,,,19,,,0.0,0.0,0.01384860790702458
tetR_family_KO_2,experiment specific,,,,,,,,,4,,,0.0,0.0,0.003233192333994106
ethanol_fermentation,metabolism,,,,,,,,,20,,,0.0,0.05,0.032759038368166626
heat_response,stress response,,,,,,,,,48,,,0.041666667,0.0625,0.0823494546757586
zur_KO,experiment specific,,,,,,,,,4,,,0.0,0.0,0.005059201338637576
SG_4,single gene,,,,,,,,,1,,True,1.0,1.0,0.0024095975730101804
unknown_1,uncharacterized,,,,,,,,,2,,,0.0,0.0,0.010567345517880855
noise_1,noise,,,,,,,,,15,,,0.133333333,0.2,0.0123602747147038
motility_plasmid,structural,,,,,,,,,22,,,0.045454545,0.045454545,0.019382204572724215
unknown_2,uncharacterized,,,,,,,,,5,,,0.2,0.2,0.0012107900085525092
unknown_3,uncharacterized,,,,,,,,,11,,True,0.0,0.0,0.0011782016017783947
toxin_secretion,stress response,,,,,,,,,5,,,0.0,0.0,0.008526597645147849
SG_5,single gene,ZMO0203+ZMO1235,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,0.0,0.0,0.00418286132300294
regulatory_plasmid,regulatory,,,,,,,,,14,,,0.285714286,0.285714286,0.006237979683199835
low_pH_response,stress response,,,,,,,,,9,,,0.0,0.0,0.006627443962985535
membrane_cobalmin,transport,,,,,,,,,40,,True,0.075,0.075,0.007713993266765584
SG_6,single gene,,,,,,,,,1,,True,0.0,0.0,0.0045414158626523315
transport_1,transport,,,,,,,,,21,,,0.19047619,0.19047619,0.011073558004626838
NaAc_response,stress response,,,,,,,,,2,,,0.0,0.0,0.006881938163643131
glycolysis_and_ATP_synthase,metabolism,,,,,,,,,28,,,0.25,0.25,0.02095014788854732
SG_7,single gene,,,,,,,,,1,,True,0.0,0.0,0.0013584831625497173
fructose_transport_maybe,poorly characterized,,,,,,,,,24,,,0.0,0.0,0.023696993233434882
SG_8,single gene,,,,,,,,,1,,True,0.0,0.0,0.0018338637688523063
SG_9,single gene,ZMO0050+ZMO0244,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,0.0,0.0,0.0009500805116300359
SG_10,single gene,,,,,,,,,1,,,0.0,0.0,0.015726422265732065
SG_11,single gene,,,,,,,,,1,,True,1.0,1.0,0.002367989303542095
SG_12,single gene,ZMO0199+ZMO0471,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,0.0,0.0,0.00223934731339559
SG_13,single gene,,,,,,,,,1,,True,0.0,0.0,0.004916125320644005
iron_ABC_transport,transport,,,,,,,,,8,,,0.125,0.375,0.00681120883854025
oxidation_response,stress response,,,,,,,,,19,,,0.052631579,0.315789474,0.014669901946003594
SG_14,single gene,,,,,,,,,1,,True,0.0,0.0,0.0010676920674315138
ribonucleoside_reductase,stress response,,,,,,,,,5,,,0.2,0.4,0.007006611716779743
cell_cycle,regulatory,,,,,,,,,40,,,0.1,0.175,0.006868278291903063
translation_1,translation,,,,,,,,,47,,,0.106382979,0.14893617,0.06987446435599742
translation_2,translation,,,,,,,,,20,,,0.05,0.0,0.018795397090914268
SG_15,single gene,,,,,,,,,1,,True,0.0,0.0,0.005140640479338043
sulfur_metabolism,metabolism,,,,,,,,,7,,,0.285714286,0.285714286,0.0020452504074015554
transport_2,transport,,,,,,,,,4,,,0.25,0.25,0.006925377050895021
unknown_4,uncharacterized,ZMO1412,4.58e-09,6.87e-08,0.8,0.049180328,0.092664093,12.0,244.0,15,1.0,,0.066666667,0.066666667,0.00212269957518485
alternative_carbon_maybe,poorly characterized,,,,,,,,,7,,,0.0,0.0,0.006515740410071302
SG_16,single gene,ZMO0100+ZMO0478,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,True,0.0,0.0,0.0006836621193858639
tetR_family_KO_1,experiment specific,,,,,,,,,10,,,0.1,0.0,0.004366813311232454
SG_17,single gene,,,,,,,,,1,,True,0.0,0.0,0.002555103263654601
SG_18,single gene,,,,,,,,,1,,True,1.0,1.0,0.0007533861658112206
noise_3,noise,,,,,,,,,45,,,0.066666667,0.111111111,0.002030139656005736
sulfate_transport_maybe,poorly characterized,,,,,,,,,19,,,0.052631579,0.052631579,0.004314773068915145
unknown_5,uncharacterized,,,,,,,,,9,,,0.0,0.0,0.014025199801227517
noise_4,noise,,,,,,,,,35,,,0.171428571,0.142857143,0.008423555283103235
ETC_and_MEP,metabolism,,,,,,,,,20,,,0.4,0.15,0.008161213637311815
unknown_6,uncharacterized,,,,,,,,,5,,,0.6,0.6,0.008413297950175092
unknown_7,uncharacterized,,,,,,,,,34,,True,0.0,0.029411765,0.0006641109349648788
plasmid_unknown_1,uncharacterized,,,,,,,,,57,,,0.070175439,0.035087719,0.011822231061339727
SG_19,single gene,,,,,,,,,1,,True,0.0,0.0,0.0028730434020363127
SG_20,single gene,,,,,,,,,1,,True,0.0,0.0,0.001292804090860633
unknown_8,uncharacterized,,,,,,,,,26,,,0.076923077,0.115384615,0.006470498903627608
noise_5,noise,,,,,,,,,156,,True,0.141025641,0.134615385,0.027218205587216993
