,0
ZMO0023,"['ZMO1_ZMO0011', 'ZMO1_ZMO0023', 'ZMO1_ZMO0028', 'ZMO1_ZMO0031', 'ZMO1_ZMO0043', 'ZMO1_ZMO0088', 'ZMO1_ZMO0091', 'ZMO1_ZMO0109', 'ZMO1_ZMO0116', 'ZMO1_ZMO0252', 'ZMO1_ZMO0286', 'ZMO1_ZMO0290', 'ZMO1_ZMO0301', 'ZMO1_ZMO0305', 'ZMO1_ZMO0335', 'ZMO1_ZMO0372', 'ZMO1_ZMO0571', 'ZMO1_ZMO0597', 'ZMO1_ZMO0627', 'ZMO1_ZMO0681', 'ZMO1_ZMO0686', 'ZMO1_ZMO0747', 'ZMO1_ZMO0756', 'ZMO1_ZMO0777', 'ZMO1_ZMO0909', 'ZMO1_ZMO0916', 'ZMO1_ZMO0956', 'ZMO1_ZMO0999', 'ZMO1_ZMO1040', 'ZMO1_ZMO1068', 'ZMO1_ZMO1235', 'ZMO1_ZMO1287', 'ZMO1_ZMO1298', 'ZMO1_ZMO1415', 'ZMO1_ZMO1439', 'ZMO1_ZMO1440', 'ZMO1_ZMO1451', 'ZMO1_ZMO1461', 'ZMO1_ZMO1464', 'ZMO1_ZMO1477', 'ZMO1_ZMO1491', 'ZMO1_ZMO1520', 'ZMO1_ZMO1529', 'ZMO1_ZMO1530', 'ZMO1_ZMO1636', 'ZMO1_ZMO1701', 'ZMO1_ZMO1780', 'ZMO1_ZMO1807', 'ZMO1_ZMO1822', 'ZMO1_ZMO1873', 'ZMO1_ZMO1876', 'ZMO1_ZMO1949', 'ZMO1_ZMO1974', 'ZMO1_ZMO1975', 'ZMO1_ZMO1986', 'ZMO1_ZMO2005', 'ZMO1_ZMO2011', 'ZMO1_ZMO2012', 'ZMO1_ZMO2017', 'ZMO1_ZMO2043', 'ZMO1_ZMO2073']"
ZMO0050,"['ZMO1_ZMO0050', 'ZMO1_ZMO0601', 'ZMO1_ZMO2071']"
ZMO0054,"['ZMO1_ZMO0222', 'ZMO1_ZMO1681']"
ZMO0100,"['ZMO1_ZMO0100', 'ZMO1_ZMO0131', 'ZMO1_ZMO0135', 'ZMO1_ZMO0234', 'ZMO1_ZMO0296', 'ZMO1_ZMO0381', 'ZMO1_ZMO0479', 'ZMO1_ZMO0559', 'ZMO1_ZMO0716', 'ZMO1_ZMO0733', 'ZMO1_ZMO1015', 'ZMO1_ZMO1021', 'ZMO1_ZMO1121', 'ZMO1_ZMO1483', 'ZMO1_ZMO1599', 'ZMO1_ZMO1739', 'ZMO1_ZMO1933', 'ZMO1_ZMO1934', 'ZMO1_ZMO1946', 'ZMO1_ZMO2018', 'ZMO1_ZMOp39x016']"
ZMO0190,['ZMO1_ZMO0401']
ZMO0199,"['ZMO1_ZMO0022', 'ZMO1_ZMO0055', 'ZMO1_ZMO0069', 'ZMO1_ZMO0072', 'ZMO1_ZMO0100', 'ZMO1_ZMO0110', 'ZMO1_ZMO0111', 'ZMO1_ZMO0122', 'ZMO1_ZMO0125', 'ZMO1_ZMO0127', 'ZMO1_ZMO0135', 'ZMO1_ZMO0136', 'ZMO1_ZMO0137', 'ZMO1_ZMO0142', 'ZMO1_ZMO0184', 'ZMO1_ZMO0191', 'ZMO1_ZMO0221', 'ZMO1_ZMO0232', 'ZMO1_ZMO0234', 'ZMO1_ZMO0236', 'ZMO1_ZMO0264', 'ZMO1_ZMO0281', 'ZMO1_ZMO0286', 'ZMO1_ZMO0290', 'ZMO1_ZMO0306', 'ZMO1_ZMO0318', 'ZMO1_ZMO0372', 'ZMO1_ZMO0388', 'ZMO1_ZMO0412', 'ZMO1_ZMO0414', 'ZMO1_ZMO0452', 'ZMO1_ZMO0477', 'ZMO1_ZMO0479', 'ZMO1_ZMO0488', 'ZMO1_ZMO0489', 'ZMO1_ZMO0494', 'ZMO1_ZMO0497', 'ZMO1_ZMO0548', 'ZMO1_ZMO0588', 'ZMO1_ZMO0606', 'ZMO1_ZMO0684', 'ZMO1_ZMO0694', 'ZMO1_ZMO0710', 'ZMO1_ZMO0747', 'ZMO1_ZMO0751', 'ZMO1_ZMO0767', 'ZMO1_ZMO0789', 'ZMO1_ZMO0840', 'ZMO1_ZMO0844', 'ZMO1_ZMO0886', 'ZMO1_ZMO0899', 'ZMO1_ZMO0902', 'ZMO1_ZMO0931', 'ZMO1_ZMO0952', 'ZMO1_ZMO0970', 'ZMO1_ZMO0972', 'ZMO1_ZMO0979', 'ZMO1_ZMO0994', 'ZMO1_ZMO1013', 'ZMO1_ZMO1016', 'ZMO1_ZMO1094', 'ZMO1_ZMO1124', 'ZMO1_ZMO1134', 'ZMO1_ZMO1135', 'ZMO1_ZMO1147', 'ZMO1_ZMO1148', 'ZMO1_ZMO1180', 'ZMO1_ZMO1205', 'ZMO1_ZMO1232', 'ZMO1_ZMO1319', 'ZMO1_ZMO1370', 'ZMO1_ZMO1372', 'ZMO1_ZMO1382', 'ZMO1_ZMO1391', 'ZMO1_ZMO1396', 'ZMO1_ZMO1430', 'ZMO1_ZMO1437', 'ZMO1_ZMO1447', 'ZMO1_ZMO1455', 'ZMO1_ZMO1456', 'ZMO1_ZMO1497', 'ZMO1_ZMO1506', 'ZMO1_ZMO1511', 'ZMO1_ZMO1521', 'ZMO1_ZMO1533', 'ZMO1_ZMO1536', 'ZMO1_ZMO1604', 'ZMO1_ZMO1607', 'ZMO1_ZMO1631', 'ZMO1_ZMO1650', 'ZMO1_ZMO1675', 'ZMO1_ZMO1694', 'ZMO1_ZMO1697', 'ZMO1_ZMO1711', 'ZMO1_ZMO1748', 'ZMO1_ZMO1750', 'ZMO1_ZMO1751', 'ZMO1_ZMO1752', 'ZMO1_ZMO1778', 'ZMO1_ZMO1787', 'ZMO1_ZMO1807', 'ZMO1_ZMO1822', 'ZMO1_ZMO1838', 'ZMO1_ZMO1867', 'ZMO1_ZMO1886', 'ZMO1_ZMO1892', 'ZMO1_ZMO1901', 'ZMO1_ZMO1920', 'ZMO1_ZMO1923', 'ZMO1_ZMO1924', 'ZMO1_ZMO1934', 'ZMO1_ZMO1966', 'ZMO1_ZMO1969', 'ZMO1_ZMO1973', 'ZMO1_ZMO1983', 'ZMO1_ZMO2000', 'ZMO1_ZMO2004', 'ZMO1_ZMO2007', 'ZMO1_ZMO2014', 'ZMO1_ZMO2060', 'ZMO1_ZMO2065', 'ZMO1_ZMO2066', 'ZMO1_ZMO2074', 'ZMO1_ZMOp32x002', 'ZMO1_ZMOp32x012', 'ZMO1_ZMOp32x019', 'ZMO1_ZMOp32x023', 'ZMO1_ZMOp33x008', 'ZMO1_ZMOp33x018', 'ZMO1_ZMOp33x019', 'ZMO1_ZMOp33x020', 'ZMO1_ZMOp33x023', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x016', 'ZMO1_ZMOp36x031', 'ZMO1_ZMOp36x039', 'ZMO1_ZMOp36x041', 'ZMO1_ZMOp36x044', 'ZMO1_ZMOp36x052', 'ZMO1_ZMOp39x007', 'ZMO1_ZMOp39x022', 'ZMO1_ZMOp39x025', 'ZMO1_ZMOp39x031']"
ZMO0203,"['ZMO1_ZMO0069', 'ZMO1_ZMO0086', 'ZMO1_ZMO0142', 'ZMO1_ZMO0145', 'ZMO1_ZMO0276', 'ZMO1_ZMO0279', 'ZMO1_ZMO0293', 'ZMO1_ZMO0388', 'ZMO1_ZMO0389', 'ZMO1_ZMO0440', 'ZMO1_ZMO0794', 'ZMO1_ZMO0796', 'ZMO1_ZMO0896', 'ZMO1_ZMO1412', 'ZMO1_ZMO1428', 'ZMO1_ZMO1641', 'ZMO1_ZMO1807', 'ZMO1_ZMO1861', 'ZMO1_ZMO1920', 'ZMO1_ZMO1934', 'ZMO1_ZMO1940', 'ZMO1_ZMO1944', 'ZMO1_ZMO1946', 'ZMO1_ZMO1966', 'ZMO1_ZMO2015', 'ZMO1_ZMO2032', 'ZMO1_ZMO2034', 'ZMO1_ZMOp36x051', 'ZMO1_ZMOp39x018']"
ZMO0244,"['ZMO1_ZMO0315', 'ZMO1_ZMO2071']"
ZMO0281,['ZMO1_ZMO0282']
ZMO0349,['ZMO1_ZMO0315']
