,0
GltC_Bacillus_subtilis,['ZCP4_1126']
sigma45_Escherichia_coli,['ZCP4_0663']
RosR_Rhizobium_leguminosarum,"['ZCP4_0304', 'ZCP4_0305', 'ZCP4_0306']"
MogR_Listeria_monocytogenes,"['ZCP4_0007', 'ZCP4_0009', 'ZCP4_0012', 'ZCP4_0014', 'ZCP4_0016', 'ZCP4_0033', 'ZCP4_0049', 'ZCP4_0050', 'ZCP4_0055', 'ZCP4_0065', 'ZCP4_0066', 'ZCP4_0074', 'ZCP4_0077', 'ZCP4_0078', 'ZCP4_0079', 'ZCP4_0093', 'ZCP4_0094', 'ZCP4_0098', 'ZCP4_0099', 'ZCP4_0100', 'ZCP4_0101', 'ZCP4_0103', 'ZCP4_0114', 'ZCP4_0115', 'ZCP4_0116', 'ZCP4_0117', 'ZCP4_0129', 'ZCP4_0130', 'ZCP4_0133', 'ZCP4_0134', 'ZCP4_0135', 'ZCP4_0136', 'ZCP4_0142', 'ZCP4_0145', 'ZCP4_0148', 'ZCP4_0150', 'ZCP4_0152', 'ZCP4_0154', 'ZCP4_0158', 'ZCP4_0181', 'ZCP4_0192', 'ZCP4_0194', 'ZCP4_0196', 'ZCP4_0202', 'ZCP4_0204', 'ZCP4_0217', 'ZCP4_0219', 'ZCP4_0220', 'ZCP4_0221', 'ZCP4_0222', 'ZCP4_0240', 'ZCP4_0244', 'ZCP4_0245', 'ZCP4_0246', 'ZCP4_0263', 'ZCP4_0264', 'ZCP4_0265', 'ZCP4_0267', 'ZCP4_0268', 'ZCP4_0269', 'ZCP4_0270', 'ZCP4_0276', 'ZCP4_0277', 'ZCP4_0278', 'ZCP4_0279', 'ZCP4_0280', 'ZCP4_0283', 'ZCP4_0284', 'ZCP4_0290', 'ZCP4_0294', 'ZCP4_0296', 'ZCP4_0298', 'ZCP4_0300', 'ZCP4_0325', 'ZCP4_0328', 'ZCP4_0336', 'ZCP4_0339', 'ZCP4_0347', 'ZCP4_0348', 'ZCP4_0358', 'ZCP4_0359', 'ZCP4_0362', 'ZCP4_0363', 'ZCP4_0372', 'ZCP4_0375', 'ZCP4_0379', 'ZCP4_0380', 'ZCP4_0381', 'ZCP4_0382', 'ZCP4_0388', 'ZCP4_0389', 'ZCP4_0397', 'ZCP4_0398', 'ZCP4_0407', 'ZCP4_0410', 'ZCP4_0411', 'ZCP4_0413', 'ZCP4_0417', 'ZCP4_0419', 'ZCP4_0420', 'ZCP4_0421', 'ZCP4_0424', 'ZCP4_0426', 'ZCP4_0433', 'ZCP4_0435', 'ZCP4_0436', 'ZCP4_0438', 'ZCP4_0444', 'ZCP4_0453', 'ZCP4_0454', 'ZCP4_0461', 'ZCP4_0462', 'ZCP4_0463', 'ZCP4_0464', 'ZCP4_0484', 'ZCP4_0485', 'ZCP4_0503', 'ZCP4_0508', 'ZCP4_0509', 'ZCP4_0513', 'ZCP4_0514', 'ZCP4_0515', 'ZCP4_0528', 'ZCP4_0530', 'ZCP4_0540', 'ZCP4_0541', 'ZCP4_0552', 'ZCP4_0557', 'ZCP4_0558', 'ZCP4_0559', 'ZCP4_0564', 'ZCP4_0575', 'ZCP4_0584', 'ZCP4_0585', 'ZCP4_0586', 'ZCP4_0587', 'ZCP4_0588', 'ZCP4_0589', 'ZCP4_0592', 'ZCP4_0600', 'ZCP4_0604', 'ZCP4_0605', 'ZCP4_0606', 'ZCP4_0607', 'ZCP4_0610', 'ZCP4_0611', 'ZCP4_0613', 'ZCP4_0614', 'ZCP4_0615', 'ZCP4_0632', 'ZCP4_0633', 'ZCP4_0634', 'ZCP4_0637', 'ZCP4_0638', 'ZCP4_0657', 'ZCP4_0658', 'ZCP4_0663', 'ZCP4_0666', 'ZCP4_0678', 'ZCP4_0690', 'ZCP4_0691', 'ZCP4_0701', 'ZCP4_0702', 'ZCP4_0704', 'ZCP4_0705', 'ZCP4_0710', 'ZCP4_0713', 'ZCP4_0719', 'ZCP4_0720', 'ZCP4_0721', 'ZCP4_0727', 'ZCP4_0728', 'ZCP4_0730', 'ZCP4_0732', 'ZCP4_0737', 'ZCP4_0741', 'ZCP4_0742', 'ZCP4_0779', 'ZCP4_0780', 'ZCP4_0782', 'ZCP4_0789', 'ZCP4_0790', 'ZCP4_0793', 'ZCP4_0795', 'ZCP4_0798', 'ZCP4_0800', 'ZCP4_0802', 'ZCP4_0819', 'ZCP4_0822', 'ZCP4_0824', 'ZCP4_0827', 'ZCP4_0829', 'ZCP4_0835', 'ZCP4_0844', 'ZCP4_0845', 'ZCP4_0846', 'ZCP4_0852', 'ZCP4_0853', 'ZCP4_0854', 'ZCP4_0862', 'ZCP4_0864', 'ZCP4_0877', 'ZCP4_0878', 'ZCP4_0880', 'ZCP4_0881', 'ZCP4_0884', 'ZCP4_0885', 'ZCP4_0898', 'ZCP4_0899', 'ZCP4_0900', 'ZCP4_0901', 'ZCP4_0902', 'ZCP4_0906', 'ZCP4_0909', 'ZCP4_0910', 'ZCP4_0915', 'ZCP4_0922', 'ZCP4_0923', 'ZCP4_0924', 'ZCP4_0925', 'ZCP4_0928', 'ZCP4_0930', 'ZCP4_0935', 'ZCP4_0936', 'ZCP4_0946', 'ZCP4_0947', 'ZCP4_0948', 'ZCP4_0956', 'ZCP4_0958', 'ZCP4_0962', 'ZCP4_0964', 'ZCP4_0965', 'ZCP4_0966', 'ZCP4_0968', 'ZCP4_0969', 'ZCP4_0972', 'ZCP4_0973', 'ZCP4_0978', 'ZCP4_0981', 'ZCP4_0995', 'ZCP4_0999', 'ZCP4_1001', 'ZCP4_1013', 'ZCP4_1016', 'ZCP4_1017', 'ZCP4_1034', 'ZCP4_1035', 'ZCP4_1036', 'ZCP4_1041', 'ZCP4_1042', 'ZCP4_1043', 'ZCP4_1044', 'ZCP4_1045', 'ZCP4_1048', 'ZCP4_1049', 'ZCP4_1050', 'ZCP4_1052', 'ZCP4_1053', 'ZCP4_1056', 'ZCP4_1058', 'ZCP4_1061', 'ZCP4_1062', 'ZCP4_1063', 'ZCP4_1066', 'ZCP4_1075', 'ZCP4_1081', 'ZCP4_1082', 'ZCP4_1100', 'ZCP4_1101', 'ZCP4_1102', 'ZCP4_1106', 'ZCP4_1110', 'ZCP4_1121', 'ZCP4_1130', 'ZCP4_1131', 'ZCP4_1132', 'ZCP4_1135', 'ZCP4_1140', 'ZCP4_1147', 'ZCP4_1148', 'ZCP4_1149', 'ZCP4_1150', 'ZCP4_1160', 'ZCP4_1161', 'ZCP4_1176', 'ZCP4_1178', 'ZCP4_1179', 'ZCP4_1185', 'ZCP4_1187', 'ZCP4_1190', 'ZCP4_1192', 'ZCP4_1216', 'ZCP4_1217', 'ZCP4_1224', 'ZCP4_1226', 'ZCP4_1230', 'ZCP4_1235', 'ZCP4_1237', 'ZCP4_1238', 'ZCP4_1239', 'ZCP4_1240', 'ZCP4_1244', 'ZCP4_1246', 'ZCP4_1248', 'ZCP4_1250', 'ZCP4_1253', 'ZCP4_1254', 'ZCP4_1255', 'ZCP4_1260', 'ZCP4_1261', 'ZCP4_1262', 'ZCP4_1264', 'ZCP4_1267', 'ZCP4_1268', 'ZCP4_1278', 'ZCP4_1280', 'ZCP4_1286', 'ZCP4_1287', 'ZCP4_1295', 'ZCP4_1296', 'ZCP4_1300', 'ZCP4_1306', 'ZCP4_1307', 'ZCP4_1308', 'ZCP4_1309', 'ZCP4_1323', 'ZCP4_1324', 'ZCP4_1325', 'ZCP4_1328', 'ZCP4_1331', 'ZCP4_1332', 'ZCP4_1336', 'ZCP4_1337', 'ZCP4_1340', 'ZCP4_1355', 'ZCP4_1356', 'ZCP4_1362', 'ZCP4_1363', 'ZCP4_1379', 'ZCP4_1387', 'ZCP4_1388', 'ZCP4_1389', 'ZCP4_1412', 'ZCP4_1413', 'ZCP4_1414', 'ZCP4_1415', 'ZCP4_1416', 'ZCP4_1417', 'ZCP4_1418', 'ZCP4_1419', 'ZCP4_1421', 'ZCP4_1431', 'ZCP4_1433', 'ZCP4_1434', 'ZCP4_1436', 'ZCP4_1437', 'ZCP4_1438', 'ZCP4_1441', 'ZCP4_1444', 'ZCP4_1445', 'ZCP4_1446', 'ZCP4_1447', 'ZCP4_1448', 'ZCP4_1459', 'ZCP4_1460', 'ZCP4_1462', 'ZCP4_1463', 'ZCP4_1472', 'ZCP4_1478', 'ZCP4_1486', 'ZCP4_1493', 'ZCP4_1499', 'ZCP4_1501', 'ZCP4_1511', 'ZCP4_1512', 'ZCP4_1517', 'ZCP4_1520', 'ZCP4_1534', 'ZCP4_1535', 'ZCP4_1536', 'ZCP4_1537', 'ZCP4_1542', 'ZCP4_1556', 'ZCP4_1561', 'ZCP4_1562', 'ZCP4_1567', 'ZCP4_1569', 'ZCP4_1570', 'ZCP4_1571', 'ZCP4_1574', 'ZCP4_1589', 'ZCP4_1590', 'ZCP4_1600', 'ZCP4_1615', 'ZCP4_1618', 'ZCP4_1626', 'ZCP4_1627', 'ZCP4_1628', 'ZCP4_1629', 'ZCP4_1642', 'ZCP4_1644', 'ZCP4_1661', 'ZCP4_1663', 'ZCP4_1669', 'ZCP4_1670', 'ZCP4_1671', 'ZCP4_1675', 'ZCP4_1677', 'ZCP4_1682', 'ZCP4_1683', 'ZCP4_1691', 'ZCP4_1692', 'ZCP4_1693', 'ZCP4_1694', 'ZCP4_1696', 'ZCP4_1697', 'ZCP4_1700', 'ZCP4_1704', 'ZCP4_1706', 'ZCP4_1707', 'ZCP4_1708', 'ZCP4_1726', 'ZCP4_1728', 'ZCP4_1751', 'ZCP4_1755', 'ZCP4_1757', 'ZCP4_1760', 'ZCP4_1762', 'ZCP4_1763', 'ZCP4_1764', 'ZCP4_1765', 'ZCP4_1771', 'ZCP4_1772', 'ZCP4_1773', 'ZCP4_1774', 'ZCP4_1775', 'ZCP4_1776', 'ZCP4_1777', 'ZCP4_1778', 'ZCP4_1779', 'ZCP4_1780', 'ZCP4_1781', 'ZCP4_1782', 'ZCP4_1783', 'ZCP4_1784', 'ZCP4_1785', 'ZCP4_1788', 'ZCP4_1789', 'ZCP4_1790', 'ZCP4_1791', 'ZCP4_1792', 'ZCP4_1793', 'ZCP4_1799', 'ZCP4_1800', 'ZCP4_1822', 'ZCP4_1823', 'ZCP4_1824', 'ZCP4_1825', 'ZCP4_1827', 'ZCP4_1830', 'ZCP4_1831', 'ZCP4_1833', 'ZCP4_1853', 'ZCP4_1854', 'ZCP4_1858', 'ZCP4_1859', 'ZCP4_1860', 'ZCP4_1861', 'ZCP4_1863', 'ZCP4_1883', 'ZCP4_1884', 'ZCP4_1885', 'ZCP4_1888', 'ZCP4_1891', 'ZCP4_1892', 'ZCP4_1894', 'ZCP4_1895', 'ZCP4_1896', 'ZCP4_1897', 'ZCP4_1898', 'ZCP4_1912', 'ZCP4_1913', 'ZCP4_1915', 'ZCP4_1916', 'ZCP4_1918', 'ZCP4_1923', 'ZCP4_1928', 'ZCP4_1929', 'ZCP4_1930', 'ZCP4_1931', 'ZCP4_1936', 'ZCP4_1937']"
Bm3R1_Bacillus_megaterium,['ZCP4_1600']
NodD_Rhizobium_leguminosarum,"['ZCP4_0173', 'ZCP4_0174', 'ZCP4_0176']"
PhoP_Salmonella_enterica,"['ZCP4_0650', 'ZCP4_0651']"
AbrB_Bacillus_subtilis,['ZCP4_1512']
CosR_Campylobacter_jejuni,"['ZCP4_0015', 'ZCP4_0020', 'ZCP4_0033', 'ZCP4_0049', 'ZCP4_0050', 'ZCP4_0052', 'ZCP4_0053', 'ZCP4_0054', 'ZCP4_0069', 'ZCP4_0070', 'ZCP4_0071', 'ZCP4_0074', 'ZCP4_0078', 'ZCP4_0079', 'ZCP4_0089', 'ZCP4_0090', 'ZCP4_0091', 'ZCP4_0098', 'ZCP4_0099', 'ZCP4_0100', 'ZCP4_0101', 'ZCP4_0103', 'ZCP4_0125', 'ZCP4_0129', 'ZCP4_0130', 'ZCP4_0133', 'ZCP4_0134', 'ZCP4_0141', 'ZCP4_0142', 'ZCP4_0145', 'ZCP4_0148', 'ZCP4_0150', 'ZCP4_0152', 'ZCP4_0153', 'ZCP4_0154', 'ZCP4_0156', 'ZCP4_0157', 'ZCP4_0163', 'ZCP4_0165', 'ZCP4_0183', 'ZCP4_0192', 'ZCP4_0193', 'ZCP4_0194', 'ZCP4_0195', 'ZCP4_0206', 'ZCP4_0219', 'ZCP4_0220', 'ZCP4_0248', 'ZCP4_0249', 'ZCP4_0250', 'ZCP4_0263', 'ZCP4_0264', 'ZCP4_0265', 'ZCP4_0270', 'ZCP4_0274', 'ZCP4_0276', 'ZCP4_0277', 'ZCP4_0283', 'ZCP4_0284', 'ZCP4_0286', 'ZCP4_0296', 'ZCP4_0298', 'ZCP4_0311', 'ZCP4_0313', 'ZCP4_0317', 'ZCP4_0319', 'ZCP4_0320', 'ZCP4_0325', 'ZCP4_0326', 'ZCP4_0347', 'ZCP4_0379', 'ZCP4_0380', 'ZCP4_0381', 'ZCP4_0382', 'ZCP4_0395', 'ZCP4_0397', 'ZCP4_0398', 'ZCP4_0404', 'ZCP4_0406', 'ZCP4_0407', 'ZCP4_0410', 'ZCP4_0411', 'ZCP4_0413', 'ZCP4_0417', 'ZCP4_0420', 'ZCP4_0421', 'ZCP4_0424', 'ZCP4_0425', 'ZCP4_0426', 'ZCP4_0433', 'ZCP4_0441', 'ZCP4_0442', 'ZCP4_0444', 'ZCP4_0445', 'ZCP4_0453', 'ZCP4_0454', 'ZCP4_0455', 'ZCP4_0461', 'ZCP4_0462', 'ZCP4_0463', 'ZCP4_0464', 'ZCP4_0471', 'ZCP4_0485', 'ZCP4_0490', 'ZCP4_0498', 'ZCP4_0507', 'ZCP4_0508', 'ZCP4_0509', 'ZCP4_0513', 'ZCP4_0514', 'ZCP4_0515', 'ZCP4_0517', 'ZCP4_0518', 'ZCP4_0520', 'ZCP4_0526', 'ZCP4_0527', 'ZCP4_0528', 'ZCP4_0530', 'ZCP4_0552', 'ZCP4_0555', 'ZCP4_0557', 'ZCP4_0558', 'ZCP4_0559', 'ZCP4_0595', 'ZCP4_0596', 'ZCP4_0598', 'ZCP4_0604', 'ZCP4_0605', 'ZCP4_0606', 'ZCP4_0607', 'ZCP4_0613', 'ZCP4_0614', 'ZCP4_0615', 'ZCP4_0637', 'ZCP4_0638', 'ZCP4_0639', 'ZCP4_0640', 'ZCP4_0645', 'ZCP4_0655', 'ZCP4_0656', 'ZCP4_0657', 'ZCP4_0658', 'ZCP4_0659', 'ZCP4_0660', 'ZCP4_0663', 'ZCP4_0665', 'ZCP4_0678', 'ZCP4_0701', 'ZCP4_0702', 'ZCP4_0714', 'ZCP4_0718', 'ZCP4_0737', 'ZCP4_0774', 'ZCP4_0791', 'ZCP4_0798', 'ZCP4_0800', 'ZCP4_0802', 'ZCP4_0804', 'ZCP4_0805', 'ZCP4_0806', 'ZCP4_0807', 'ZCP4_0808', 'ZCP4_0809', 'ZCP4_0815', 'ZCP4_0816', 'ZCP4_0822', 'ZCP4_0824', 'ZCP4_0844', 'ZCP4_0852', 'ZCP4_0853', 'ZCP4_0854', 'ZCP4_0858', 'ZCP4_0859', 'ZCP4_0860', 'ZCP4_0862', 'ZCP4_0869', 'ZCP4_0871', 'ZCP4_0873', 'ZCP4_0876', 'ZCP4_0877', 'ZCP4_0878', 'ZCP4_0889', 'ZCP4_0890', 'ZCP4_0892', 'ZCP4_0893', 'ZCP4_0894', 'ZCP4_0895', 'ZCP4_0898', 'ZCP4_0899', 'ZCP4_0900', 'ZCP4_0902', 'ZCP4_0906', 'ZCP4_0910', 'ZCP4_0925', 'ZCP4_0943', 'ZCP4_0945', 'ZCP4_0946', 'ZCP4_0947', 'ZCP4_0948', 'ZCP4_0965', 'ZCP4_0968', 'ZCP4_0969', 'ZCP4_0974', 'ZCP4_0975', 'ZCP4_0976', 'ZCP4_0984', 'ZCP4_0986', 'ZCP4_0987', 'ZCP4_0993', 'ZCP4_0994', 'ZCP4_0999', 'ZCP4_1000', 'ZCP4_1001', 'ZCP4_1002', 'ZCP4_1016', 'ZCP4_1025', 'ZCP4_1026', 'ZCP4_1027', 'ZCP4_1034', 'ZCP4_1043', 'ZCP4_1044', 'ZCP4_1045', 'ZCP4_1048', 'ZCP4_1050', 'ZCP4_1051', 'ZCP4_1053', 'ZCP4_1054', 'ZCP4_1056', 'ZCP4_1058', 'ZCP4_1064', 'ZCP4_1065', 'ZCP4_1066', 'ZCP4_1088', 'ZCP4_1089', 'ZCP4_1090', 'ZCP4_1093', 'ZCP4_1100', 'ZCP4_1106', 'ZCP4_1110', 'ZCP4_1121', 'ZCP4_1126', 'ZCP4_1128', 'ZCP4_1129', 'ZCP4_1131', 'ZCP4_1132', 'ZCP4_1140', 'ZCP4_1147', 'ZCP4_1160', 'ZCP4_1161', 'ZCP4_1162', 'ZCP4_1163', 'ZCP4_1170', 'ZCP4_1176', 'ZCP4_1178', 'ZCP4_1179', 'ZCP4_1185', 'ZCP4_1187', 'ZCP4_1189', 'ZCP4_1206', 'ZCP4_1216', 'ZCP4_1217', 'ZCP4_1224', 'ZCP4_1226', 'ZCP4_1227', 'ZCP4_1228', 'ZCP4_1233', 'ZCP4_1240', 'ZCP4_1246', 'ZCP4_1247', 'ZCP4_1248', 'ZCP4_1250', 'ZCP4_1252', 'ZCP4_1253', 'ZCP4_1254', 'ZCP4_1255', 'ZCP4_1268', 'ZCP4_1270', 'ZCP4_1271', 'ZCP4_1273', 'ZCP4_1281', 'ZCP4_1289', 'ZCP4_1290', 'ZCP4_1291', 'ZCP4_1297', 'ZCP4_1300', 'ZCP4_1306', 'ZCP4_1307', 'ZCP4_1308', 'ZCP4_1309', 'ZCP4_1329', 'ZCP4_1330', 'ZCP4_1331', 'ZCP4_1332', 'ZCP4_1337', 'ZCP4_1339', 'ZCP4_1340', 'ZCP4_1343', 'ZCP4_1355', 'ZCP4_1356', 'ZCP4_1362', 'ZCP4_1363', 'ZCP4_1379', 'ZCP4_1386', 'ZCP4_1387', 'ZCP4_1394', 'ZCP4_1395', 'ZCP4_1397', 'ZCP4_1400', 'ZCP4_1412', 'ZCP4_1413', 'ZCP4_1415', 'ZCP4_1416', 'ZCP4_1417', 'ZCP4_1418', 'ZCP4_1419', 'ZCP4_1420', 'ZCP4_1424', 'ZCP4_1430', 'ZCP4_1435', 'ZCP4_1444', 'ZCP4_1450', 'ZCP4_1462', 'ZCP4_1463', 'ZCP4_1478', 'ZCP4_1481', 'ZCP4_1482', 'ZCP4_1483', 'ZCP4_1495', 'ZCP4_1496', 'ZCP4_1504', 'ZCP4_1505', 'ZCP4_1507', 'ZCP4_1511', 'ZCP4_1512', 'ZCP4_1513', 'ZCP4_1519', 'ZCP4_1520', 'ZCP4_1521', 'ZCP4_1522', 'ZCP4_1523', 'ZCP4_1524', 'ZCP4_1528', 'ZCP4_1529', 'ZCP4_1534', 'ZCP4_1535', 'ZCP4_1536', 'ZCP4_1537', 'ZCP4_1554', 'ZCP4_1561', 'ZCP4_1562', 'ZCP4_1572', 'ZCP4_1581', 'ZCP4_1582', 'ZCP4_1589', 'ZCP4_1590', 'ZCP4_1600', 'ZCP4_1606', 'ZCP4_1607', 'ZCP4_1614', 'ZCP4_1615', 'ZCP4_1616', 'ZCP4_1626', 'ZCP4_1627', 'ZCP4_1628', 'ZCP4_1629', 'ZCP4_1636', 'ZCP4_1649', 'ZCP4_1650', 'ZCP4_1651', 'ZCP4_1652', 'ZCP4_1656', 'ZCP4_1657', 'ZCP4_1658', 'ZCP4_1663', 'ZCP4_1664', 'ZCP4_1669', 'ZCP4_1670', 'ZCP4_1671', 'ZCP4_1673', 'ZCP4_1675', 'ZCP4_1677', 'ZCP4_1678', 'ZCP4_1679', 'ZCP4_1680', 'ZCP4_1682', 'ZCP4_1683', 'ZCP4_1691', 'ZCP4_1692', 'ZCP4_1700', 'ZCP4_1707', 'ZCP4_1708', 'ZCP4_1720', 'ZCP4_1721', 'ZCP4_1722', 'ZCP4_1732', 'ZCP4_1734', 'ZCP4_1735', 'ZCP4_1743', 'ZCP4_1749', 'ZCP4_1753', 'ZCP4_1758', 'ZCP4_1760', 'ZCP4_1763', 'ZCP4_1764', 'ZCP4_1765', 'ZCP4_1771', 'ZCP4_1772', 'ZCP4_1773', 'ZCP4_1774', 'ZCP4_1775', 'ZCP4_1779', 'ZCP4_1781', 'ZCP4_1782', 'ZCP4_1783', 'ZCP4_1788', 'ZCP4_1789', 'ZCP4_1790', 'ZCP4_1792', 'ZCP4_1796', 'ZCP4_1797', 'ZCP4_1798', 'ZCP4_1799', 'ZCP4_1800', 'ZCP4_1806', 'ZCP4_1823', 'ZCP4_1824', 'ZCP4_1825', 'ZCP4_1826', 'ZCP4_1827', 'ZCP4_1829', 'ZCP4_1830', 'ZCP4_1831', 'ZCP4_1833', 'ZCP4_1834', 'ZCP4_1835', 'ZCP4_1836', 'ZCP4_1837', 'ZCP4_1838', 'ZCP4_1840', 'ZCP4_1853', 'ZCP4_1854', 'ZCP4_1858', 'ZCP4_1860', 'ZCP4_1861', 'ZCP4_1863', 'ZCP4_1864', 'ZCP4_1865', 'ZCP4_1866', 'ZCP4_1867', 'ZCP4_1868', 'ZCP4_1877', 'ZCP4_1887', 'ZCP4_1888', 'ZCP4_1889', 'ZCP4_1894', 'ZCP4_1896', 'ZCP4_1897', 'ZCP4_1898', 'ZCP4_1918', 'ZCP4_1923', 'ZCP4_1924', 'ZCP4_1928', 'ZCP4_1929', 'ZCP4_1930', 'ZCP4_1933', 'ZCP4_1934', 'ZCP4_1936', 'ZCP4_1937', 'ZCP4_1938']"
Fur_Helicobacter_pylori,"['ZCP4_0049', 'ZCP4_0050', 'ZCP4_0078', 'ZCP4_0079', 'ZCP4_0099', 'ZCP4_0100', 'ZCP4_0101', 'ZCP4_0192', 'ZCP4_0194', 'ZCP4_0231', 'ZCP4_0240', 'ZCP4_0323', 'ZCP4_0324', 'ZCP4_0379', 'ZCP4_0380', 'ZCP4_0424', 'ZCP4_0513', 'ZCP4_0514', 'ZCP4_0606', 'ZCP4_0657', 'ZCP4_0658', 'ZCP4_0789', 'ZCP4_0790', 'ZCP4_0852', 'ZCP4_0853', 'ZCP4_0854', 'ZCP4_0873', 'ZCP4_0876', 'ZCP4_0877', 'ZCP4_0878', 'ZCP4_0898', 'ZCP4_0900', 'ZCP4_0910', 'ZCP4_0924', 'ZCP4_0968', 'ZCP4_0969', 'ZCP4_0993', 'ZCP4_0994', 'ZCP4_1056', 'ZCP4_1058', 'ZCP4_1100', 'ZCP4_1162', 'ZCP4_1163', 'ZCP4_1216', 'ZCP4_1217', 'ZCP4_1250', 'ZCP4_1297', 'ZCP4_1306', 'ZCP4_1307', 'ZCP4_1308', 'ZCP4_1309', 'ZCP4_1355', 'ZCP4_1356', 'ZCP4_1362', 'ZCP4_1363', 'ZCP4_1398', 'ZCP4_1534', 'ZCP4_1535', 'ZCP4_1536', 'ZCP4_1537', 'ZCP4_1600', 'ZCP4_1677', 'ZCP4_1700', 'ZCP4_1749', 'ZCP4_1771', 'ZCP4_1772', 'ZCP4_1779', 'ZCP4_1781', 'ZCP4_1782', 'ZCP4_1783', 'ZCP4_1830', 'ZCP4_1831', 'ZCP4_1834', 'ZCP4_1835', 'ZCP4_1836', 'ZCP4_1837', 'ZCP4_1853', 'ZCP4_1854', 'ZCP4_1861', 'ZCP4_1863', 'ZCP4_1877', 'ZCP4_1894', 'ZCP4_1896', 'ZCP4_1918', 'ZCP4_1923']"
