,imodulon,GO_term,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
0,0,cell wall organization,2.1893179335505168e-05,0.06050180109366853,0.109375,0.08641975308641975,0.09655172413793105,7.0,84.0,64.0
1,0,molecular_function,1.3882317601949736e-05,0.06050180109366853,0.484375,0.021846370683579985,0.041807147673634526,31.0,1419.0,64.0
2,0,biological_process,5.029427007072825e-05,0.06949410767022876,0.328125,0.026282853566958697,0.04866743916570104,21.0,799.0,64.0
3,0,plasma membrane,3.865765556264226e-05,0.06949410767022876,0.234375,0.03456221198156682,0.060240963855421686,15.0,1006.0,64.0
4,4,CCAAT-binding factor complex,3.7674330045030544e-08,0.00020822602215888383,0.14285714285714285,1.0,0.25,3.0,8.0,21.0
5,4,regulation of cellular respiration,3.7503823928785766e-07,0.0010364181742719947,0.14285714285714285,0.6,0.23076923076923073,3.0,7.0,21.0
6,4,'de novo' UMP biosynthetic process,7.483772534137588e-07,0.0013787603598726151,0.14285714285714285,0.5,0.22222222222222224,3.0,7.0,21.0
7,4,'de novo' pyrimidine nucleobase biosynthetic process,3.121871834407429e-06,0.002875764271461644,0.14285714285714285,0.3333333333333333,0.2,3.0,25.0,21.0
8,4,carbon catabolite activation of transcription from RNA polymerase II promoter,2.085973208652224e-06,0.002875764271461644,0.14285714285714285,0.375,0.20689655172413796,3.0,8.0,21.0
9,4,pyrimidine nucleotide biosynthetic process,3.121871834407429e-06,0.002875764271461644,0.14285714285714285,0.3333333333333333,0.2,3.0,21.0,21.0
10,4,UMP biosynthetic process,1.1817842477198819e-05,0.009331030767353981,0.09523809523809523,1.0,0.17391304347826084,2.0,4.0,21.0
11,5,cellular_component,1.779962004828328e-20,9.837850000686169e-17,0.44565217391304346,0.07992202729044834,0.13553719008264462,41.0,514.0,92.0
12,5,biological_process,1.337877560494096e-16,3.697224638425434e-13,0.4891304347826087,0.056320400500625784,0.10101010101010102,45.0,799.0,92.0
13,5,molecular_function,1.1883366019759242e-13,2.1893121330403112e-10,0.5978260869565217,0.03875968992248062,0.0727994705493051,55.0,1419.0,92.0
14,7,citrate (Si)-synthase activity,8.6101423762448e-06,0.023794128456752505,0.1111111111111111,1.0,0.19999999999999998,2.0,9.0,18.0
15,7,citrate metabolic process,8.6101423762448e-06,0.023794128456752505,0.1111111111111111,1.0,0.19999999999999998,2.0,6.0,18.0
16,7,amino acid transmembrane transport,3.434083136178283e-05,0.06326725831219124,0.16666666666666666,0.13636363636363635,0.15,3.0,22.0,18.0
17,7, acyl groups converted into alkyl on transfer,5.147611300018215e-05,0.07112711913800168,0.1111111111111111,0.5,0.1818181818181818,2.0,9.0,18.0
