,gene_id,database,kegg_id
0,YAL063C,KEGG_ko,-
5879,YAL062W,KEGG_pathway,map00220
5880,YAL062W,KEGG_pathway,map00250
5881,YAL062W,KEGG_pathway,map00910
5882,YAL062W,KEGG_pathway,map01100
5884,YAL061W,KEGG_pathway,map00650
5886,YAL060W,KEGG_pathway,map00650
5888,YAL059W,KEGG_pathway,map00650
5894,YAL058W,KEGG_pathway,map04141
5895,YAL058W,KEGG_pathway,map04145
5896,YAL058W,KEGG_pathway,map04612
5897,YAL058W,KEGG_pathway,map04918
5898,YAL058W,KEGG_pathway,map05166
5904,YAL056W,KEGG_pathway,map04141
5905,YAL056W,KEGG_pathway,map04145
5906,YAL056W,KEGG_pathway,map04612
5907,YAL056W,KEGG_pathway,map04918
5908,YAL056W,KEGG_pathway,map05166
5914,YAL055W,KEGG_pathway,map04141
5915,YAL055W,KEGG_pathway,map04145
5916,YAL055W,KEGG_pathway,map04612
5917,YAL055W,KEGG_pathway,map04918
5918,YAL055W,KEGG_pathway,map05166
5929,YAL054C,KEGG_pathway,map00010
5930,YAL054C,KEGG_pathway,map00620
5931,YAL054C,KEGG_pathway,map00640
5932,YAL054C,KEGG_pathway,map00680
5933,YAL054C,KEGG_pathway,map00720
5934,YAL054C,KEGG_pathway,map01100
5935,YAL054C,KEGG_pathway,map01110
5936,YAL054C,KEGG_pathway,map01120
5937,YAL054C,KEGG_pathway,map01130
5938,YAL054C,KEGG_pathway,map01200
5949,YAL053W,KEGG_pathway,map00010
5950,YAL053W,KEGG_pathway,map00620
5951,YAL053W,KEGG_pathway,map00640
5952,YAL053W,KEGG_pathway,map00680
5953,YAL053W,KEGG_pathway,map00720
5954,YAL053W,KEGG_pathway,map01100
5955,YAL053W,KEGG_pathway,map01110
5956,YAL053W,KEGG_pathway,map01120
5957,YAL053W,KEGG_pathway,map01130
5958,YAL053W,KEGG_pathway,map01200
5969,YAL051W,KEGG_pathway,map00010
5970,YAL051W,KEGG_pathway,map00620
5971,YAL051W,KEGG_pathway,map00640
5972,YAL051W,KEGG_pathway,map00680
5973,YAL051W,KEGG_pathway,map00720
5974,YAL051W,KEGG_pathway,map01100
5975,YAL051W,KEGG_pathway,map01110
5976,YAL051W,KEGG_pathway,map01120
5977,YAL051W,KEGG_pathway,map01130
5978,YAL051W,KEGG_pathway,map01200
5989,YAL049C,KEGG_pathway,map00010
5990,YAL049C,KEGG_pathway,map00620
5991,YAL049C,KEGG_pathway,map00640
5992,YAL049C,KEGG_pathway,map00680
5993,YAL049C,KEGG_pathway,map00720
5994,YAL049C,KEGG_pathway,map01100
5995,YAL049C,KEGG_pathway,map01110
5996,YAL049C,KEGG_pathway,map01120
5997,YAL049C,KEGG_pathway,map01130
5998,YAL049C,KEGG_pathway,map01200
6001,YAL048C,KEGG_pathway,map04137
6002,YAL048C,KEGG_pathway,map04214
6005,YAL047C,KEGG_pathway,map04137
6006,YAL047C,KEGG_pathway,map04214
6009,YAL046C,KEGG_pathway,map04137
6010,YAL046C,KEGG_pathway,map04214
6013,YAL044W-A,KEGG_pathway,map04137
6014,YAL044W-A,KEGG_pathway,map04214
6021,YAL044C,KEGG_pathway,map00260
6022,YAL044C,KEGG_pathway,map00630
6023,YAL044C,KEGG_pathway,map01100
6024,YAL044C,KEGG_pathway,map01110
6025,YAL044C,KEGG_pathway,map01130
6026,YAL044C,KEGG_pathway,map01200
6029,YAL043C,KEGG_pathway,map03015
