# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX6700172_cds.txt" "SRX6700172.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX6700172.bam
ZMO2_RS00005	NZ_CP023677.1	147	2516	+	2370	7327
ZMO2_RS00010	NZ_CP023677.1	2538	3653	+	1116	11880
ZMO2_RS00015	NZ_CP023677.1	3697	4329	-	633	887
ZMO2_RS00020	NZ_CP023677.1	4340	5770	-	1431	4013
ZMO2_RS00025	NZ_CP023677.1	5781	6689	-	909	3007
ZMO2_RS00030	NZ_CP023677.1	6700	8115	-	1416	5813
ZMO2_RS00035	NZ_CP023677.1	8386	9120	-	735	19863
ZMO2_RS00040	NZ_CP023677.1	9131	10843	-	1713	17558
ZMO2_RS00045	NZ_CP023677.1	10843	12663	-	1821	22527
ZMO2_RS00050	NZ_CP023677.1	13006	13716	+	711	2337
ZMO2_RS00055	NZ_CP023677.1	13757	14473	-	717	11453
ZMO2_RS00060	NZ_CP023677.1	14548	15729	-	1182	4725
ZMO2_RS00065	NZ_CP023677.1	15736	16365	-	630	5332
ZMO2_RS00070	NZ_CP023677.1	16367	17080	-	714	9332
ZMO2_RS00075	NZ_CP023677.1	17333	18370	+	1038	1014240
ZMO2_RS00080	NZ_CP023677.1	18367	18939	+	573	478896
ZMO2_RS00085	NZ_CP023677.1	18995	20401	+	1407	178658
ZMO2_RS00090	NZ_CP023677.1	20553	21215	+	663	9207
ZMO2_RS00095	NZ_CP023677.1	21212	22978	+	1767	16961
ZMO2_RS00100	NZ_CP023677.1	23204	23800	-	597	3827
ZMO2_RS00105	NZ_CP023677.1	23797	25239	-	1443	13469
ZMO2_RS00110	NZ_CP023677.1	25239	25982	-	744	15565
ZMO2_RS00115	NZ_CP023677.1	26353	26829	-	477	2089
ZMO2_RS00120	NZ_CP023677.1	26925	27854	+	930	1540
ZMO2_RS00125	NZ_CP023677.1	28029	28976	+	948	1188
ZMO2_RS00130	NZ_CP023677.1	29293	30897	+	1605	6922
ZMO2_RS00135	NZ_CP023677.1	31083	32006	+	924	1077
ZMO2_RS00140	NZ_CP023677.1	32036	33766	-	1731	26660
ZMO2_RS00145	NZ_CP023677.1	34224	34631	+	408	5235
ZMO2_RS00150	NZ_CP023677.1	34635	37055	-	2421	11618
ZMO2_RS00155	NZ_CP023677.1	37403	37837	-	435	11198
ZMO2_RS00160	NZ_CP023677.1	38017	38619	+	603	6013
ZMO2_RS00165	NZ_CP023677.1	38623	38961	-	339	13782
ZMO2_RS00170	NZ_CP023677.1	38961	39422	-	462	36653
ZMO2_RS00175	NZ_CP023677.1	39623	40225	-	603	58511
ZMO2_RS00180	NZ_CP023677.1	40338	41042	-	705	9658
ZMO2_RS00185	NZ_CP023677.1	41050	41643	-	594	2993
ZMO2_RS00190	NZ_CP023677.1	41656	42537	-	882	5525
ZMO2_RS00195	NZ_CP023677.1	42534	43130	-	597	3098
ZMO2_RS00200	NZ_CP023677.1	43594	45351	+	1758	21774
ZMO2_RS00205	NZ_CP023677.1	45398	46003	-	606	830
ZMO2_RS00210	NZ_CP023677.1	46171	47082	+	912	5586
ZMO2_RS00215	NZ_CP023677.1	47274	48425	-	1152	3714
ZMO2_RS00220	NZ_CP023677.1	48422	49228	-	807	944
ZMO2_RS00225	NZ_CP023677.1	49348	49857	+	510	1507
ZMO2_RS00230	NZ_CP023677.1	49994	50779	-	786	3245
ZMO2_RS00235	NZ_CP023677.1	50969	52792	-	1824	33308
ZMO2_RS00240	NZ_CP023677.1	52878	53438	-	561	4410
ZMO2_RS00250	NZ_CP023677.1	53615	54763	+	1149	10950
ZMO2_RS00255	NZ_CP023677.1	54811	55080	-	270	1102
ZMO2_RS00260	NZ_CP023677.1	55123	56424	-	1302	5333
ZMO2_RS00265	NZ_CP023677.1	56561	57529	-	969	5643
ZMO2_RS00270	NZ_CP023677.1	57796	59301	-	1506	19378
ZMO2_RS00280	NZ_CP023677.1	60237	61364	+	1128	7116
ZMO2_RS00285	NZ_CP023677.1	61630	62067	+	438	2296
ZMO2_RS00290	NZ_CP023677.1	62217	62864	+	648	5893
ZMO2_RS00295	NZ_CP023677.1	63125	64486	-	1362	96318
ZMO2_RS00300	NZ_CP023677.1	64495	65379	-	885	95637
ZMO2_RS00305	NZ_CP023677.1	65434	65964	-	531	16578
ZMO2_RS00310	NZ_CP023677.1	65951	67042	-	1092	29961
ZMO2_RS00315	NZ_CP023677.1	67151	68488	-	1338	8906
ZMO2_RS00320	NZ_CP023677.1	68586	69119	-	534	10071
ZMO2_RS00325	NZ_CP023677.1	69266	69631	-	366	5098
ZMO2_RS00330	NZ_CP023677.1	69776	70327	-	552	5751
ZMO2_RS00335	NZ_CP023677.1	70349	71407	-	1059	3676
ZMO2_RS00340	NZ_CP023677.1	71404	72276	-	873	6558
ZMO2_RS00345	NZ_CP023677.1	72273	74603	-	2331	39834
ZMO2_RS00350	NZ_CP023677.1	74614	74883	-	270	1667
ZMO2_RS00355	NZ_CP023677.1	75057	76370	-	1314	878
ZMO2_RS00360	NZ_CP023677.1	76803	78920	-	2118	15189
ZMO2_RS00365	NZ_CP023677.1	79111	79593	-	483	2065
ZMO2_RS00370	NZ_CP023677.1	79719	80423	-	705	1203
ZMO2_RS00375	NZ_CP023677.1	80632	81324	-	693	613
ZMO2_RS00380	NZ_CP023677.1	81761	82558	-	798	5066
ZMO2_RS00385	NZ_CP023677.1	82881	83645	+	765	2425
ZMO2_RS00390	NZ_CP023677.1	83861	84868	+	1008	11624
ZMO2_RS00395	NZ_CP023677.1	84951	85172	-	222	14814
ZMO2_RS00400	NZ_CP023677.1	85618	86169	-	552	26876
ZMO2_RS10030	NZ_CP023677.1	86168	86314	+	147	530
ZMO2_RS00410	NZ_CP023677.1	86671	87939	+	1269	10393
ZMO2_RS00415	NZ_CP023677.1	88004	88384	-	381	2114
ZMO2_RS00420	NZ_CP023677.1	88491	89555	+	1065	8943
ZMO2_RS00430	NZ_CP023677.1	89985	91547	+	1563	166083
ZMO2_RS00435	NZ_CP023677.1	91652	93106	+	1455	1257460
ZMO2_RS00440	NZ_CP023677.1	93103	93681	+	579	300626
ZMO2_RS00445	NZ_CP023677.1	93746	94555	-	810	3610
ZMO2_RS00450	NZ_CP023677.1	94613	94939	-	327	2303
ZMO2_RS00455	NZ_CP023677.1	95277	96716	+	1440	37267
ZMO2_RS00460	NZ_CP023677.1	96713	97702	+	990	24368
ZMO2_RS00465	NZ_CP023677.1	97849	99645	-	1797	4883
ZMO2_RS00470	NZ_CP023677.1	99841	100191	+	351	2776
