,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
5,ZMO1_ZMO0002,b2021,26.254,339,216,13,42,365,32,351,7.910000000000001e-21,89.4,371,0.9137466307277629,<=>
9,ZMO1_ZMO0003,b2750,77.249,189,43,0,14,202,5,193,5.7e-110,310.0,210,0.9,<=>
11,ZMO1_ZMO0004,b2751,78.481,474,102,0,3,476,2,475,0.0,776.0,476,0.9957983193277311,<=>
20,ZMO1_ZMO0005,b2752,90.066,302,30,0,1,302,1,302,0.0,575.0,302,1.0,<=>
22,ZMO1_ZMO0006,b3368,51.641,457,219,2,1,456,1,456,4.35e-164,468.0,471,0.970276008492569,<=>
23,ZMO1_ZMO0007,b2762,75.82,244,59,0,1,244,1,244,2.38e-140,390.0,244,1.0,<=>
25,ZMO1_ZMO0008,b2763,71.93,570,160,0,1,570,1,570,0.0,901.0,570,1.0,<=>
26,ZMO1_ZMO0009,b2764,65.997,597,195,3,10,606,11,599,0.0,818.0,606,0.9851485148514851,<=>
30,ZMO1_ZMO0012,b2955,38.961,385,203,9,18,388,6,372,3.4e-75,235.0,393,0.9796437659033079,<=>
33,ZMO1_ZMO0013,b2954,42.051,195,104,4,17,206,3,193,4.0399999999999996e-38,127.0,209,0.9330143540669856,<=>
34,ZMO1_ZMO0014,b3643,62.201,209,79,0,1,209,1,209,1.91e-94,273.0,237,0.8818565400843882,<=>
37,ZMO1_ZMO0017,b3289,32.353,442,251,14,48,461,7,428,2.0700000000000002e-47,166.0,468,0.9444444444444444,<=>
39,ZMO1_ZMO0018,b3386,61.809,199,75,1,6,203,5,203,5.960000000000001e-85,248.0,220,0.9045454545454545,<=>
43,ZMO1_ZMO0021,b0307,38.182,440,251,6,55,479,38,471,4.43e-106,321.0,480,0.9166666666666666,<=>
44,ZMO1_ZMO0022,b0306,32.794,247,150,4,1,242,1,236,2.22e-36,125.0,247,1.0,<=>
50,ZMO1_ZMO0025,b4210,30.556,324,187,11,9,306,1,312,2.0099999999999997e-30,114.0,309,1.0485436893203883,<=>
62,ZMO1_ZMO0027,b4006,53.604,541,221,10,6,534,7,529,0.0,540.0,534,1.0131086142322097,<=>
63,ZMO1_ZMO0028,b4351,37.061,313,178,8,1,304,1,303,4.07e-57,183.0,307,1.019543973941368,<=>
87,ZMO1_ZMO0033,b1181,48.201,139,72,0,5,143,11,149,1.66e-44,140.0,144,0.9652777777777778,<=>
89,ZMO1_ZMO0037,b3204,39.735,151,88,2,3,151,9,158,6.96e-35,116.0,153,0.9869281045751634,<=>
96,ZMO1_ZMO0039,b0215,40.909,242,126,6,2,232,7,242,3.4100000000000004e-58,181.0,234,1.0341880341880343,<=>
98,ZMO1_ZMO0040,b0103,27.807,187,132,2,3,187,4,189,3.05e-16,70.9,197,0.949238578680203,<=>
99,ZMO1_ZMO0041,b3281,35.955,267,157,7,13,277,3,257,1.76e-36,128.0,293,0.9112627986348123,<=>
101,ZMO1_ZMO0043,b1087,33.333,192,117,5,3,192,4,186,1.54e-26,97.8,198,0.9696969696969697,<=>
123,ZMO1_ZMO0047,b2578,31.183,186,121,5,7,189,6,187,2.74e-18,76.3,201,0.9253731343283582,<=>
126,ZMO1_ZMO0050,b2157,31.879,298,192,4,1,294,3,293,3.69e-41,141.0,303,0.9834983498349835,<=>
163,ZMO1_ZMO0052,b0341,38.005,371,224,4,15,380,6,375,1.35e-65,210.0,383,0.9686684073107049,<=>
172,ZMO1_ZMO0056,b3729,50.734,613,292,6,1,607,1,609,0.0,595.0,607,1.0098846787479407,<=>
177,ZMO1_ZMO0059,b3124,50.135,371,183,1,1,371,1,369,3.11e-114,335.0,382,0.9712041884816754,<=>
180,ZMO1_ZMO0061,b0980,29.343,426,273,15,11,419,11,425,5.35e-35,131.0,433,0.9838337182448037,<=>
203,ZMO1_ZMO0073,b0658,32.997,297,182,7,1,291,1,286,1.28e-36,129.0,294,1.010204081632653,<=>
209,ZMO1_ZMO0075,b0660,47.573,309,159,2,21,327,14,321,2.42e-90,272.0,363,0.8512396694214877,<=>
211,ZMO1_ZMO0077,b0661,45.89,438,230,5,7,437,3,440,3.57e-140,407.0,445,0.9842696629213483,<=>
213,ZMO1_ZMO0078,b1887,30.0,150,104,1,16,165,2,150,7.28e-30,104.0,177,0.847457627118644,<=>
246,ZMO1_ZMO0081,b1883,47.278,349,167,4,3,348,4,338,4.05e-106,312.0,352,0.9914772727272727,<=>
269,ZMO1_ZMO0082,b1884,38.29,269,144,8,25,285,27,281,3.87e-51,167.0,290,0.9275862068965517,<=>
282,ZMO1_ZMO0086,b3650,37.679,698,419,9,27,715,11,701,7.14e-166,491.0,721,0.9680998613037448,<=>
300,ZMO1_ZMO0094,b0775,51.447,311,150,1,25,335,4,313,3.48e-117,339.0,335,0.9283582089552239,<=>
301,ZMO1_ZMO0096,b1912,35.227,176,106,3,2,175,3,172,2.5e-25,93.6,183,0.9617486338797814,<=>
302,ZMO1_ZMO0099,b2835,23.5,400,207,14,18,381,21,357,1.01e-11,63.2,422,0.9478672985781991,<=>
305,ZMO1_ZMO0105,b0072,61.229,472,174,3,6,476,3,466,0.0,582.0,484,0.9752066115702479,<=>
309,ZMO1_ZMO0106,b0071,44.324,185,91,4,9,182,10,193,1.05e-48,154.0,192,0.9635416666666666,<=>
317,ZMO1_ZMO0111,b0949,37.296,614,335,6,20,589,18,625,2.64e-121,370.0,598,1.0267558528428093,<=>
469,ZMO1_ZMO0113,b1812,39.597,447,246,5,37,479,25,451,1.08e-98,301.0,487,0.917864476386037,<=>
478,ZMO1_ZMO0115,b1096,29.461,241,162,4,19,253,14,252,8.339999999999999e-24,94.4,278,0.8669064748201439,<=>
482,ZMO1_ZMO0117,b0873,45.471,552,289,7,1,542,1,550,3.5500000000000003e-163,472.0,545,1.0128440366972478,<=>
483,ZMO1_ZMO0119,b0019,40.933,386,221,4,5,385,4,387,2.25e-77,241.0,388,0.9948453608247423,<=>
485,ZMO1_ZMO0120,b0945,23.765,324,193,14,43,349,45,331,0.000182,39.7,355,0.9126760563380282,<=>
487,ZMO1_ZMO0121,b0892,44.931,434,222,5,11,433,6,433,3.5100000000000004e-122,360.0,449,0.9665924276169265,<=>
492,ZMO1_ZMO0125,b0481,40.645,155,89,2,5,156,2,156,3.58e-32,109.0,157,0.9872611464968153,<=>
603,ZMO1_ZMO0140,b0982,31.343,134,83,5,6,139,8,132,1.17e-12,58.9,159,0.8427672955974843,<=>
604,ZMO1_ZMO0142,b2951,36.444,225,129,4,20,232,8,230,7.01e-35,121.0,232,0.9698275862068966,<=>
605,ZMO1_ZMO0143,b0127,41.234,308,166,6,5,309,4,299,1.93e-76,233.0,319,0.9655172413793104,<=>
