,gene_id,database,kegg_id
7,ZMO1_ZMO0005,KEGG_pathway,map00230
8,ZMO1_ZMO0005,KEGG_pathway,map00261
9,ZMO1_ZMO0005,KEGG_pathway,map00450
10,ZMO1_ZMO0005,KEGG_pathway,map00920
11,ZMO1_ZMO0005,KEGG_pathway,map01100
12,ZMO1_ZMO0005,KEGG_pathway,map01120
13,ZMO1_ZMO0005,KEGG_pathway,map01130
18,ZMO1_ZMO0006,KEGG_pathway,map00860
19,ZMO1_ZMO0006,KEGG_pathway,map01100
20,ZMO1_ZMO0006,KEGG_pathway,map01110
21,ZMO1_ZMO0006,KEGG_pathway,map01120
25,ZMO1_ZMO0007,KEGG_pathway,map00920
26,ZMO1_ZMO0007,KEGG_pathway,map01100
27,ZMO1_ZMO0007,KEGG_pathway,map01120
31,ZMO1_ZMO0008,KEGG_pathway,map00920
32,ZMO1_ZMO0008,KEGG_pathway,map01100
33,ZMO1_ZMO0008,KEGG_pathway,map01120
40,ZMO1_ZMO0009,KEGG_pathway,map00071
41,ZMO1_ZMO0009,KEGG_pathway,map00380
42,ZMO1_ZMO0009,KEGG_pathway,map00627
43,ZMO1_ZMO0009,KEGG_pathway,map00920
44,ZMO1_ZMO0009,KEGG_pathway,map01100
45,ZMO1_ZMO0009,KEGG_pathway,map01120
46,ZMO1_ZMO0010,KEGG_pathway,-
47,ZMO1_ZMO0011,KEGG_pathway,-
48,ZMO1_ZMO0012,KEGG_pathway,-
50,ZMO1_ZMO0013,KEGG_pathway,map00230
51,ZMO1_ZMO0014,KEGG_pathway,-
52,ZMO1_ZMO0015,KEGG_pathway,-
53,ZMO1_ZMO0016,KEGG_pathway,-
54,ZMO1_ZMO0017,KEGG_pathway,-
64,ZMO1_ZMO0018,KEGG_pathway,map00030
65,ZMO1_ZMO0018,KEGG_pathway,map00040
66,ZMO1_ZMO0018,KEGG_pathway,map00710
67,ZMO1_ZMO0018,KEGG_pathway,map01100
68,ZMO1_ZMO0018,KEGG_pathway,map01110
69,ZMO1_ZMO0018,KEGG_pathway,map01120
70,ZMO1_ZMO0018,KEGG_pathway,map01130
71,ZMO1_ZMO0018,KEGG_pathway,map01200
72,ZMO1_ZMO0018,KEGG_pathway,map01230
73,ZMO1_ZMO0019,KEGG_pathway,-
74,ZMO1_ZMO0020,KEGG_pathway,-
75,ZMO1_ZMO0021,KEGG_pathway,-
81,ZMO1_ZMO0022,KEGG_pathway,map00630
82,ZMO1_ZMO0022,KEGG_pathway,map01100
83,ZMO1_ZMO0022,KEGG_pathway,map01110
84,ZMO1_ZMO0022,KEGG_pathway,map01120
85,ZMO1_ZMO0022,KEGG_pathway,map01130
86,ZMO1_ZMO0023,KEGG_pathway,-
87,ZMO1_ZMO0025,KEGG_pathway,-
