,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change,iMs
ZMO1_ZMO0001,,,,,,,No COG category,,,,,,,,,,,,,,,,,,,,,,,,,"['membrane_cobalmin', 'sulfate_transport_maybe', 'transport_2']"
ZMO1_ZMO0002,,,,,,,No COG category,,,,,,,,,,,,,,,,,,,,,,,,,
ZMO1_ZMO0003,,,,,,,No COG category,,,,,,,,,,,,,,,,,,,,,,,,,['sulfur_metabolism']
ZMO1_ZMO0004,,,,,,,No COG category,,,,,,,,,,,,,,,,,,,,,,,,,['sulfur_metabolism']
ZMO1_ZMO0005,ZMO1_ZMO0005,CP023715.1,5781.0,6689.0,-,sulfate adenylyltransferase small subunit,Amino acid transport and metabolism,,Q5NRM5,map00230;map00261;map00450;map00920;map01100;map01120;map01130,2.7.7.4,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,3.88e-16,6e-18,4e-16,2.01e-15,[],1.0,0.809349228,0.781906044,0.856888546,1.0,0.787516822,0.762040791,0.962930157,"['sulfate_transport_maybe', 'sulfur_metabolism']"
ZMO1_ZMO0006,ZMO1_ZMO0006,CP023715.1,6700.0,8115.0,-,siroheme synthase CysG,Coenzyme transport and metabolism,,Q5NRM4,map00860;map01100;map01110;map01120,"1.3.1.76,2.1.1.107,4.99.1.4",0.0,0.0,SignalP-TM;SignalP-noTM,,,,,1.0,1.0,1.0,1.0,[],1.0,0.732465567,0.652452239,0.612180467,1.0,0.658525514,0.585453524,0.588302709,['sulfate_transport_maybe']
ZMO1_ZMO0007,ZMO1_ZMO0007,CP023715.1,8386.0,9120.0,-,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,,Q5NRM3,map00920;map01100;map01120,"1.8.4.10,1.8.4.8",0.0,0.0,SignalP-TM;SignalP-noTM,,,,,1.0,1.0,1.0,1.0,[],1.0,1.102342621,0.98822967,0.887246857,1.0,1.07929536,0.905403999,0.959522513,['sulfur_metabolism']
ZMO1_ZMO0008,ZMO1_ZMO0008,CP023715.1,9131.0,10843.0,-,sulfite reductase (NADPH) hemoprotein beta-component,Energy production and conversion,,Q5NRM2,map00920;map01100;map01120,1.8.1.2,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,1.15e-15,2.06e-15,9.25e-17,3.37e-16,[],1.0,0.901235332,0.844352521,0.832476737,1.0,0.924389977,0.923730064,0.800511944,['sulfur_metabolism']
ZMO1_ZMO0009,ZMO1_ZMO0009,CP023715.1,10843.0,12663.0,-,sulfite reductase (NADPH) flavoprotein alpha chain,Energy production and conversion,,Q5NRM1,map00071;map00380;map00627;map00920;map01100;map01120,"1.14.14.1,1.6.2.4,1.8.1.2",0.0,0.0,Integrins beta chain EGF (I-EGF) domain signature.;SignalP-TM;SignalP-noTM,,,,,1.15e-15,2.06e-15,9.25e-17,3.37e-16,[],1.0,0.892762276,0.862835909,0.902218091,1.0,0.852903505,0.844763353,0.923370791,['ETC_and_MEP']
ZMO1_ZMO0010,ZMO1_ZMO0010,CP023715.1,13006.0,13716.0,+,DUF45 domain-containing protein,Function unknown,ZMO0373,Q5NRM0,,,0.0,0.0,SignalP-TM,,,,,,,,,['RofA_Streptococcus_pyogenes'],,,,,,,,,
ZMO1_ZMO0011,ZMO1_ZMO0011,CP023715.1,13757.0,14371.0,-,uncharacterized protein,No COG annotation,"ZMO0023,ZMO0781,ZMO1121,ZMO1336,ZMO1412,ZMO1412,ZMO1574,ZMO1857",Q5NRL9,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.82257724,0.797875967,1.068248977,1.0,1.040286421,1.027104998,1.42738215,['noise_3']
ZMO1_ZMO0012,ZMO1_ZMO0012,CP023715.1,14548.0,15729.0,-,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,,Q5NRL8,,,0.0,0.0,SignalP-TM,,,,,1.0,1.0,1.0,1.0,[],1.0,0.975058323,1.029628695,1.100091639,1.0,1.017564485,0.944554455,1.095003731,
ZMO1_ZMO0013,ZMO1_ZMO0013,CP023715.1,15736.0,16365.0,-,rdgB/HAM1 family non-canonical purine NTP pyrophosphatase,Nucleotide transport and metabolism,ZMO1857,Q5NRL7,map00230,3.6.1.66,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,1.0,1.0,1.0,1.0,[],1.0,0.799850432,0.708308445,0.721013234,1.0,0.603053506,0.503743626,0.593234924,
