,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,ZMO1_ZMO0001,ZCP4_1216,99.873,789,1,0,1,789,1,789,0.0,1610.0,789,1.0,<=>
9,ZMO1_ZMO0002,ZCP4_1215,99.191,371,3,0,1,371,1,371,0.0,743.0,371,1.0,<=>
12,ZMO1_ZMO0003,ZCP4_1214,99.524,210,1,0,1,210,1,210,2.4399999999999997e-159,435.0,210,1.0,<=>
13,ZMO1_ZMO0004,ZCP4_1213,99.16,476,4,0,1,476,1,476,0.0,967.0,476,1.0,<=>
20,ZMO1_ZMO0005,ZCP4_1212,100.0,302,0,0,1,302,1,302,0.0,627.0,302,1.0,<=>
22,ZMO1_ZMO0006,ZCP4_1211,99.575,471,2,0,1,471,1,471,0.0,956.0,471,1.0,<=>
24,ZMO1_ZMO0007,ZCP4_1210,100.0,244,0,0,1,244,1,244,0.0,505.0,244,1.0,<=>
26,ZMO1_ZMO0008,ZCP4_1209,99.825,570,1,0,1,570,1,570,0.0,1177.0,570,1.0,<=>
27,ZMO1_ZMO0009,ZCP4_1208,99.175,606,5,0,1,606,1,606,0.0,1243.0,606,1.0,<=>
28,ZMO1_ZMO0010,ZCP4_1207,99.153,236,2,0,1,236,1,236,6.88e-175,476.0,236,1.0,<=>
29,ZMO1_ZMO0012,ZCP4_1205,98.982,393,4,0,1,393,1,393,0.0,804.0,393,1.0,<=>
31,ZMO1_ZMO0013,ZCP4_1204,100.0,209,0,0,1,209,1,209,3.6800000000000005e-157,429.0,209,1.0,<=>
32,ZMO1_ZMO0014,ZCP4_1203,100.0,237,0,0,1,237,1,237,1.73e-175,478.0,237,1.0,<=>
34,ZMO1_ZMO0015,ZCP4_1202,100.0,345,0,0,1,345,1,345,0.0,688.0,345,1.0,<=>
35,ZMO1_ZMO0016,ZCP4_1201,100.0,190,0,0,1,190,1,190,2.4499999999999998e-139,382.0,190,1.0,<=>
36,ZMO1_ZMO0017,ZCP4_1200,99.359,468,3,0,1,468,1,468,0.0,944.0,468,1.0,<=>
38,ZMO1_ZMO0018,ZCP4_1199,99.545,220,1,0,1,220,1,220,1.1500000000000001e-163,446.0,220,1.0,<=>
