,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
4,b0004,ZCP4_1291,34.588,425,239,10,15,402,15,437,2.4399999999999997e-68,220.0,428,0.9929906542056075,<=>
6,b0014,ZCP4_0632,65.934,637,212,2,1,637,1,632,0.0,841.0,638,0.9984326018808778,<=>
8,b0015,ZCP4_0631,52.394,376,170,5,1,371,1,372,1.2e-130,375.0,376,1.0,<=>
13,b0019,ZCP4_1121,41.192,386,220,4,4,387,5,385,2.87e-81,250.0,388,0.9948453608247423,<=>
18,b0023,ZCP4_1766,41.379,87,51,0,1,87,1,87,2.88e-15,60.8,87,1.0,<=>
19,b0025,ZCP4_0942,35.417,288,186,0,17,304,16,303,3.23e-58,186.0,313,0.9201277955271565,<=>
20,b0026,ZCP4_0941,41.06,962,497,17,3,929,14,940,0.0,701.0,938,1.0255863539445629,<=>
24,b0027,ZCP4_0940,30.769,143,94,3,17,156,23,163,5.23e-20,78.2,164,0.8719512195121951,<=>
25,b0029,ZCP4_0436,53.722,309,140,1,1,309,2,307,5.03e-116,335.0,316,0.9778481012658228,<=>
26,b0031,ZCP4_0589,40.37,270,140,4,3,270,4,254,3.55e-61,190.0,273,0.989010989010989,<=>
27,b0032,ZCP4_1542,51.715,379,176,4,4,378,14,389,7.599999999999999e-135,387.0,382,0.9921465968586387,<=>
31,b0033,ZCP4_1543,61.347,1084,371,9,1,1043,1,1077,0.0,1280.0,1073,1.0102516309412861,<=>
37,b0041,ZCP4_1665,26.953,256,173,6,1,254,1,244,8.1e-19,79.0,256,1.0,<=>
46,b0051,ZCP4_0037,35.115,262,160,6,7,263,16,272,2.02e-40,137.0,273,0.9597069597069597,<=>
47,b0052,ZCP4_0038,36.688,308,191,3,7,312,4,309,2.1600000000000003e-58,187.0,329,0.9361702127659575,<=>
85,b0071,ZCP4_1133,44.324,185,91,4,10,193,9,182,3.55e-49,155.0,201,0.9203980099502488,<=>
87,b0072,ZCP4_1134,61.229,472,174,3,3,466,6,476,0.0,563.0,466,1.0128755364806867,<=>
89,b0073,ZCP4_0615,52.422,351,158,5,6,355,2,344,3.04e-121,350.0,363,0.9669421487603306,<=>
92,b0074,ZCP4_0412,25.709,529,351,12,6,497,32,555,3.9e-34,131.0,523,1.011472275334608,<=>
97,b0077,ZCP4_0192,48.947,570,279,6,4,568,5,567,0.0,560.0,574,0.9930313588850174,<=>
100,b0078,ZCP4_0191,41.509,159,90,3,2,158,9,166,1.61e-34,115.0,163,0.9754601226993865,<=>
102,b0082,ZCP4_0485,44.373,311,156,9,7,311,10,309,2.18e-71,220.0,313,0.9936102236421726,<=>
