# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_B_cds.txt" "Kiley_A_DZM0422_Aerobic_B.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_B.bam
ZMO1_ZMO0001	CP023715.1	147	2516	+	2370	15097
ZMO1_ZMO0002	CP023715.1	2538	3653	+	1116	3247
ZMO1_ZMO0003	CP023715.1	3697	4329	-	633	14139
ZMO1_ZMO0004	CP023715.1	4340	5770	-	1431	48256
ZMO1_ZMO0005	CP023715.1	5781	6689	-	909	35896
ZMO1_ZMO0006	CP023715.1	6700	8115	-	1416	17541
ZMO1_ZMO0007	CP023715.1	8386	9120	-	735	38080
ZMO1_ZMO0008	CP023715.1	9131	10843	-	1713	166495
ZMO1_ZMO0009	CP023715.1	10843	12663	-	1821	164173
ZMO1_ZMO0010	CP023715.1	13006	13716	+	711	684
ZMO1_ZMO0011	CP023715.1	13757	14371	-	615	3127
ZMO1_ZMO0012	CP023715.1	14548	15729	-	1182	5133
ZMO1_ZMO0013	CP023715.1	15736	16365	-	630	4150
ZMO1_ZMO0014	CP023715.1	16367	17080	-	714	10643
ZMO1_ZMO0015	CP023715.1	17333	18370	+	1038	24777
ZMO1_ZMO0016	CP023715.1	18367	18939	+	573	32064
ZMO1_ZMO0017	CP023715.1	18995	20401	+	1407	32093
ZMO1_ZMO0018	CP023715.1	20553	21215	+	663	16925
ZMO1_ZMO0019	CP023715.1	21212	22978	+	1767	19259
ZMO1_ZMO0020	CP023715.1	23204	23800	-	597	584
ZMO1_ZMO0021	CP023715.1	23797	25239	-	1443	1489
ZMO1_ZMO0022	CP023715.1	25239	25982	-	744	651
ZMO1_ZMO0023	CP023715.1	26353	26829	-	477	720
ZMO1_ZMO0025	CP023715.1	26925	27854	+	930	640
ZMO1_ZMO0026	CP023715.1	28029	28976	+	948	1246
ZMO1_ZMO0027	CP023715.1	29293	30897	+	1605	32933
ZMO1_ZMO0028	CP023715.1	31083	32006	+	924	1705
ZMO1_ZMO0029	CP023715.1	32036	33934	-	1899	2925
ZMO1_ZMO0030	CP023715.1	34224	34631	+	408	2903
ZMO1_ZMO0031	CP023715.1	34635	37055	-	2421	2862
ZMO1_ZMO0033	CP023715.1	37403	37837	-	435	1891
ZMO1_ZMO0035	CP023715.1	38017	38619	+	603	5071
ZMO1_ZMO0036	CP023715.1	38623	38961	-	339	7572
ZMO1_ZMO0037	CP023715.1	38961	39422	-	462	17467
ZMO1_ZMO0038	CP023715.1	39623	40225	-	603	37078
ZMO1_ZMO0039	CP023715.1	40338	41042	-	705	12834
ZMO1_ZMO0040	CP023715.1	41050	41643	-	594	6282
ZMO1_ZMO0041	CP023715.1	41656	42537	-	882	13763
ZMO1_ZMO0043	CP023715.1	42534	43130	-	597	2365
ZMO1_ZMO0044	CP023715.1	43594	45351	+	1758	1031
ZMO1_ZMO0047	CP023715.1	45398	46003	-	606	107
ZMO1_ZMO0050	CP023715.1	46171	47082	+	912	1017
ZMO1_ZMO0052	CP023715.1	47274	48425	-	1152	904
ZMO1_ZMO0053	CP023715.1	48422	49228	-	807	560
ZMO1_ZMO0054	CP023715.1	49348	49857	+	510	507
ZMO1_ZMO0055	CP023715.1	49994	50779	-	786	14681
ZMO1_ZMO0056	CP023715.1	50969	52792	-	1824	24349
ZMO1_ZMO0057	CP023715.1	52878	53438	-	561	5679
ZMO1_ZMO0059	CP023715.1	53615	54763	+	1149	1402
ZMO1_ZMO0060	CP023715.1	54811	55080	-	270	2302
ZMO1_ZMO0061	CP023715.1	55123	56424	-	1302	12853
ZMO1_ZMO0062	CP023715.1	56561	57529	-	969	18244
ZMO1_ZMO0064	CP023715.1	57796	59457	-	1662	2885
ZMO1_ZMO0066	CP023715.1	59627	59896	+	270	13
ZMO1_ZMO0068	CP023715.1	60237	61364	+	1128	10151
ZMO1_ZMO0069	CP023715.1	61630	62067	+	438	562
ZMO1_ZMO0070	CP023715.1	62217	62864	+	648	3915
ZMO1_ZMO0072	CP023715.1	63125	64486	-	1362	17340
ZMO1_ZMO0073	CP023715.1	64495	65379	-	885	24662
ZMO1_ZMO0074	CP023715.1	65434	65964	-	531	5314
ZMO1_ZMO0075	CP023715.1	65951	67042	-	1092	23604
ZMO1_ZMO0077	CP023715.1	67151	68488	-	1338	21504
ZMO1_ZMO0078	CP023715.1	68586	69119	-	534	13652
ZMO1_ZMO0079	CP023715.1	69266	69631	-	366	11076
ZMO1_ZMO0080	CP023715.1	69776	70327	-	552	5684
ZMO1_ZMO0081	CP023715.1	70349	71407	-	1059	14828
ZMO1_ZMO0082	CP023715.1	71404	72276	-	873	12806
ZMO1_ZMO0083	CP023715.1	72273	74603	-	2331	34274
ZMO1_ZMO0084	CP023715.1	74614	74883	-	270	9631
ZMO1_ZMO0085	CP023715.1	75057	76370	-	1314	26664
ZMO1_ZMO0086	CP023715.1	76803	78968	-	2166	19933
ZMO1_ZMO0087	CP023715.1	79111	79593	-	483	4426
ZMO1_ZMO0088	CP023715.1	79719	80423	-	705	78
ZMO1_ZMO0089	CP023715.1	80632	81324	-	693	105
ZMO1_ZMO0090	CP023715.1	81761	82558	-	798	38216
ZMO1_ZMO0091	CP023715.1	82625	82780	+	156	29
ZMO1_ZMO0092	CP023715.1	82881	83645	+	765	2939
ZMO1_ZMO0094	CP023715.1	83861	84868	+	1008	15216
ZMO1_ZMO0095	CP023715.1	84951	85172	-	222	785
ZMO1_ZMO0096	CP023715.1	85618	86169	-	552	13412
ZMO1_ZMO2042	CP023715.1	86442	86648	+	207	2
ZMO1_ZMO0099	CP023715.1	86671	87939	+	1269	6008
ZMO1_ZMO0100	CP023715.1	88004	88384	-	381	380
ZMO1_ZMO0101	CP023715.1	88491	89555	+	1065	805
ZMO1_ZMO0102	CP023715.1	89582	89773	+	192	53
ZMO1_ZMO0103	CP023715.1	89985	91547	+	1563	6174
ZMO1_ZMO0105	CP023715.1	91652	93106	+	1455	18588
ZMO1_ZMO0106	CP023715.1	93103	93681	+	579	6249
ZMO1_ZMO0107	CP023715.1	93746	94555	-	810	11393
ZMO1_ZMO0108	CP023715.1	94613	94939	-	327	5539
ZMO1_ZMO0109	CP023715.1	95277	96716	+	1440	7987
ZMO1_ZMO0110	CP023715.1	96713	97702	+	990	4790
ZMO1_ZMO0111	CP023715.1	97849	99645	-	1797	19021
ZMO1_ZMO0112	CP023715.1	99841	100191	+	351	5999
ZMO1_ZMO0113	CP023715.1	100924	102387	+	1464	5091
ZMO1_ZMO0114	CP023715.1	102404	103015	+	612	1949
ZMO1_ZMO0115	CP023715.1	102981	103817	+	837	2370
ZMO1_ZMO0116	CP023715.1	104017	104454	+	438	45762
ZMO1_ZMO0117	CP023715.1	104521	106158	+	1638	102530
ZMO1_ZMO0119	CP023715.1	106317	107483	+	1167	771
ZMO1_ZMO0120	CP023715.1	107644	108711	+	1068	25185
ZMO1_ZMO0121	CP023715.1	108979	110328	+	1350	4351
ZMO1_ZMO0122	CP023715.1	110563	110850	+	288	13508
ZMO1_ZMO0124	CP023715.1	111117	112700	-	1584	7019
ZMO1_ZMO0125	CP023715.1	112713	113186	-	474	1912
ZMO1_ZMO0127	CP023715.1	114593	115552	-	960	16277
ZMO1_ZMO0128	CP023715.1	115570	118062	-	2493	26154
ZMO1_ZMO0130	CP023715.1	118385	119179	-	795	15758
ZMO1_ZMO0131	CP023715.1	119337	120281	-	945	18659
ZMO1_ZMO0132	CP023715.1	120789	121607	+	819	1125
ZMO1_ZMO0133	CP023715.1	121838	122560	+	723	4373
ZMO1_ZMO2040	CP023715.1	122793	124106	+	1314	1251
ZMO1_ZMO2041	CP023715.1	124244	125068	+	825	9791
ZMO1_ZMO0134	CP023715.1	125251	125751	+	501	149
ZMO1_ZMO0135	CP023715.1	125859	126560	+	702	448
ZMO1_ZMO0136	CP023715.1	126654	127370	+	717	392
ZMO1_ZMO0137	CP023715.1	127570	128826	+	1257	1074
ZMO1_ZMO0139	CP023715.1	128986	129816	-	831	8502
ZMO1_ZMO0140	CP023715.1	129882	130361	-	480	3483
ZMO1_ZMO0142	CP023715.1	130700	131398	+	699	8025
ZMO1_ZMO0143	CP023715.1	131416	132375	+	960	17350
ZMO1_ZMO0144	CP023715.1	132440	134032	+	1593	20397
ZMO1_ZMO0145	CP023715.1	134055	135728	+	1674	10087
ZMO1_ZMO0148	CP023715.1	136393	137199	-	807	8239
ZMO1_ZMO0149	CP023715.1	137384	138079	-	696	10816
ZMO1_ZMO0150	CP023715.1	138159	138785	-	627	423
ZMO1_ZMO0152	CP023715.1	139052	140479	-	1428	466217
ZMO1_ZMO2043	CP023715.1	140799	141038	+	240	6468
ZMO1_ZMO0153	CP023715.1	141493	142242	+	750	20954
ZMO1_ZMO0154	CP023715.1	142277	142780	+	504	5272
ZMO1_ZMO0155	CP023715.1	142822	143463	+	642	4513
ZMO1_ZMO0156	CP023715.1	143523	143885	-	363	5543
ZMO1_ZMO0157	CP023715.1	144094	145023	-	930	13455
ZMO1_ZMO0158	CP023715.1	145169	146212	+	1044	3928
ZMO1_ZMO0160	CP023715.1	146392	146892	+	501	7051
ZMO1_ZMO0161	CP023715.1	146900	147610	+	711	10224
ZMO1_ZMO0162	CP023715.1	147610	148137	+	528	4418
ZMO1_ZMO0164	CP023715.1	148147	149226	+	1080	14807
ZMO1_ZMO0165	CP023715.1	149280	150656	+	1377	40910
ZMO1_ZMO0166	CP023715.1	150783	151313	+	531	49073
ZMO1_ZMO2000	CP023715.1	152523	152939	-	417	666
ZMO1_ZMO0169	CP023715.1	153232	153975	-	744	38733
ZMO1_ZMO2044	CP023715.1	154131	154574	+	444	1962
ZMO1_ZMO0172	CP023715.1	157812	159626	+	1815	19001
ZMO1_ZMO0173	CP023715.1	160144	160545	-	402	3796
ZMO1_ZMO0174	CP023715.1	160738	161130	-	393	1267
ZMO1_ZMO0175	CP023715.1	161341	161622	-	282	497
ZMO1_ZMO0176	CP023715.1	161837	163828	+	1992	48394
ZMO1_ZMO0177	CP023715.1	163878	164891	+	1014	1264268
ZMO1_ZMO0178	CP023715.1	165114	166307	+	1194	213319
ZMO1_ZMO0179	CP023715.1	167076	167990	+	915	13521
ZMO1_ZMO0180	CP023715.1	168147	169280	-	1134	101128
ZMO1_ZMO0182	CP023715.1	169658	171052	+	1395	44421
ZMO1_ZMO0183	CP023715.1	171346	173028	-	1683	68364
ZMO1_ZMO0184	CP023715.1	173737	173976	+	240	122794
ZMO1_ZMO0186	CP023715.1	174197	175747	+	1551	25577
ZMO1_ZMO0187	CP023715.1	175840	177168	+	1329	67348
ZMO1_ZMO0188	CP023715.1	177747	180113	+	2367	11455
ZMO1_ZMO0189	CP023715.1	180139	181500	-	1362	7886
ZMO1_ZMO0190	CP023715.1	181591	182508	-	918	3416
ZMO1_ZMO0191	CP023715.1	182842	183621	-	780	2300
ZMO1_ZMO0192	CP023715.1	183652	185010	-	1359	5057
ZMO1_ZMO0193	CP023715.1	185346	188084	-	2739	75931
ZMO1_ZMO0195	CP023715.1	188615	189634	+	1020	2283
ZMO1_ZMO0197	CP023715.1	189846	192425	+	2580	6400
ZMO1_ZMO0198	CP023715.1	192536	193663	+	1128	20271
ZMO1_ZMO0199	CP023715.1	193716	194369	-	654	12141
ZMO1_ZMO0200	CP023715.1	194535	195560	-	1026	10904
ZMO1_ZMO0201	CP023715.1	195587	196171	-	585	9506
ZMO1_ZMO0202	CP023715.1	197164	199056	+	1893	57321
ZMO1_ZMO0203	CP023715.1	199098	199547	-	450	1273
ZMO1_ZMO0204	CP023715.1	199614	200246	+	633	1381
ZMO1_ZMO0205	CP023715.1	200250	201173	-	924	14072
ZMO1_ZMO0206	CP023715.1	201170	202363	-	1194	26910
ZMO1_ZMO0207	CP023715.1	202348	203391	-	1044	29319
ZMO1_ZMO0208	CP023715.1	203483	204091	-	609	50960
ZMO1_ZMO0209	CP023715.1	204284	204553	-	270	30138
ZMO1_ZMO0211	CP023715.1	204686	205060	-	375	64474
ZMO1_ZMO0213	CP023715.1	205298	208678	-	3381	964
ZMO1_ZMO0214	CP023715.1	208984	210438	-	1455	2456
ZMO1_ZMO0215	CP023715.1	210663	211313	+	651	3634
ZMO1_ZMO0216	CP023715.1	211393	212964	-	1572	5581
ZMO1_ZMO0219	CP023715.1	213317	216148	+	2832	11032
ZMO1_ZMO0220	CP023715.1	216380	216718	+	339	31351
ZMO1_ZMO0221	CP023715.1	217047	217601	+	555	13584
ZMO1_ZMO0222	CP023715.1	217815	218114	+	300	1512
ZMO1_ZMO0223	CP023715.1	218194	218955	+	762	3290
ZMO1_ZMO0224	CP023715.1	218964	219611	-	648	6343
ZMO1_ZMO0225	CP023715.1	219611	220732	-	1122	17315
ZMO1_ZMO0226	CP023715.1	221111	221860	+	750	7503
ZMO1_ZMO0227	CP023715.1	221876	224641	+	2766	16838
ZMO1_ZMO0228	CP023715.1	224638	226185	+	1548	7698
ZMO1_ZMO0229	CP023715.1	226190	227215	+	1026	2112
ZMO1_ZMO0230	CP023715.1	227212	227997	+	786	1324
ZMO1_ZMO0231	CP023715.1	228223	228771	+	549	14235
ZMO1_ZMO0232	CP023715.1	228888	229637	-	750	15467
ZMO1_ZMO0233	CP023715.1	230210	230596	-	387	4443
ZMO1_ZMO0234	CP023715.1	230689	232263	-	1575	136505
ZMO1_ZMO0236	CP023715.1	232800	233828	+	1029	4604
ZMO1_ZMO2046	CP023715.1	234003	234263	-	261	25
ZMO1_ZMO0238	CP023715.1	234262	234816	+	555	80256
ZMO1_ZMO0239	CP023715.1	234819	236348	+	1530	233637
ZMO1_ZMO0240	CP023715.1	236382	237278	+	897	146702
ZMO1_ZMO0241	CP023715.1	237307	238761	+	1455	225918
ZMO1_ZMO0242	CP023715.1	238821	239087	+	267	18529
ZMO1_ZMO0243	CP023715.1	239486	240322	-	837	3597
ZMO1_ZMO0244	CP023715.1	240584	240859	-	276	54394
ZMO1_ZMO0246	CP023715.1	241394	241948	+	555	9929
ZMO1_ZMO0247	CP023715.1	241973	243265	+	1293	46863
ZMO1_ZMO0249	CP023715.1	243551	243718	+	168	79504
ZMO1_ZMO0250	CP023715.1	243834	244196	-	363	1164
ZMO1_ZMO0251	CP023715.1	244368	244826	+	459	4870
ZMO1_ZMO0252	CP023715.1	245175	254129	+	8955	5054
ZMO1_ZMO0253	CP023715.1	254134	255609	+	1476	372
