# Program:featureCounts v2.0.6; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX5252061_cds.txt" "SRX5252061.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX5252061.bam
ZMO1_ZMO0001	CP023715.1	147	2516	+	2370	2968
ZMO1_ZMO0002	CP023715.1	2538	3653	+	1116	1952
ZMO1_ZMO0003	CP023715.1	3697	4329	-	633	623
ZMO1_ZMO0004	CP023715.1	4340	5770	-	1431	2547
ZMO1_ZMO0005	CP023715.1	5781	6689	-	909	2146
ZMO1_ZMO0006	CP023715.1	6700	8115	-	1416	3235
ZMO1_ZMO0007	CP023715.1	8386	9120	-	735	3784
ZMO1_ZMO0008	CP023715.1	9131	10843	-	1713	4432
ZMO1_ZMO0009	CP023715.1	10843	12663	-	1821	4604
ZMO1_ZMO0010	CP023715.1	13006	13716	+	711	4362
ZMO1_ZMO0011	CP023715.1	13757	14371	-	615	3093
ZMO1_ZMO0012	CP023715.1	14548	15729	-	1182	1403
ZMO1_ZMO0013	CP023715.1	15736	16365	-	630	868
ZMO1_ZMO0014	CP023715.1	16367	17080	-	714	440
ZMO1_ZMO0015	CP023715.1	17333	18370	+	1038	9374
ZMO1_ZMO0016	CP023715.1	18367	18939	+	573	6578
ZMO1_ZMO0017	CP023715.1	18995	20401	+	1407	4538
ZMO1_ZMO0018	CP023715.1	20553	21215	+	663	2196
ZMO1_ZMO0019	CP023715.1	21212	22978	+	1767	6137
ZMO1_ZMO0020	CP023715.1	23204	23800	-	597	1077
ZMO1_ZMO0021	CP023715.1	23797	25239	-	1443	2772
ZMO1_ZMO0022	CP023715.1	25239	25982	-	744	3087
ZMO1_ZMO0023	CP023715.1	26353	26829	-	477	838
ZMO1_ZMO0025	CP023715.1	26925	27854	+	930	5283
ZMO1_ZMO0026	CP023715.1	28029	28976	+	948	2536
ZMO1_ZMO0027	CP023715.1	29293	30897	+	1605	4335
ZMO1_ZMO0028	CP023715.1	31083	32006	+	924	3374
ZMO1_ZMO0029	CP023715.1	32036	33934	-	1899	5661
ZMO1_ZMO0030	CP023715.1	34224	34631	+	408	2321
ZMO1_ZMO0031	CP023715.1	34635	37055	-	2421	3587
ZMO1_ZMO0033	CP023715.1	37403	37837	-	435	1206
ZMO1_ZMO0035	CP023715.1	38017	38619	+	603	3064
ZMO1_ZMO0036	CP023715.1	38623	38961	-	339	553
ZMO1_ZMO0037	CP023715.1	38961	39422	-	462	2408
ZMO1_ZMO0038	CP023715.1	39623	40225	-	603	10550
ZMO1_ZMO0039	CP023715.1	40338	41042	-	705	1200
ZMO1_ZMO0040	CP023715.1	41050	41643	-	594	926
ZMO1_ZMO0041	CP023715.1	41656	42537	-	882	958
ZMO1_ZMO0043	CP023715.1	42534	43130	-	597	989
ZMO1_ZMO0044	CP023715.1	43594	45351	+	1758	3568
ZMO1_ZMO0047	CP023715.1	45398	46003	-	606	1057
ZMO1_ZMO0050	CP023715.1	46171	47082	+	912	2971
ZMO1_ZMO0052	CP023715.1	47274	48425	-	1152	1550
ZMO1_ZMO0053	CP023715.1	48422	49228	-	807	945
ZMO1_ZMO0054	CP023715.1	49348	49857	+	510	1525
ZMO1_ZMO0055	CP023715.1	49994	50779	-	786	1560
ZMO1_ZMO0056	CP023715.1	50969	52792	-	1824	6917
ZMO1_ZMO0057	CP023715.1	52878	53438	-	561	2839
ZMO1_ZMO0059	CP023715.1	53615	54763	+	1149	2861
ZMO1_ZMO0060	CP023715.1	54811	55080	-	270	1173
ZMO1_ZMO0061	CP023715.1	55123	56424	-	1302	5527
