## Wed Apr 30 18:06:06 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2bykpeye/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
ZMO1_ZMO0005	264203.ZMO0005	1.55e-223	615.0	COG0175@1|root,COG0175@2|Bacteria,1MUCZ@1224|Proteobacteria,2TT2D@28211|Alphaproteobacteria,2K1HF@204457|Sphingomonadales	204457|Sphingomonadales	EH	sulfate adenylyltransferase	cysD	-	2.7.7.4	ko:K00957	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00529,R04929	RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	-	PAPS_reduct
ZMO1_ZMO0006	264203.ZMO0006	0.0	922.0	COG0007@1|root,COG1648@1|root,COG0007@2|Bacteria,COG1648@2|Bacteria,1MUI0@1224|Proteobacteria,2TRJC@28211|Alphaproteobacteria,2K1SG@204457|Sphingomonadales	204457|Sphingomonadales	H	Belongs to the precorrin methyltransferase family	cysG	-	1.3.1.76,2.1.1.107,4.99.1.4	ko:K02302	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R02864,R03194,R03947	RC00003,RC00871,RC01012,RC01034	ko00000,ko00001,ko00002,ko01000	-	-	-	CysG_dimeriser,NAD_binding_7,TP_methylase
ZMO1_ZMO0007	264203.ZMO0007	2.71e-179	498.0	COG0175@1|root,COG0175@2|Bacteria,1MXUR@1224|Proteobacteria,2U5AP@28211|Alphaproteobacteria,2K0FD@204457|Sphingomonadales	204457|Sphingomonadales	EH	Reduction of activated sulfate into sulfite	cysH	-	1.8.4.10,1.8.4.8	ko:K00390	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00176	R02021	RC00007,RC02862	ko00000,ko00001,ko00002,ko01000	-	-	-	PAPS_reduct
ZMO1_ZMO0008	264203.ZMO0008	0.0	1149.0	COG0155@1|root,COG0155@2|Bacteria,1MVVB@1224|Proteobacteria,2TRCR@28211|Alphaproteobacteria,2K14A@204457|Sphingomonadales	204457|Sphingomonadales	C	Sulfite reductase	cysI	-	1.8.1.2	ko:K00381	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00176	R00858	RC00065	ko00000,ko00001,ko00002,ko01000	-	-	-	NIR_SIR,NIR_SIR_ferr
ZMO1_ZMO0009	264203.ZMO0009	0.0	1201.0	COG0369@1|root,COG0369@2|Bacteria,1QXKS@1224|Proteobacteria,2TXC0@28211|Alphaproteobacteria,2KDVZ@204457|Sphingomonadales	204457|Sphingomonadales	C	Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component	cysJ	-	1.14.14.1,1.6.2.4,1.8.1.2	ko:K00380,ko:K14338	ko00071,ko00380,ko00627,ko00920,ko01100,ko01120,map00071,map00380,map00627,map00920,map01100,map01120	M00176	R00858,R03629,R04121,R05259	RC00046,RC00065,RC01311	ko00000,ko00001,ko00002,ko00199,ko01000	-	-	-	FAD_binding_1,Flavodoxin_1,NAD_binding_1,p450
ZMO1_ZMO0010	264203.ZMO0010	2.5e-171	478.0	COG1451@1|root,COG1451@2|Bacteria,1R8SX@1224|Proteobacteria,2VF8T@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function DUF45	-	-	-	ko:K07043	-	-	-	-	ko00000	-	-	-	DUF45
ZMO1_ZMO0011	264203.ZMO0011	2.08e-145	409.0	2AGS6@1|root,31703@2|Bacteria,1RJ9H@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZMO1_ZMO0012	264203.ZMO0012	5.55e-288	786.0	COG0635@1|root,COG0635@2|Bacteria,1MU76@1224|Proteobacteria,2TT63@28211|Alphaproteobacteria,2K09I@204457|Sphingomonadales	204457|Sphingomonadales	H	Involved in the biosynthesis of porphyrin-containing compound	-	-	-	-	-	-	-	-	-	-	-	-	HemN_C,Radical_SAM
ZMO1_ZMO0013	264203.ZMO0013	1.71e-151	425.0	COG0127@1|root,COG0127@2|Bacteria,1MUK5@1224|Proteobacteria,2TV4B@28211|Alphaproteobacteria,2K1NS@204457|Sphingomonadales	204457|Sphingomonadales	F	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions	rdgB	-	3.6.1.66	ko:K02428	ko00230,map00230	-	R00426,R00720,R01855,R02100,R02720,R03531	RC00002	ko00000,ko00001,ko01000	-	-	-	Ham1p_like
ZMO1_ZMO0014	264203.ZMO0014	6.85e-165	461.0	COG0689@1|root,COG0689@2|Bacteria,1MVFZ@1224|Proteobacteria,2TRMC@28211|Alphaproteobacteria,2K0PW@204457|Sphingomonadales	204457|Sphingomonadales	J	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates	rph	-	2.7.7.56	ko:K00989	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	RNase_PH,RNase_PH_C
