,length,location
I,230218.0,0.0
II,813184.0,230218.0
III,316620.0,1043402.0
IV,1531933.0,1360022.0
V,576874.0,2891955.0
VI,270161.0,3468829.0
VII,1090940.0,3738990.0
VIII,562643.0,4829930.0
IX,439888.0,5392573.0
X,745751.0,5832461.0
XI,666816.0,6578212.0
XII,1078177.0,7245028.0
XIII,924431.0,8323205.0
XIV,784333.0,9247636.0
XV,1091291.0,10031969.0
XVI,948066.0,11123260.0
MT,85779.0,12071326.0
