# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_WT_+O2_Paraquat_B_cds.txt" "Kiley_B_WT_+O2_Paraquat_B.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_WT_+O2_Paraquat_B.bam
ZCP4_0001	CP006818.1	520	1974	+	1455	933
ZCP4_0002	CP006818.1	2069	3934	+	1866	1243
ZCP4_0003	CP006818.1	4350	5450	+	1101	55973
ZCP4_0004	CP006818.1	5634	6194	+	561	931
ZCP4_0005	CP006818.1	6426	7154	+	729	2758
ZCP4_0006	CP006818.1	7245	8249	-	1005	572
ZCP4_0007	CP006818.1	8262	9023	-	762	828
ZCP4_0008	CP006818.1	9136	9966	+	831	2414
ZCP4_0009	CP006818.1	10032	11045	+	1014	1803
ZCP4_0010	CP006818.1	11083	12039	+	957	1431
ZCP4_0011	CP006818.1	12107	14710	+	2604	2668
ZCP4_0012	CP006818.1	14834	15679	-	846	280
ZCP4_0014	CP006818.1	16530	17450	+	921	482
ZCP4_0015	CP006818.1	17832	19130	+	1299	50
ZCP4_0016	CP006818.1	19159	19773	+	615	104
ZCP4_0017	CP006818.1	19777	20484	-	708	113
ZCP4_0018	CP006818.1	20616	21527	+	912	54
ZCP4_0019	CP006818.1	21668	22270	-	603	263
ZCP4_0020	CP006818.1	22550	23164	-	615	366
ZCP4_0021	CP006818.1	23882	26695	-	2814	3139
ZCP4_0022	CP006818.1	27020	27796	-	777	378
ZCP4_0023	CP006818.1	27849	28655	-	807	377
ZCP4_0024	CP006818.1	28673	28945	-	273	291
ZCP4_0025	CP006818.1	28942	29346	-	405	704
ZCP4_0026	CP006818.1	29354	30325	-	972	499
ZCP4_0027	CP006818.1	30348	30839	-	492	103
ZCP4_0028	CP006818.1	30982	32619	-	1638	2341
ZCP4_0029	CP006818.1	32588	33295	-	708	593
ZCP4_0030	CP006818.1	33572	35029	+	1458	7011
ZCP4_0031	CP006818.1	35065	36291	+	1227	502
ZCP4_0032	CP006818.1	36500	37090	+	591	960
ZCP4_0033	CP006818.1	37594	38316	+	723	1348
ZCP4_0034	CP006818.1	38321	39091	+	771	768
ZCP4_0035	CP006818.1	39177	40511	+	1335	187
ZCP4_0036	CP006818.1	40528	41397	+	870	921
ZCP4_0037	CP006818.1	41409	42245	-	837	274
ZCP4_0038	CP006818.1	42256	43263	-	1008	953
ZCP4_0039	CP006818.1	43305	44720	-	1416	2797
ZCP4_0040	CP006818.1	44839	47163	-	2325	1645
ZCP4_0041	CP006818.1	47548	49032	+	1485	1692
ZCP4_0042	CP006818.1	49044	49490	+	447	192
ZCP4_0043	CP006818.1	49583	51106	-	1524	635
ZCP4_0044	CP006818.1	51400	52149	+	750	51
ZCP4_0045	CP006818.1	52355	52570	+	216	398
ZCP4_0046	CP006818.1	52699	53208	+	510	700
ZCP4_0047	CP006818.1	53259	54113	+	855	552
ZCP4_0048	CP006818.1	54240	54890	-	651	8
ZCP4_0049	CP006818.1	55066	57483	-	2418	228
ZCP4_0050	CP006818.1	58120	58878	+	759	177
ZCP4_0051	CP006818.1	58918	59571	-	654	218
ZCP4_0052	CP006818.1	59568	60521	-	954	379
ZCP4_0053	CP006818.1	60766	60900	-	135	0
ZCP4_0054	CP006818.1	61190	62800	+	1611	208
ZCP4_0055	CP006818.1	62993	63241	+	249	1586
ZCP4_0056	CP006818.1	63349	64470	-	1122	336
ZCP4_0057	CP006818.1	64876	65472	+	597	1470
ZCP4_0058	CP006818.1	65491	67128	+	1638	1399
ZCP4_0059	CP006818.1	67121	68563	+	1443	346
ZCP4_0060	CP006818.1	68586	69710	-	1125	629
ZCP4_0061	CP006818.1	70267	70503	+	237	2657
ZCP4_0062	CP006818.1	70693	71955	+	1263	10982
ZCP4_0063	CP006818.1	71989	72960	+	972	1887
ZCP4_0064	CP006818.1	73164	73403	-	240	96
ZCP4_0065	CP006818.1	73436	74674	-	1239	1514
ZCP4_0066	CP006818.1	75002	76612	+	1611	925
ZCP4_0067	CP006818.1	76662	78071	-	1410	879
ZCP4_0068	CP006818.1	78304	79170	+	867	831
ZCP4_0069	CP006818.1	79300	80511	-	1212	1344
ZCP4_0070	CP006818.1	80573	80821	-	249	695
ZCP4_0071	CP006818.1	81087	82106	+	1020	711
ZCP4_0072	CP006818.1	82185	83765	-	1581	5307
ZCP4_0073	CP006818.1	83985	84641	-	657	66
ZCP4_0074	CP006818.1	84652	85833	-	1182	168
ZCP4_0075	CP006818.1	85871	86593	-	723	115
ZCP4_0076	CP006818.1	86594	87427	-	834	92
ZCP4_0077	CP006818.1	87372	88430	-	1059	348
ZCP4_0078	CP006818.1	88616	90868	-	2253	52
ZCP4_0079	CP006818.1	91468	92184	+	717	563
ZCP4_0080	CP006818.1	92181	92345	+	165	103
ZCP4_0081	CP006818.1	92369	92809	+	441	342
ZCP4_0082	CP006818.1	92811	94757	+	1947	883
ZCP4_0083	CP006818.1	94754	95284	+	531	473
ZCP4_0084	CP006818.1	95281	95709	+	429	142
ZCP4_0085	CP006818.1	95706	96347	+	642	676
ZCP4_0086	CP006818.1	96379	96867	+	489	1847
ZCP4_0087	CP006818.1	97098	97541	+	444	16
ZCP4_0088	CP006818.1	97831	98319	+	489	170
ZCP4_0089	CP006818.1	98988	99113	-	126	267
ZCP4_0090	CP006818.1	99408	100205	+	798	561
ZCP4_0091	CP006818.1	100202	101344	+	1143	752
ZCP4_0092	CP006818.1	101594	102280	+	687	10441
ZCP4_0093	CP006818.1	102750	103745	+	996	2052
ZCP4_0094	CP006818.1	104214	105473	+	1260	788
ZCP4_0095	CP006818.1	105721	106206	+	486	831
ZCP4_0096	CP006818.1	106384	108333	+	1950	3052
ZCP4_0097	CP006818.1	108385	109797	+	1413	32
ZCP4_0098	CP006818.1	109846	111150	-	1305	70
ZCP4_0099	CP006818.1	111393	112229	+	837	0
ZCP4_0100	CP006818.1	112495	117828	-	5334	0
ZCP4_0101	CP006818.1	117837	118772	-	936	0
ZCP4_0102	CP006818.1	119027	119959	-	933	0
ZCP4_0103	CP006818.1	119971	120954	-	984	0
