# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX5329171_cds.txt" "SRX5329171.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX5329171.bam
ZCP4_0001	CP006818.1	520	1974	+	1455	4253
ZCP4_0002	CP006818.1	2069	3934	+	1866	12718
ZCP4_0003	CP006818.1	4350	5450	+	1101	317913
ZCP4_0004	CP006818.1	5634	6194	+	561	16878
ZCP4_0005	CP006818.1	6426	7154	+	729	67284
ZCP4_0006	CP006818.1	7245	8249	-	1005	4032
ZCP4_0007	CP006818.1	8262	9023	-	762	5316
ZCP4_0008	CP006818.1	9136	9966	+	831	23130
ZCP4_0009	CP006818.1	10032	11045	+	1014	30717
ZCP4_0010	CP006818.1	11083	12039	+	957	11529
ZCP4_0011	CP006818.1	12107	14710	+	2604	16282
ZCP4_0012	CP006818.1	14834	15679	-	846	28881
ZCP4_0014	CP006818.1	16530	17450	+	921	5298
ZCP4_0015	CP006818.1	17832	19130	+	1299	853
ZCP4_0016	CP006818.1	19159	19773	+	615	2154
ZCP4_0017	CP006818.1	19777	20484	-	708	889
ZCP4_0018	CP006818.1	20616	21527	+	912	529
ZCP4_0019	CP006818.1	21668	22270	-	603	5108
ZCP4_0020	CP006818.1	22550	23164	-	615	2812
ZCP4_0021	CP006818.1	23882	26695	-	2814	33462
ZCP4_0022	CP006818.1	27020	27796	-	777	4435
ZCP4_0023	CP006818.1	27849	28655	-	807	4732
ZCP4_0024	CP006818.1	28673	28945	-	273	3054
ZCP4_0025	CP006818.1	28942	29346	-	405	6438
ZCP4_0026	CP006818.1	29354	30325	-	972	8885
ZCP4_0027	CP006818.1	30348	30839	-	492	1321
ZCP4_0028	CP006818.1	30982	32619	-	1638	16242
ZCP4_0029	CP006818.1	32588	33295	-	708	5578
ZCP4_0030	CP006818.1	33572	35029	+	1458	79672
ZCP4_0031	CP006818.1	35065	36291	+	1227	7004
ZCP4_0032	CP006818.1	36500	37090	+	591	6385
ZCP4_0033	CP006818.1	37594	38316	+	723	7295
ZCP4_0034	CP006818.1	38321	39091	+	771	4164
ZCP4_0035	CP006818.1	39177	40511	+	1335	927
ZCP4_0036	CP006818.1	40528	41397	+	870	7798
ZCP4_0037	CP006818.1	41409	42245	-	837	2939
ZCP4_0038	CP006818.1	42256	43263	-	1008	11818
ZCP4_0039	CP006818.1	43305	44720	-	1416	20386
ZCP4_0040	CP006818.1	44839	47163	-	2325	8951
ZCP4_0041	CP006818.1	47548	49032	+	1485	32689
ZCP4_0042	CP006818.1	49044	49490	+	447	2442
ZCP4_0043	CP006818.1	49583	51106	-	1524	3884
ZCP4_0044	CP006818.1	51400	52149	+	750	404
ZCP4_0045	CP006818.1	52355	52570	+	216	7451
ZCP4_0046	CP006818.1	52699	53208	+	510	14861
ZCP4_0047	CP006818.1	53259	54113	+	855	6778
