# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_WT_+O2_Ctrl_B_cds.txt" "Kiley_B_WT_+O2_Ctrl_B.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_WT_+O2_Ctrl_B.bam
ZMO1_ZMO0001	CP023715.1	147	2516	+	2370	156
ZMO1_ZMO0002	CP023715.1	2538	3653	+	1116	141
ZMO1_ZMO0003	CP023715.1	3697	4329	-	633	1014
ZMO1_ZMO0004	CP023715.1	4340	5770	-	1431	5592
ZMO1_ZMO0005	CP023715.1	5781	6689	-	909	2967
ZMO1_ZMO0006	CP023715.1	6700	8115	-	1416	1134
ZMO1_ZMO0007	CP023715.1	8386	9120	-	735	2769
ZMO1_ZMO0008	CP023715.1	9131	10843	-	1713	10877
ZMO1_ZMO0009	CP023715.1	10843	12663	-	1821	11461
ZMO1_ZMO0010	CP023715.1	13006	13716	+	711	30
ZMO1_ZMO0011	CP023715.1	13757	14371	-	615	456
ZMO1_ZMO0012	CP023715.1	14548	15729	-	1182	867
ZMO1_ZMO0013	CP023715.1	15736	16365	-	630	753
ZMO1_ZMO0014	CP023715.1	16367	17080	-	714	1225
ZMO1_ZMO0015	CP023715.1	17333	18370	+	1038	1843
ZMO1_ZMO0016	CP023715.1	18367	18939	+	573	3541
ZMO1_ZMO0017	CP023715.1	18995	20401	+	1407	3525
ZMO1_ZMO0018	CP023715.1	20553	21215	+	663	1658
ZMO1_ZMO0019	CP023715.1	21212	22978	+	1767	1910
ZMO1_ZMO0020	CP023715.1	23204	23800	-	597	400
ZMO1_ZMO0021	CP023715.1	23797	25239	-	1443	751
ZMO1_ZMO0022	CP023715.1	25239	25982	-	744	617
ZMO1_ZMO0023	CP023715.1	26353	26829	-	477	138
ZMO1_ZMO0025	CP023715.1	26925	27854	+	930	108
ZMO1_ZMO0026	CP023715.1	28029	28976	+	948	175
ZMO1_ZMO0027	CP023715.1	29293	30897	+	1605	4305
ZMO1_ZMO0028	CP023715.1	31083	32006	+	924	304
ZMO1_ZMO0029	CP023715.1	32036	33934	-	1899	637
ZMO1_ZMO0030	CP023715.1	34224	34631	+	408	656
ZMO1_ZMO0031	CP023715.1	34635	37055	-	2421	454
ZMO1_ZMO0033	CP023715.1	37403	37837	-	435	206
ZMO1_ZMO0035	CP023715.1	38017	38619	+	603	200
ZMO1_ZMO0036	CP023715.1	38623	38961	-	339	432
ZMO1_ZMO0037	CP023715.1	38961	39422	-	462	774
ZMO1_ZMO0038	CP023715.1	39623	40225	-	603	2294
ZMO1_ZMO0039	CP023715.1	40338	41042	-	705	1073
ZMO1_ZMO0040	CP023715.1	41050	41643	-	594	318
ZMO1_ZMO0041	CP023715.1	41656	42537	-	882	1336
ZMO1_ZMO0043	CP023715.1	42534	43130	-	597	248
ZMO1_ZMO0044	CP023715.1	43594	45351	+	1758	182
ZMO1_ZMO0047	CP023715.1	45398	46003	-	606	30
ZMO1_ZMO0050	CP023715.1	46171	47082	+	912	49
ZMO1_ZMO0052	CP023715.1	47274	48425	-	1152	95
ZMO1_ZMO0053	CP023715.1	48422	49228	-	807	83
ZMO1_ZMO0054	CP023715.1	49348	49857	+	510	149
ZMO1_ZMO0055	CP023715.1	49994	50779	-	786	503
ZMO1_ZMO0056	CP023715.1	50969	52792	-	1824	2825
ZMO1_ZMO0057	CP023715.1	52878	53438	-	561	1052
ZMO1_ZMO0059	CP023715.1	53615	54763	+	1149	275
ZMO1_ZMO0060	CP023715.1	54811	55080	-	270	282
ZMO1_ZMO0061	CP023715.1	55123	56424	-	1302	1457
ZMO1_ZMO0062	CP023715.1	56561	57529	-	969	1592
ZMO1_ZMO0064	CP023715.1	57796	59457	-	1662	636
ZMO1_ZMO0066	CP023715.1	59627	59896	+	270	5
ZMO1_ZMO0068	CP023715.1	60237	61364	+	1128	688
ZMO1_ZMO0069	CP023715.1	61630	62067	+	438	42
ZMO1_ZMO0070	CP023715.1	62217	62864	+	648	338
ZMO1_ZMO0072	CP023715.1	63125	64486	-	1362	3195
ZMO1_ZMO0073	CP023715.1	64495	65379	-	885	3195
ZMO1_ZMO0074	CP023715.1	65434	65964	-	531	1360
ZMO1_ZMO0075	CP023715.1	65951	67042	-	1092	3134
ZMO1_ZMO0077	CP023715.1	67151	68488	-	1338	2436
ZMO1_ZMO0078	CP023715.1	68586	69119	-	534	1268
ZMO1_ZMO0079	CP023715.1	69266	69631	-	366	1302
ZMO1_ZMO0080	CP023715.1	69776	70327	-	552	575
ZMO1_ZMO0081	CP023715.1	70349	71407	-	1059	932
ZMO1_ZMO0082	CP023715.1	71404	72276	-	873	1074
ZMO1_ZMO0083	CP023715.1	72273	74603	-	2331	2641
ZMO1_ZMO0084	CP023715.1	74614	74883	-	270	932
ZMO1_ZMO0085	CP023715.1	75057	76370	-	1314	1436
ZMO1_ZMO0086	CP023715.1	76803	78968	-	2166	3538
ZMO1_ZMO0087	CP023715.1	79111	79593	-	483	599
ZMO1_ZMO0088	CP023715.1	79719	80423	-	705	17
ZMO1_ZMO0089	CP023715.1	80632	81324	-	693	15
ZMO1_ZMO0090	CP023715.1	81761	82558	-	798	2340
ZMO1_ZMO0091	CP023715.1	82625	82780	+	156	2
ZMO1_ZMO0092	CP023715.1	82881	83645	+	765	396
ZMO1_ZMO0094	CP023715.1	83861	84868	+	1008	2242
ZMO1_ZMO0095	CP023715.1	84951	85172	-	222	90
ZMO1_ZMO0096	CP023715.1	85618	86169	-	552	1121
ZMO1_ZMO2042	CP023715.1	86442	86648	+	207	0
ZMO1_ZMO0099	CP023715.1	86671	87939	+	1269	874
ZMO1_ZMO0100	CP023715.1	88004	88384	-	381	57
ZMO1_ZMO0101	CP023715.1	88491	89555	+	1065	94
ZMO1_ZMO0102	CP023715.1	89582	89773	+	192	7
ZMO1_ZMO0103	CP023715.1	89985	91547	+	1563	1599
ZMO1_ZMO0105	CP023715.1	91652	93106	+	1455	2460
ZMO1_ZMO0106	CP023715.1	93103	93681	+	579	1300
ZMO1_ZMO0107	CP023715.1	93746	94555	-	810	1587
ZMO1_ZMO0108	CP023715.1	94613	94939	-	327	662
ZMO1_ZMO0109	CP023715.1	95277	96716	+	1440	2100
ZMO1_ZMO0110	CP023715.1	96713	97702	+	990	1280
ZMO1_ZMO0111	CP023715.1	97849	99645	-	1797	2502
ZMO1_ZMO0112	CP023715.1	99841	100191	+	351	45
ZMO1_ZMO0113	CP023715.1	100924	102387	+	1464	640
ZMO1_ZMO0114	CP023715.1	102404	103015	+	612	146
ZMO1_ZMO0115	CP023715.1	102981	103817	+	837	571
ZMO1_ZMO0116	CP023715.1	104017	104454	+	438	2024
ZMO1_ZMO0117	CP023715.1	104521	106158	+	1638	2141
ZMO1_ZMO0119	CP023715.1	106317	107483	+	1167	98
ZMO1_ZMO0120	CP023715.1	107644	108711	+	1068	2473
