ZCP4_1095	b1ef55bb3b5b6163bd8315b59010e34f	1593	ProSiteProfiles	PS50842	Expansin, family-45 endoglucanase-like domain profile.	1264	1339	8.637726	T	29-11-2024	IPR007112	Expansin/pollen allergen, DPBB domain	-	MetaCyc:PWY-6788
ZCP4_1095	b1ef55bb3b5b6163bd8315b59010e34f	1593	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	23	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	21	474	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	37	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	21	-	T	29-11-2024	-	-	-	-
ZCP4_1114	889f41e07f26e0b8e3967bb617b6be33	474	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	20	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	20	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	28	-	T	29-11-2024	-	-	-	-
ZCP4_1142	9211cdb3a7bee9f7302bbb015f0a4b0e	765	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	21	765	-	T	29-11-2024	-	-	-	-
