,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,operon,kegg_maps,EC_number,ZM4_locus,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change,chromosome_id,iMs
ZCP4_0005,ZCP4_0005,CP006818.1,6426,7154,+,FtsH-interacting integral membrane protein,Function unknown,"ZCP4_0128,ZCP4_0128,ZCP4_0375,ZCP4_1382,ZCP4_1387,ZCP4_1718",D2YW23,Op30,,,ZMO1_ZMO1352,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.7543451853552859,1.0995773300981542,1.4862996761550171,1.0,0.6346476199516655,0.95320711792844,1.1060230910589703,CP006818.1,
ZCP4_0006,ZCP4_0006,CP006818.1,7245,8249,-,dienelactone hydrolase-like enzyme,"Secondary metabolites biosynthesis, transport, and catabolism",,Q5NMT5,Op34,map00361;map00364;map00623;map01100;map01110;map01120;map01130,3.1.1.45,ZMO1_ZMO1351,0.0,0.0,"Expansin, family-45 endoglucanase-like domain profile.;SignalP-TM",,,,,,,,,[],1.0,1.023539534799231,0.7744635342261506,0.3470301172722672,1.0,1.048949138347384,0.8186256571737919,0.3892464405705645,CP006818.1,
ZCP4_0007,ZCP4_0007,CP006818.1,8262,9023,-,putative nuleotide-utilizing enzyme%2C moeA,Function unknown,ZCP4_1387,H2VFS2,Op39,,,ZMO1_ZMO1350,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.3228098992429336,1.4121684274362654,1.1919219849282932,1.0,1.574151831975441,1.5736047068203085,1.5221601080883902,CP006818.1,
ZCP4_0008,map,CP006818.1,9136,9966,+,methionine aminopeptidase%2C type I,Amino acid transport and metabolism,,H2VFN6,Op44,,3.4.11.18,ZMO1_ZMO1348,-2.99974865082512,-3.04111299287277,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9733437234210148,0.962516550113602,0.816956710798301,1.0,0.9790284909840044,0.8792341191747205,0.7911227198328099,CP006818.1,
ZCP4_0009,ZCP4_0009,CP006818.1,10032,11045,+,L-threonine aldolase,Amino acid transport and metabolism,,H2VFP6,Op49,map00260;map01100;map01110;map01120;map01130;map01230,4.1.2.48,ZMO1_ZMO1347,0.0,0.0,SignalP-TM;SignalP-noTM,0.1901264988962002,0.1864804153101602,0.0,0.0,0.9967835774576308,0.9968450646596352,0.999999999999974,0.9999999999999842,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.1049982291166724,1.0774739732651657,1.0339555755015988,1.0,1.0238206503603742,0.9062631821698643,0.8090618783795207,CP006818.1,
ZCP4_0010,ZCP4_0010,CP006818.1,11083,12039,+,DMT(drug/metabolite transporter) superfamily permease,Amino acid transport and metabolism,ZCP4_0375,,Op55,,,ZMO1_ZMO1346,-1.62054758194482,-2.13083562966488,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,,CP006818.1,
ZCP4_0011,ZCP4_0011,CP006818.1,12107,14710,+,aminopeptidase N,Amino acid transport and metabolism,,H2VFQ8,Op62,map00480;map01100,3.4.11.2,ZMO1_ZMO1345,0.0,0.0,SignalP-TM;SignalP-noTM,0.0,0.0,0.0,0.0,0.9999999999999823,0.9999999999998888,0.9999999999999684,0.9999999999999892,['NikR_Helicobacter_pylori'],1.0,0.93936331444342,0.8425108759936011,0.7767881913810089,1.0,0.8432315894784984,0.7514351373441569,0.6712637219361005,CP006818.1,
ZCP4_0012,ZCP4_0012,CP006818.1,14834,15679,-,aldo/keto reductase%2C diketogulonate reductase,Function unknown,,Q5NMU2,Op72,,,ZMO1_ZMO1344,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.2852327793363023,1.2699213362060993,1.1804462256429271,1.0,1.2055245809089694,1.122698540425483,1.0778463632737176,CP006818.1,"['aldose_transport_maybe', 'low_pH_response']"
ZCP4_0014,ZCP4_0014,CP006818.1,16530,17450,+,putative metalloprotease,Function unknown,,Q5NMU5,Op78,,,ZMO1_ZMO1341,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.0656168132993429,1.1623460828072485,1.1403970954039313,1.0,0.9114749253583038,0.977922472276324,0.9323752670290272,CP006818.1,
ZCP4_0015,ZCP4_0015,CP006818.1,17832,19130,+,arabinose efflux permease family protein,Amino acid transport and metabolism,ZCP4_1137,D2N0X0,Op88,,,ZMO1_ZMO2018,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",,,,,,,,,CP006818.1,
ZCP4_0016,ZCP4_0016,CP006818.1,19159,19773,+,putative threonine efflux protein,Amino acid transport and metabolism,,Q5NMU8,Op97,,,ZMO1_ZMO1338,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],,,,,,,,,CP006818.1,
ZCP4_0017,ZCP4_0017,CP006818.1,19777,20484,-,Pirin-related protein,Function unknown,,Q9XBR7,Op101,,,ZMO1_ZMO1337,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.4708869440689784,0.5974806015215056,0.5411131618870944,1.0,1.147766532122357,1.0167771730815554,1.0415926794642496,CP006818.1,
