locus_tag,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change
ZMO1_ZMOp32x001,ZMO1_ZMOp32x001,CP023716.1,4.0,3732.0,-,SIR2-like protein,Transcription,"['ZMO1412', 'ZMO1793']",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.2853755316573345,1.0778633699469966,1.3109617747198112,1.0,1.0271961156867329,0.8489520110636954,1.008086775085586
ZMO1_ZMOp39x001,ZMO1_ZMOp39x001,CP023719.1,25.0,162.0,-,hypothetical protein,No COG annotation,['ZMO1061'],,,,0.0,0.0,SignalP-TM,,,,,,,,,['CosR_Campylobacter_jejuni'],,,,,,,,
ZMO1_ZMOp36x001,ZMO1_ZMOp36x001,CP023718.1,281.0,724.0,+,N-acetylmuramoyl-L-alanine amidase domain protein,Defense mechanisms,['ZMO0373'],,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp39x002,ZMO1_ZMOp39x002,CP023719.1,353.0,490.0,+,hypothetical protein,No COG annotation,['ZMO1787'],,,,0.0,0.0,,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp33x001,ZMO1_ZMOp33x001,CP023717.1,410.0,646.0,+,hypothetical protein,No COG annotation,['ZMO1126'],,,,-6.35149174856334,-2.90574404958441,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.080197344625499,0.9436732063466159,1.2873711511962338,1.0,1.1619658349789455,1.3927416224687539,1.72724086249383
ZMO1_ZMOp33x002,ZMO1_ZMOp33x002,CP023717.1,643.0,1224.0,+,putative Zeta toxin-like kinase,Function unknown,['ZMO1061'],,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp39x003,ZMO1_ZMOp39x003,CP023719.1,653.0,1141.0,+,hypothetical protein,No COG annotation,"['ZMO1061', 'ZMO1787']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp36x002,ZMO1_ZMOp36x002,CP023718.1,718.0,1143.0,+,hypothetical protein,No COG annotation,"['ZMO0373', 'ZMO1126']",,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp36x003,ZMO1_ZMOp36x003,CP023718.1,1085.0,1366.0,+,hypothetical protein,No COG annotation,['ZMO0373'],,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp33x003,ZMO1_ZMOp33x003,CP023717.1,1358.0,1618.0,-,CopG family transcriptional regulator,No COG annotation,"['ZMO0774', 'ZMO1412']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.4458303766140774,1.3945706432446885,1.263386397850322,1.0,1.6424622315374529,1.5300072479427769,1.408114853076512
ZMO1_ZMOp36x004,ZMO1_ZMOp36x004,CP023718.1,1363.0,1848.0,+,bacteriophage tail completion protein R,No COG annotation,"['ZMO1206', 'ZMO1697', 'ZMO1937']",,,,0.0,0.0,2Fe-2S ferredoxin-type iron-sulfur binding region signature.;SignalP-TM;SignalP-noTM,,,,,,,,,[],,,,,,,,
ZMO1_ZMOp33x004,ZMO1_ZMOp33x004,CP023717.1,1648.0,2298.0,-,CobQ/CobB/MinD/ParA nucleotide binding domain protein,"Cell cycle control, cell division, chromosome partitioning","['ZMO0781', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1793']",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.368194297981178,1.3978522662260149,1.6530887663608502,1.0,1.1917379167540045,1.2740679837668396,1.5570516808721329
ZMO1_ZMOp39x004,ZMO1_ZMOp39x004,CP023719.1,1826.0,2605.0,+,uncharacterized protein,Carbohydrate transport and metabolism,"['ZMO0781', 'ZMO0940', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1511', 'ZMO1574', 'ZMO1793']",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'Fur_Helicobacter_pylori', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.2860221650299126,1.1060653970192587,0.44118406718492514,1.0,1.598089113686433,1.16863317300396,0.681777193020916
ZMO1_ZMOp36x005,ZMO1_ZMOp36x005,CP023718.1,1849.0,2607.0,+,phage virion morphogensis protein,Function unknown,[],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['NikR_Helicobacter_pylori', 'XylR_Thermotoga_maritima']",,,,,,,,
ZMO1_ZMOp33x005,ZMO1_ZMOp33x005,CP023717.1,2495.0,2791.0,+,Vibrio phage ICP1 Orf50 family protein,Function unknown,['ZMO1121'],,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.6805460799837747,0.732825247322884,0.7394247402551074,1.0,1.6409169578107339,1.5277742099255505,1.175855400518982
ZMO1_ZMOp36x006,ZMO1_ZMOp36x006,CP023718.1,2697.0,3614.0,+,baseplate assembly protein J,Function unknown,"['ZMO1206', 'ZMO1787']",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,
ZMO1_ZMOp39x005,ZMO1_ZMOp39x005,CP023719.1,2715.0,2996.0,+,RelB antitoxin/Antitoxin DinJ family toxin,"Replication, recombination and repair","['ZMO1206', 'ZMO1793']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,2.979311156886596,3.5762424880862542,2.318686062663951,1.0,4.3828109183292705,5.238141141673121,3.5067808297229166
ZMO1_ZMOp33x006,ZMO1_ZMOp33x006,CP023717.1,2788.0,3282.0,+,acyl-CoA N-acyltransferase,Transcription,['ZMO0373'],,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.1618047759082195,1.0559542840694947,1.2459364358940765,1.0,1.6743116218080785,1.5122496331503865,2.139226908271672
ZMO1_ZMOp39x006,ZMO1_ZMOp39x006,CP023719.1,2989.0,3258.0,+,YafQ-like toxin,Function unknown,[],,,,0.0,0.0,SignalP-TM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,1.215910406276551,1.2859730680211563,1.1648775425304572,1.0,1.3086657955644239,1.316393785932943,1.1873490794590547
ZMO1_ZMOp33x007,ZMO1_ZMOp33x007,CP023717.1,3327.0,3497.0,-,hypothetical protein,No COG annotation,"['ZMO1206', 'ZMO1206', 'ZMO1412', 'ZMO1412', 'ZMO1787', 'ZMO1793', 'ZMO1793']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",,,,,,,,
ZMO1_ZMOp36x007,ZMO1_ZMOp36x007,CP023718.1,3611.0,4162.0,+,tail protein I,Function unknown,"['ZMO0774', 'ZMO1937']",,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],,,,,,,,
